符合條件商品
資料日期：2021年 10月 29日
策略,	每日資料（大戶）
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例
執行時間：2021-10-31 18:49 符合檔數(1740)
1	,1101.TW,台泥,48.25,-0.52,12608,69.55
2	,1102.TW,亞泥,44.3,-0.11,5404,79.7
3	,1103.TW,嘉泥,20.2,-0.25,303,73.59
4	,1104.TW,環泥,20.6,-0.24,670,71.06
5	,1108.TW,幸福,11.9,0,184,77.29
6	,1109.TW,信大,21.05,0.48,231,75.72
7	,1110.TW,東泥,18.25,-0.54,443,93.6
8	,1201.TW,味全,22.85,0.44,2331,56.18
9	,1203.TW,味王,32.6,0,19,82.83
10	,1210.TW,大成,53.7,0,907,57.61
11	,1213.TW,大飲,8.15,0,0,71.99
12	,1215.TW,卜蜂,80,-0.37,677,55.76
13	,1216.TW,統一,66.6,-0.89,9047,86.31
14	,1217.TW,愛之味,10.15,-0.49,1009,43.2
15	,1218.TW,泰山,27.3,-1.62,580,77.5
16	,1219.TW,福壽,21.1,-2.31,1070,71.33
17	,1220.TW,台榮,15.65,-1.88,254,62.44
18	,1225.TW,福懋油,51.8,-0.77,147,87.7
19	,1227.TW,佳格,51.8,-0.19,538,69.48
20	,1229.TW,聯華,55.8,-0.18,1758,64.8
21	,1231.TW,聯華食,66.5,-0.3,112,63.52
22	,1232.TW,大統益,158,0,64,75.98
23	,1233.TW,天仁,33.6,0,21,60.83
24	,1234.TW,黑松,35,-0.14,172,78.11
25	,1235.TW,興泰,43.4,0,6,88.98
26	,1236.TW,宏亞,14.1,-0.35,13,80.56
27	,1240.TW,茂生農經,51.3,-1.35,50,37.06
28	,1256.TW,鮮活果汁-KY,371.5,0,33,49.38
29	,1258.TW,其祥-KY,18.35,-0.27,8,68.32
30	,1259.TW,安心,70,-0.14,11,65.35
31	,1264.TW,德麥,299,-0.33,3,24.66
32	,1268.TW,漢來美食,120.5,-0.82,24,73.75
33	,1301.TW,台塑,107.5,-0.46,12943,84.24
34	,1303.TW,南亞,85.1,-1.05,8936,84.36
35	,1304.TW,台聚,34.4,-0.58,9024,66.03
36	,1305.TW,華夏,37.15,1.09,6819,60.04
37	,1307.TW,三芳,21.6,0.47,64,79.8
38	,1308.TW,亞聚,39.05,0.39,13251,59.42
