符合條件商品
資料日期：2021年 11月 22日
策略,	02每日資料（大戶）
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例
執行時間：2021-11-22 18:49 符合檔數(1743)
1	,1101.TW,台泥,47.9,-0.83,12527,69.34
2	,1102.TW,亞泥,44.7,-0.78,5099,79.51
3	,1103.TW,嘉泥,21,-1.41,1003,73.63
4	,1104.TW,環泥,21.15,-0.24,445,71.03
5	,1108.TW,幸福,11.9,-0.42,123,77.25
6	,1109.TW,信大,21.15,-0.47,343,75.53
7	,1110.TW,東泥,23.55,9.53,4802,93.3
8	,1201.TW,味全,22.3,0.45,609,56.62
9	,1203.TW,味王,33.15,-0.15,4,82.82
10	,1210.TW,大成,53,-0.38,1236,57.09
11	,1213.TW,大飲,8.2,0.12,10,73.81
12	,1215.TW,卜蜂,82.3,0.98,1940,56.65
13	,1216.TW,統一,67.5,-1.03,4183,86.08
14	,1217.TW,愛之味,10.55,0.48,1306,43.69
15	,1218.TW,泰山,27.4,-0.18,308,77.47
16	,1219.TW,福壽,20.75,-0.95,399,70.82
17	,1220.TW,台榮,15.45,-0.32,98,62.2
18	,1225.TW,福懋油,50.4,0,52,87.95
19	,1227.TW,佳格,51.7,0.39,467,69.39
20	,1229.TW,聯華,57,-0.52,1332,64.51
21	,1231.TW,聯華食,68.3,-0.29,99,63.53
22	,1232.TW,大統益,166,-0.6,51,76.59
23	,1233.TW,天仁,33.65,-0.44,4,60.89
24	,1234.TW,黑松,35.4,-0.14,85,78.05
25	,1235.TW,興泰,44.65,0,13,88.76
26	,1236.TW,宏亞,22.25,-4.91,4818,80.09
27	,1240.TW,茂生農經,51,0,8,37.06
28	,1256.TW,鮮活果汁-KY,361.5,-0.14,25,49.38
29	,1258.TW,其祥-KY,17.75,1.43,9,68.32
30	,1259.TW,安心,69.3,0.29,1,65.4
31	,1264.TW,德麥,295,0,17,24.65
32	,1268.TW,漢來美食,120,-0.41,16,73.76
33	,1301.TW,台塑,104.5,0.97,9244,84.05
34	,1303.TW,南亞,85.5,0.59,6119,83.99
35	,1304.TW,台聚,32.7,-0.91,8919,65
36	,1305.TW,華夏,34.85,-0.43,5807,51.46
37	,1307.TW,三芳,20.9,0,88,79.79
38	,1308.TW,亞聚,37.85,1.47,7276,55.69
39	,1309.TW,台達化,35.05,1.01,1046,41.97
40	,1310.TW,台苯,17.65,0,1890,34.1
41	,1312.TW,國喬,28.3,-0.7,6465,46.12
42	,1313.TW,聯成,21.95,-0.9,4699,65.32
43	,1314.TW,中石化,13.3,0.38,24605,29.67
44	,1315.TW,達新,64.7,-0.15,31,71.98
45	,1316.TW,上曜,21.2,0,20617,44.56
46	,1319.TW,東陽,33.65,1.2,548,71.76
47	,1321.TW,大洋,35.7,2,579,61.26
48	,1323.TW,永裕,35.3,0,182,43.23
49	,1324.TW,地球,11,-0.9,273,67.25
50	,1325.TW,恆大,41,3.27,656,41.44
51	,1326.TW,台化,80.2,-0.74,3661,86.02
52	,1336.TW,台翰,20.7,-0.24,42,43.46
53	,1337.TW,再生-KY,7.26,-0.68,546,33.22
54	,1338.TW,廣華-KY,51.4,0.19,81,31.81
55	,1339.TW,昭輝,34.3,0.29,36,64.88
56	,1340.TW,勝悅-KY,11.6,0.87,190,28.9
57	,1341.TW,富林-KY,68.6,0.88,4,79.67
58	,1342.TW,八貫,56.4,0.18,63,77.54
59	,1402.TW,遠東新,29.15,-0.85,8329,87.23
60	,1409.TW,新纖,20.1,0.5,5537,67.25
61	,1410.TW,南染,37.3,-0.13,54,68.25
62	,1413.TW,宏洲,10.15,0.5,152,61.96
63	,1414.TW,東和,17,-0.58,683,69.18
64	,1416.TW,廣豐,11.2,-0.44,173,47.62
65	,1417.TW,嘉裕,14.85,0.68,244,48.37
66	,1418.TW,東華,10.7,0.94,0,60.4
67	,1419.TW,新紡,41.95,0.96,29,86.23
68	,1423.TW,利華,19.35,1.31,140,70.8
69	,1432.TW,大魯閣,13.05,1.56,54,59.51
70	,1434.TW,福懋,29.25,-0.34,1784,79.19
71	,1435.TW,中福,27.05,0.19,94,85.92
72	,1436.TW,華友聯,54.1,-0.37,79,81.53
73	,1437.TW,勤益控,25.7,-0.19,146,63.29
74	,1438.TW,三地開發,33.95,1.8,429,58.76
75	,1439.TW,中和,24.2,-3.2,65,74.09
76	,1440.TW,南紡,23.65,1.07,5064,71.07
77	,1441.TW,大東,9.41,0.32,84,51.65
78	,1442.TW,名軒,24.75,1.02,748,72.83
79	,1443.TW,立益,17,1.49,60,75.41
80	,1444.TW,力麗,11.5,0.44,3132,56.68
81	,1445.TW,大宇,15,1.01,412,56.22
82	,1446.TW,宏和,33.45,-0.74,135,66.36
83	,1447.TW,力鵬,10.35,0.98,1924,63.05
84	,1449.TW,佳和,16.5,10,1261,65.81
85	,1451.TW,年興,21.2,-0.47,107,58.58
86	,1452.TW,宏益,23.3,0.43,248,28.03
