符合條件商品
資料日期：2021年 12月 17日
策略,	00每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例,	法人持股比例,	融資使用率,	內部人持股比例
執行時間：2021-12-19 14:40 符合檔數(1449)
1	,1101.TW,台泥,47.45,1.17,18553,68.58,25.77,0.46,8.48
2	,1102.TW,亞泥,42.95,0,32402,78.51,22.84,0.33,27.87
3	,1103.TW,嘉泥,20.55,1.23,380,73.56,5.59,1.15,17.24
4	,1104.TW,環泥,21.5,0.94,403,71.17,12.28,1.05,32.14
5	,1108.TW,幸福,11.85,3.49,445,77.49,1.1,2.82,7.44
6	,1109.TW,信大,20,0.25,241,74.58,4.45,1.24,39.68
7	,1110.TW,東泥,20.2,2.28,3299,92.74,7.25,4.64,36.86
8	,1201.TW,味全,22.05,0,599,57.48,11.5,2.27,14.57
9	,1203.TW,味王,32.4,0.31,17,82.83,1.87,0.27,29.8
10	,1210.TW,大成,52.3,0,1638,56.72,11.71,0.46,13.01
11	,1215.TW,卜蜂,80.8,0.87,365,56.97,39.85,0.86,13.13
12	,1216.TW,統一,67.9,-0.88,11013,86.05,44.83,0.08,15.87
13	,1217.TW,愛之味,10.4,0.48,596,43.42,8.17,9.69,10.26
14	,1218.TW,泰山,27.35,0.92,491,77.61,2.34,1.68,5.65
15	,1219.TW,福壽,19.9,0,790,70.23,4.11,9.7,12.78
16	,1220.TW,台榮,15.6,0,83,62.19,7.3,2.37,26.69
17	,1225.TW,福懋油,51.2,-0.19,75,88.81,0.75,8.67,9.12
18	,1227.TW,佳格,53.2,0,3959,69.46,7.54,1.15,8.14
19	,1229.TW,聯華,57.4,-1.03,1805,64.47,12.03,0.28,32.74
20	,1231.TW,聯華食,68.1,-0.29,58,63.54,1.88,0.22,25.68
21	,1232.TW,大統益,156,-0.32,229,75.86,1.59,0.1,66.62
22	,1233.TW,天仁,34.5,0.29,19,61.02,5.29,0.01,21.55
23	,1234.TW,黑松,35,0,32,78.23,5.21,0.08,16.19
24	,1235.TW,興泰,43.95,2.09,8,89.31,0.21,19.74,11.98
25	,1236.TW,宏亞,30.1,-7.24,729,79.91,0.5,8.53,18.51
26	,1240.TW,茂生農經,51.3,0,19,37.06,0.27,1,21.34
27	,1256.TW,鮮活果汁-KY,325.5,0,18,49.38,5.04,1.02,54.27
28	,1258.TW,其祥-KY,18.3,0,6,68.32,72.04,0.3,44.43
29	,1259.TW,安心,68.6,0.44,5,65.48,26.28,0.14,52.83
30	,1264.TW,德麥,295,0.34,3,24.64,7.61,0.05,16.54
31	,1268.TW,漢來美食,110.5,-0.45,21,70.49,0.08,0.32,19.29
32	,1301.TW,台塑,103,1.48,9074,83.83,38.95,0.16,15.98
33	,1303.TW,南亞,84.3,1.93,10330,83.76,33.9,0.18,18.27
34	,1304.TW,台聚,30.8,-0.32,5539,63.51,38.78,6.49,24.45
35	,1305.TW,華夏,33.45,0.45,2669,48.85,11.21,11.03,24.97
36	,1307.TW,三芳,20.65,0.49,181,79.79,11.26,0.55,17.43
37	,1308.TW,亞聚,36.4,1.25,2804,53.74,10.17,11.73,38.07
38	,1309.TW,台達化,33.4,0.15,747,42.25,2.96,8.29,39.38
39	,1310.TW,台苯,17.2,0,685,33.31,7.3,5.03,4.58
40	,1312.TW,國喬,28.3,1.43,6187,38.35,22.66,25.78,5.38
41	,1313.TW,聯成,21.2,1.44,4065,64.55,8.9,5.38,32.67
42	,1314.TW,中石化,12.45,-1.58,11948,29.03,11.23,18.7,2.45
43	,1316.TW,上曜,20.1,-1.47,4997,41.74,3.4,60.68,12.54
44	,1319.TW,東陽,33.1,0.3,561,70.92,14.99,2.48,26.71
45	,1321.TW,大洋,34.7,0,293,61.74,2.53,3.07,5.94
46	,1323.TW,永裕,34.75,0.29,25,43.33,3.4,1.09,12.65
47	,1324.TW,地球,11.65,0.43,51,65.94,0.75,2.22,16.8
48	,1325.TW,恆大,45.5,1.9,3386,41.25,8.17,19.77,32.81
49	,1326.TW,台化,79.3,0.38,3260,85.82,35.79,0.1,6.5
50	,1336.TW,台翰,20.65,0,37,43.46,1.31,12.01,22.05
51	,1337.TW,再生-KY,7.13,-0.42,277,33.71,24.45,26.23,20.41
52	,1338.TW,廣華-KY,53.9,-3.75,297,31.84,8.65,16.85,18.2
53	,1339.TW,昭輝,34.85,-0.14,21,64.88,0.95,4.4,48.5
54	,1340.TW,勝悅-KY,11.15,-0.45,53,28.92,28.65,4.55,0
55	,1342.TW,八貫,60,-0.83,160,77.06,53.58,3.67,20.57
56	,1402.TW,遠東新,28.1,-0.35,31500,86.94,17.99,0.61,28.47
57	,1409.TW,新纖,19.9,1.79,6953,67.27,13.77,3.88,6.71
58	,1410.TW,南染,37.4,0.54,6,67.35,21.19,2.34,17.36
59	,1414.TW,東和,19.95,-2.68,11053,73.28,1.8,16.87,19.43
60	,1416.TW,廣豐,11.2,-0.88,229,47.96,9.21,13.33,8.41
61	,1417.TW,嘉裕,14.7,0,646,48.27,2.95,9.76,11.65
62	,1419.TW,新紡,42.6,-0.23,25,86.46,2.06,0.59,6.57
63	,1423.TW,利華,19.75,0,47,70.66,1.37,7.86,26.63
64	,1434.TW,福懋,28.5,-1.21,16621,78.03,14.91,0.44,38.61
65	,1436.TW,華友聯,54,0,28,81.4,0.4,2.24,25.95
66	,1437.TW,勤益控,25.6,0,70,63.88,5.27,2.21,9.08
67	,1438.TW,三地開發,30.4,-3.03,151,63.89,0.58,4.44,10.14
68	,1439.TW,中和,23.5,-0.21,14,74.13,0.49,2.79,10.39
69	,1440.TW,南紡,26.4,6.45,154134,72.01,7.22,9.12,32.61
70	,1442.TW,名軒,22.5,-0.88,510,73.83,4.18,9.72,4.98
71	,1444.TW,力麗,11,0,5998,57.04,5.6,8.4,19.83
72	,1445.TW,大宇,15.4,3.36,365,66.07,2.13,3.21,13.42
73	,1446.TW,宏和,33.9,0,49,66.42,1.32,9.44,10.43
74	,1447.TW,力鵬,10.2,0.49,3182,62.7,6.48,9.93,22.13
75	,1449.TW,佳和,14.9,-0.33,45,65.1,15.67,6.03,12.72
76	,1451.TW,年興,21.4,1.9,536,58.72,8.22,1.78,7.09
77	,1452.TW,宏益,24.45,3.16,2373,28.78,5.24,8.11,11.42
78	,1453.TW,大將,9.22,0.88,173,74.1,0.3,4.4,22.22
79	,1454.TW,台富,13.95,8.56,3353,64.53,0.5,13.99,18.39
80	,1455.TW,集盛,16.8,1.2,19665,49.88,2.75,19.94,24.69
81	,1456.TW,怡華,22.05,0.46,137,81.29,13.56,7.97,47.63
82	,1457.TW,宜進,18.3,0.83,810,59.2,2.35,4.59,9.98
83	,1459.TW,聯發,13.05,1.16,1133,73.23,1.91,1.24,17.83
84	,1463.TW,強盛,14.5,1.05,135,54.46,2.48,5.02,21.83
85	,1464.TW,得力,15.4,0.65,202,52.28,1.64,2.4,10.13
86	,1465.TW,偉全,12.55,0,26,59.28,0.5,19.38,16.74
87	,1466.TW,聚隆,15.15,0,354,53.2,1.3,18.62,20.62
88	,1467.TW,南緯,13.8,-0.36,453,62.53,19.99,30.91,43.96
89	,1470.TW,大統新創,18.05,0.28,97,70.76,0.2,0.06,21.58
90	,1473.TW,台南,18,0,21,60.33,9.07,0.96,21.97
91	,1474.TW,弘裕,15.15,1.34,954,41.56,1.76,16.29,18.81
92	,1476.TW,儒鴻,610,-0.33,505,68.81,43.74,0.53,17.79
93	,1477.TW,聚陽,247,0.82,1618,56.06,32,2.25,11.2
94	,1503.TW,士電,53.5,0.94,88,84.23,32.05,0.12,28.06
95	,1504.TW,東元,30.9,0.98,4248,81,22.96,1.14,8.82
96	,1507.TW,永大,64.3,-0.16,443,85.32,13.22,0.03,7.78
97	,1513.TW,中興電,43.05,0,2033,41.59,8.13,15.31,10.21
98	,1514.TW,亞力,24.9,-0.6,449,41.66,9.32,5.31,16.63
99	,1515.TW,力山,56.4,1.08,1555,46.17,8.4,15.3,13.57
100	,1516.TW,川飛,24.5,-0.41,573,49.12,0.58,29.34,26.54
101	,1517.TW,利奇,27.2,-2.68,2159,45.06,3.65,9.25,14.4
102	,1519.TW,華城,36.55,-0.54,725,65.86,6.53,6.95,20.57
103	,1521.TW,大億,40.35,-0.49,49,60.02,33.35,0.67,34.19
104	,1522.TW,堤維西,19,0.26,730,55.51,5.8,1.92,8.43
105	,1524.TW,耿鼎,10.9,-1.8,430,47.08,0.35,9.98,26.36
106	,1525.TW,江申,59.3,-0.34,10,81.67,0.46,7.28,77.83
107	,1526.TW,日馳,48.15,-1.13,190,30.21,3.51,27.63,28.08
108	,1527.TW,鑽全,42.85,0,160,22.92,9.2,6.71,15.51
109	,1528.TW,恩德,11.8,-1.67,811,49.14,4.48,9.08,13.2
110	,1529.TW,樂士,19.85,-8.31,4777,67.86,7.17,34.3,21.39
111	,1530.TW,亞崴,33.25,0.76,6,74.92,0.79,1.04,58.93
112	,1531.TW,高林股,15.6,0.97,165,60.9,2.51,2.89,32.29
113	,1532.TW,勤美,31.85,-0.78,296,68.06,11.88,3.15,20.09
114	,1533.TW,車王電,56.8,0,215,52.43,5.44,11.04,35.5
115	,1535.TW,中宇,39.05,-0.13,32,76.01,1.01,0.31,60.43
116	,1536.TW,和大,90.3,0.22,521,54.11,13.41,7.37,12.91
117	,1537.TW,廣隆,139,0.72,142,45.17,18.93,0.77,16.91
118	,1539.TW,巨庭,21.7,-3.98,702,58.1,0.64,10.48,15.1
119	,1540.TW,喬福,15.3,-0.97,105,30.95,0.4,1.32,20.83
120	,1541.TW,錩泰,43.5,-1.02,9,80.56,9.72,0.78,38.66
121	,1558.TW,伸興,144,0,30,11.27,8.21,2.64,11.74
122	,1560.TW,中砂,89,-2.52,3464,46.57,13.22,18.74,16.86
123	,1565.TW,精華,314.5,-0.16,130,19.33,32.41,8.24,8.86
124	,1568.TW,倉佑,21.1,1.2,119,54.15,1.62,5.93,21.36
125	,1569.TW,濱川,25.1,0.2,115,39.84,2.27,11.07,15.16
126	,1570.TW,力肯,23.8,-2.26,1429,23.2,6.72,27.09,9.08
