符合條件商品
資料日期：2021年 12月 24日
策略,	00主力買進股
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力買進比
執行時間：2021-12-27 09:22 符合檔數(534)
1	,4904.TW,遠傳,63.9,0,2391,5.13
2	,3045.TW,台灣大,99.8,0.3,2077,3.6
3	,8440.TW,綠電,23.2,9.95,4448,2.99
4	,6456.TW,GIS-KY,103.5,0.98,1227,2.99
5	,2360.TW,致茂,205,-0.49,594,2.82
6	,9937.TW,全國,49,0,41,2.76
7	,4960.TW,誠美材,13.05,1.56,7307,2.43
8	,2845.TW,遠東銀,10.7,0,4568,2.42
9	,2317.TW,鴻海,104,0,11662,2.39
10	,4938.TW,和碩,68.7,0,3047,2.29
11	,1303.TW,南亞,85.9,0.59,4650,2.29
12	,3207.TW,耀勝,23.25,-1.48,1567,2.18
13	,2834.TW,臺企銀,9.78,0.31,16599,2.18
14	,8150.TW,南茂,48.3,0.42,5645,2.14
15	,5245.TW,智晶,102.5,-4.65,861,2.13
16	,2357.TW,華碩,370,-0.27,1378,2.1
17	,2882.TW,國泰金,61.1,0.99,21549,2.09
18	,2344.TW,華邦電,31.65,0.64,47165,2.08
19	,4513.TW,福裕,16.25,3.5,2656,2.03
20	,2474.TW,可成,156,0.65,1219,1.98
21	,6505.TW,台塑化,96.8,0.62,1847,1.87
22	,2417.TW,圓剛,30,9.89,14527,1.87
23	,2461.TW,光群雷,25.5,9.91,24341,1.86
24	,2912.TW,統一超,274.5,0.55,785,1.83
25	,8064.TW,東捷,22.05,4.01,21548,1.83
26	,8034.TW,榮群,21.6,9.92,6344,1.82
27	,6282.TW,康舒,39.95,9.9,105501,1.81
28	,3354.TW,律勝,19.8,1.8,722,1.8
29	,2382.TW,廣達,90.5,0.22,4100,1.78
30	,2404.TW,漢唐,178,2.01,1334,1.76
31	,2515.TW,中工,8.88,0.34,1835,1.74
32	,3018.TW,同開,20.9,-1.42,1716,1.73
33	,2409.TW,友達,22.45,1.13,49700,1.71
34	,3596.TW,智易,124.5,0,3815,1.7
35	,3702.TW,大聯大,51.2,0.59,3666,1.66
36	,2201.TW,裕隆,42.3,0.83,4419,1.65
37	,4958.TW,臻鼎-KY,101,0.5,945,1.63
38	,8092.TW,建暐,13.35,9.88,1938,1.61
39	,3324.TW,雙鴻,202.5,-0.25,1163,1.6
40	,2449.TW,京元電子,43.8,0.57,3462,1.6
41	,8201.TW,無敵,17.75,-2.47,29513,1.58
42	,2337.TW,旺宏,41.25,-0.24,6013,1.58
43	,2609.TW,陽明,122.5,0,25692,1.58
44	,4141.TW,龍燈-KY,24.85,1.02,2413,1.57
45	,2441.TW,超豐,77.1,0.65,956,1.57
46	,3264.TW,欣銓,55.3,0.91,3410,1.56
47	,3031.TW,佰鴻,25.55,1.39,2343,1.56
48	,2603.TW,長榮,139,0,54760,1.56
49	,2356.TW,英業達,25,0.6,2111,1.55
50	,6285.TW,啟碁,75.7,0.53,1452,1.55
51	,4128.TW,中天,69.7,0.29,3642,1.55
52	,2351.TW,順德,162,1.25,1370,1.53
53	,8110.TW,華東,19.5,5.12,14516,1.53
54	,2355.TW,敬鵬,37.3,1.77,12651,1.53
55	,8936.TW,國統,21.7,1.4,2033,1.52
56	,6191.TW,精成科,38.2,1.73,8252,1.52
57	,2886.TW,兆豐金,35.5,0,9629,1.51
58	,6158.TW,禾昌,43.95,3.17,12882,1.51
59	,1414.TW,東和,19.75,0,1128,1.5
60	,2305.TW,全友,10.15,1.7,32815,1.5
61	,2006.TW,東和鋼鐵,68.5,0.44,2430,1.5
62	,2316.TW,楠梓電,34.35,9.92,7999,1.49
63	,1717.TW,長興,37.15,0.27,2672,1.49
64	,8183.TW,精星,70.9,9.92,25661,1.49
65	,2323.TW,中環,9.17,0.44,6427,1.48
66	,6239.TW,力成,98.3,0.41,2588,1.48
67	,2454.TW,聯發科,1120,2.28,5416,1.47
68	,2456.TW,奇力新,93.4,-0.64,1086,1.47
69	,2303.TW,聯電,64.3,0.63,75488,1.47
70	,1810.TW,和成,17.8,1.42,3320,1.46
71	,6156.TW,松上,20.9,-0.71,1289,1.44
72	,8105.TW,凌巨,13.55,2.26,10590,1.43
73	,2547.TW,日勝生,10.25,0.49,1920,1.43
74	,4956.TW,光鋐,26.75,1.13,1217,1.43
75	,6538.TW,倉和,94.9,9.97,3415,1.43
76	,8155.TW,博智,167,3.09,5574,1.42
77	,6226.TW,光鼎,16.45,2.49,3861,1.41
78	,4414.TW,如興,7.11,3.34,7003,1.41
79	,6207.TW,雷科,38.8,9.92,11116,1.4
80	,3312.TW,弘憶股,24.05,0,588,1.4
81	,1709.TW,和益,22.55,1.12,1675,1.39
82	,2607.TW,榮運,28.45,0.35,2284,1.39
83	,3532.TW,台勝科,304,3.23,5588,1.39
84	,1402.TW,遠東新,28.9,0.35,3789,1.39
85	,8054.TW,安國,61.7,0.82,3330,1.38
86	,2330.TW,台積電,604,-0.33,12009,1.37
87	,8415.TW,大國鋼,38.4,-1.16,4310,1.37
88	,1732.TW,毛寶,32.9,1.39,1722,1.34
