符合條件商品
資料日期：2021年 12月 24日
策略,	02強勢股
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲幅
執行時間：2021-12-27 09:22 符合檔數(713)
1	,2483.TW,百容,27,9.98,10625,9.98
2	,3693.TW,營邦,57.3,9.98,1814,9.98
3	,8147.TW,正淩,61.7,9.98,1291,9.98
4	,6538.TW,倉和,94.9,9.97,3415,9.97
5	,3383.TW,新世紀,5.74,9.96,1290,9.96
6	,4945.TW,陞達科技,87.2,9.96,1768,9.96
7	,6152.TW,百一,12.7,9.96,14348,9.96
8	,6552.TW,易華電,58.5,9.96,3303,9.96
9	,8440.TW,綠電,23.2,9.95,4448,9.95
10	,2374.TW,佳能,30.45,9.93,118813,9.93
11	,2316.TW,楠梓電,34.35,9.92,7999,9.92
12	,6207.TW,雷科,38.8,9.92,11116,9.92
13	,8034.TW,榮群,21.6,9.92,6344,9.92
14	,8071.TW,能率網通,14.4,9.92,5528,9.92
15	,8183.TW,精星,70.9,9.92,25661,9.92
16	,2340.TW,台亞,73.2,9.91,64024,9.91
17	,2461.TW,光群雷,25.5,9.91,24341,9.91
18	,1599.TW,宏佳騰,48.85,9.9,2699,9.9
19	,6282.TW,康舒,39.95,9.9,105501,9.9
20	,2417.TW,圓剛,30,9.89,14527,9.89
21	,8421.TW,旭源,15,9.89,1730,9.89
22	,6593.TW,台灣銘板,42.8,9.88,841,9.88
23	,8092.TW,建暐,13.35,9.88,1938,9.88
24	,3023.TW,信邦,289.5,9.87,3251,9.87
25	,5344.TW,立衛,37.85,9.87,1501,9.87
26	,5321.TW,美而快,117,9.86,3058,9.86
27	,1568.TW,倉佑,23,9.79,1457,9.79
28	,4755.TW,三福化,141.5,9.69,10575,9.69
29	,3276.TW,宇環,21.15,9.02,5449,9.02
30	,3701.TW,大眾控,79.2,7.61,14154,7.61
31	,3624.TW,光頡,66.7,7.58,33103,7.58
32	,1905.TW,華紙,25.55,7.13,43162,7.13
33	,5227.TW,立凱-KY,83,7.1,5481,7.1
34	,6233.TW,旺玖,37.1,6.92,13767,6.92
35	,2497.TW,怡利電,86.1,6.3,23065,6.3
36	,6266.TW,泰詠,25.85,5.73,25677,5.73
37	,3484.TW,崧騰,94.2,5.25,18388,5.25
38	,3049.TW,和鑫,16.25,5.18,73679,5.18
39	,8110.TW,華東,19.5,5.12,14516,5.12
40	,4303.TW,信立,27.4,4.78,944,4.78
41	,3259.TW,鑫創,32.85,4.62,536,4.62
42	,2368.TW,金像電,79.5,4.47,44717,4.47
43	,2440.TW,太空梭,20.15,4.4,7253,4.4
44	,6515.TW,穎崴,404,4.39,847,4.39
45	,5234.TW,達興材料,134,4.28,1636,4.28
46	,5243.TW,乙盛-KY,68.2,4.28,5141,4.28
47	,4944.TW,兆遠,31,4.2,972,4.2
48	,8064.TW,東捷,22.05,4.01,21548,4.01
49	,1441.TW,大東,9.69,3.97,594,3.97
50	,1907.TW,永豐餘,35.6,3.94,11409,3.94
51	,3013.TW,晟銘電,15.95,3.91,5933,3.91
52	,3540.TW,曜越,42.7,3.89,826,3.89
53	,8069.TW,元太,148,3.86,54679,3.86
54	,2369.TW,菱生,27.35,3.8,30605,3.8
55	,3094.TW,聯傑,37.45,3.74,8518,3.74
56	,3515.TW,華擎,277.5,3.74,6809,3.74
57	,4942.TW,嘉彰,49.1,3.7,1976,3.7
58	,3490.TW,單井,34.25,3.63,2109,3.63
59	,6790.TW,永豐實,50.5,3.59,1020,3.59
60	,2359.TW,所羅門,18.85,3.57,3745,3.57
61	,3321.TW,同泰,14.6,3.55,2059,3.55
62	,4513.TW,福裕,16.25,3.5,2656,3.5
63	,3669.TW,圓展,61.2,3.38,14882,3.38
64	,5392.TW,能率,26.1,3.37,1024,3.37
65	,5426.TW,振發,12.3,3.36,2202,3.36
66	,4414.TW,如興,7.11,3.34,7003,3.34
67	,3532.TW,台勝科,304,3.23,5588,3.23
68	,6158.TW,禾昌,43.95,3.17,12882,3.17
69	,4564.TW,元翎,41.15,3.13,805,3.13
70	,8155.TW,博智,167,3.09,5574,3.09
71	,6129.TW,普誠,36.8,3.08,8880,3.08
72	,3050.TW,鈺德,18.8,3.01,5712,3.01
73	,3489.TW,森寶,12.15,2.97,1422,2.97
74	,2472.TW,立隆電,66.4,2.95,2013,2.95
75	,3526.TW,凡甲,193,2.93,6441,2.93
76	,3071.TW,協禧,28.65,2.87,4725,2.87
77	,5258.TW,虹堡,41.3,2.86,16399,2.86
78	,1584.TW,精剛,18.2,2.82,1188,2.82
79	,1434.TW,福懋,29.4,2.8,9529,2.8
80	,3041.TW,揚智,38.85,2.78,49676,2.78
81	,1524.TW,耿鼎,11.15,2.76,1182,2.76
82	,6206.TW,飛捷,81.3,2.65,725,2.65
83	,3122.TW,笙泉,60.6,2.54,4740,2.54
84	,6226.TW,光鼎,16.45,2.49,3861,2.49
85	,3035.TW,智原,249,2.47,34388,2.47
86	,8040.TW,九暘,74.6,2.47,9711,2.47
87	,6139.TW,亞翔,29.15,2.46,868,2.46
88	,2704.TW,國賓,31.3,2.45,1051,2.45
89	,1904.TW,正隆,35.9,2.43,10946,2.43
90	,3390.TW,旭軟,27.35,2.43,3192,2.43
91	,2426.TW,鼎元,29.7,2.41,22875,2.41
92	,6245.TW,立端,55.5,2.4,929,2.4
93	,2405.TW,浩鑫,19.7,2.34,10365,2.34
94	,8464.TW,億豐,418.5,2.32,1016,2.32
95	,2233.TW,宇隆,97.3,2.31,595,2.31
96	,6290.TW,良維,53.4,2.3,3913,2.3
97	,2454.TW,聯發科,1120,2.28,5416,2.28
98	,8105.TW,凌巨,13.55,2.26,10590,2.26
99	,4744.TW,皇將,38.95,2.23,3166,2.23
100	,3038.TW,全台,19.65,2.08,1327,2.08
101	,3372.TW,典範,24.6,2.07,1799,2.07
102	,2404.TW,漢唐,178,2.01,1334,2.01
103	,2915.TW,潤泰全,96.3,2.01,5890,2.01
104	,6275.TW,元山,38.25,2,2939,2
105	,3002.TW,歐格,12.8,1.99,504,1.99
106	,5302.TW,太欣,13.05,1.95,838,1.95
107	,5315.TW,光聯,18.6,1.92,1587,1.92
108	,2453.TW,凌群,29.5,1.9,972,1.9
109	,6243.TW,迅杰,60,1.87,2720,1.87
110	,3380.TW,明泰,33.4,1.83,5046,1.83
111	,3354.TW,律勝,19.8,1.8,722,1.8
112	,8059.TW,凱碩,11.45,1.78,592,1.78
113	,2355.TW,敬鵬,37.3,1.77,12651,1.77
114	,2455.TW,全新,145.5,1.75,3163,1.75
115	,6191.TW,精成科,38.2,1.73,8252,1.73
116	,6568.TW,宏觀,382.5,1.73,1521,1.73
117	,8104.TW,錸寶,77.4,1.71,17698,1.71
118	,2305.TW,全友,10.15,1.7,32815,1.7
119	,2211.TW,長榮鋼,55,1.66,569,1.66
120	,3059.TW,華晶科,50.8,1.6,75094,1.6
121	,4960.TW,誠美材,13.05,1.56,7307,1.56
122	,8163.TW,達方,49.35,1.54,6081,1.54
123	,1906.TW,寶隆,20.65,1.47,1098,1.47
124	,2102.TW,泰豐,27.6,1.47,667,1.47
125	,5469.TW,瀚宇博,45.25,1.46,3677,1.46
126	,1909.TW,榮成,24.55,1.45,15339,1.45
127	,3711.TW,日月光投控,105,1.45,10515,1.45
128	,5285.TW,界霖,106,1.44,1792,1.44
129	,1815.TW,富喬,17.75,1.43,15998,1.43
130	,1810.TW,和成,17.8,1.42,3320,1.42
131	,3169.TW,亞信,286,1.42,5740,1.42
132	,8936.TW,國統,21.7,1.4,2033,1.4
133	,1732.TW,毛寶,32.9,1.39,1722,1.39
134	,3031.TW,佰鴻,25.55,1.39,2343,1.39
135	,3021.TW,鴻名,25.95,1.37,617,1.37
136	,5213.TW,亞昕,22.6,1.35,597,1.35
137	,1506.TW,正道,15.1,1.34,639,1.34
138	,5434.TW,崇越,153.5,1.32,614,1.32
139	,3444.TW,利機,62.8,1.29,1346,1.29
140	,9945.TW,潤泰新,63.3,1.28,5477,1.28
141	,2351.TW,順德,162,1.25,1370,1.25
142	,6499.TW,益安,97.2,1.25,4701,1.25
143	,2423.TW,固緯,28.6,1.24,532,1.24
144	,8114.TW,振樺電,122,1.24,1130,1.24
145	,6532.TW,瑞耘,50.4,1.2,705,1.2
146	,2409.TW,友達,22.45,1.13,49700,1.13
147	,4956.TW,光鋐,26.75,1.13,1217,1.13
148	,1709.TW,和益,22.55,1.12,1675,1.12
149	,3024.TW,憶聲,13.95,1.09,811,1.09
150	,4108.TW,懷特,23.3,1.08,517,1.08
151	,5443.TW,均豪,33.4,1.06,727,1.06
152	,2324.TW,仁寶,24.05,1.05,6456,1.05
153	,4141.TW,龍燈-KY,24.85,1.02,2413,1.02
154	,1316.TW,上曜,20.2,1,5069,1
155	,1514.TW,亞力,25.6,0.99,1360,0.99
156	,2882.TW,國泰金,61.1,0.99,21549,0.99
157	,5871.TW,中租-KY,255,0.99,962,0.99
158	,6456.TW,GIS-KY,103.5,0.98,1227,0.98
159	,8039.TW,台虹,47.05,0.97,672,0.97
160	,3092.TW,鴻碩,53.4,0.95,2453,0.95
161	,6208.TW,日揚,53,0.95,506,0.95
162	,2888.TW,新光金,10.7,0.94,116621,0.94
163	,3529.TW,力旺,2150,0.94,679,0.94
164	,3264.TW,欣銓,55.3,0.91,3410,0.91
165	,3306.TW,鼎天,33.4,0.91,1596,0.91
166	,2883.TW,開發金,16.85,0.9,66006,0.9
167	,6118.TW,建達,44.6,0.9,1249,0.9
168	,6133.TW,金橋,11.2,0.9,2284,0.9
169	,1721.TW,三晃,28.9,0.87,30938,0.87
170	,2365.TW,昆盈,11.7,0.86,1745,0.86
171	,3011.TW,今皓,11.75,0.86,1595,0.86
172	,2049.TW,上銀,297,0.85,1463,0.85
173	,2201.TW,裕隆,42.3,0.83,4419,0.83
174	,8054.TW,安國,61.7,0.82,3330,0.82
175	,1806.TW,冠軍,12.5,0.81,2158,0.81
176	,1477.TW,聚陽,250.5,0.8,1082,0.8
177	,3017.TW,奇鋐,87.7,0.8,3644,0.8
178	,4707.TW,磐亞,12.6,0.8,736,0.8
179	,6153.TW,嘉聯益,25.65,0.79,5175,0.79
180	,1319.TW,東陽,32.9,0.77,605,0.77
181	,9904.TW,寶成,32.95,0.76,2550,0.76
182	,2618.TW,長榮航,26.8,0.75,119391,0.75
183	,8024.TW,佑華,27.3,0.74,746,0.74
184	,1773.TW,勝一,144,0.7,1221,0.7
185	,2105.TW,正新,36.05,0.7,2275,0.7
186	,6446.TW,藥華藥,288,0.7,1895,0.7
187	,3551.TW,世禾,72.8,0.69,842,0.69
188	,2376.TW,技嘉,156,0.65,5889,0.65
189	,2441.TW,超豐,77.1,0.65,956,0.65
190	,2474.TW,可成,156,0.65,1219,0.65
191	,2344.TW,華邦電,31.65,0.64,47165,0.64
192	,3680.TW,家登,315,0.64,787,0.64
193	,2303.TW,聯電,64.3,0.63,75488,0.63
194	,6175.TW,立敦,47.7,0.63,2614,0.63
195	,6505.TW,台塑化,96.8,0.62,1847,0.62
196	,2356.TW,英業達,25,0.6,2111,0.6
197	,4943.TW,康控-KY,33.35,0.6,684,0.6
198	,6176.TW,瑞儀,100.5,0.6,1884,0.6
199	,1303.TW,南亞,85.9,0.59,4650,0.59
200	,2402.TW,毅嘉,17.15,0.59,1002,0.59
201	,3665.TW,貿聯-KY,254,0.59,754,0.59
202	,3702.TW,大聯大,51.2,0.59,3666,0.59
