符合條件商品
資料日期：2021年 12月  3日
策略,	05準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券
執行時間：2021-12-05 18:05 符合檔數(1451)
1	,1101.TW,台泥,46.4,0.22,14903,0.46,0.57,0.51,0.6,0.41,0.39
2	,1102.TW,亞泥,42.75,0.83,5045,0.49,0.53,0.56,0.55,0.48,0.39
3	,1103.TW,嘉泥,20.35,0,265,0.49,0.63,0.44,0.3,0.28,0.4
4	,1104.TW,環泥,21.5,0.94,300,0.4,0.53,0.35,0,0.31,0.39
5	,1108.TW,幸福,11.5,0.44,96,0.53,0.55,0.34,0,0.17,0.36
6	,1109.TW,信大,20.05,0.75,147,0.53,0.62,0.34,0.2,0.22,0.4
7	,1110.TW,東泥,19.45,-1.02,392,0.45,0.44,0.25,0.11,0.24,0.31
8	,1201.TW,味全,22.2,0.45,576,0.61,0.65,0.56,0,0.38,0.43
9	,1203.TW,味王,33.05,0.15,5,0.47,0.53,0.24,0,0,0.28
10	,1210.TW,大成,52.2,0.38,1028,0.61,0.59,0.57,0.51,0.38,0.42
11	,1215.TW,卜蜂,80.5,0.5,413,0.52,0.62,0.65,0.47,0.36,0.47
12	,1216.TW,統一,67.5,-0.3,6161,0.33,0.57,0.55,0.59,0.41,0.41
13	,1217.TW,愛之味,10.25,0,752,0.55,0.57,0.32,0,0.25,0.5
14	,1218.TW,泰山,26.9,0,104,0.53,0.66,0.61,0,0.34,0.42
15	,1219.TW,福壽,20.2,-0.74,591,0.54,0.47,0.34,0,0.32,0.39
16	,1220.TW,台榮,15.25,0.33,182,0.45,0.47,0.21,0.5,0.14,0.27
17	,1225.TW,福懋油,50.5,0.4,17,0.51,0.62,0.23,0,0.05,0.38
18	,1227.TW,佳格,51.4,0.59,507,0.5,0.63,0.53,0.44,0.37,0.46
19	,1229.TW,聯華,57,-0.35,678,0.64,0.57,0.53,0.46,0.35,0.41
20	,1231.TW,聯華食,68.2,-0.15,131,0.48,0.61,0.31,0.07,0.04,0.39
21	,1232.TW,大統益,161,-0.31,48,0.42,0.49,0.37,0.24,0,0.35
22	,1233.TW,天仁,33.75,-1.03,14,0.17,0.45,0.15,0,0,0.21
23	,1234.TW,黑松,35.3,0.28,74,0.45,0.51,0.35,0,0,0.33
24	,1235.TW,興泰,44.4,0.57,28,0.39,0.48,0.2,0,0,0.16
25	,1236.TW,宏亞,21,-0.24,473,0.4,0.51,0.25,0,0.4,0.25
26	,1240.TW,茂生農經,51.3,0.59,6,0.6,0.49,0.04,0,0,0.09
27	,1256.TW,鮮活果汁-KY,338,-0.29,47,0.6,0.6,0.3,0,0.21,0.37
28	,1258.TW,其祥-KY,17.6,-1.12,12,0.4,0.41,0.08,0,0,0.08
29	,1259.TW,安心,69.5,0.72,1,0.34,0.12,0,0,0,0
30	,1264.TW,德麥,291.5,-0.34,26,0.35,0.48,0,0,0,0.18
31	,1268.TW,漢來美食,116,0,5,0.42,0.4,0,0,0,0.14
32	,1301.TW,台塑,103.5,0,4797,0.33,0.59,0.59,0.68,0.37,0.46
33	,1303.TW,南亞,83.6,-0.24,5439,0.38,0.67,0.6,0.47,0.45,0.45
34	,1304.TW,台聚,31.85,1.59,5602,0.54,0.63,0.6,0.36,0.34,0.43
35	,1305.TW,華夏,34.3,1.63,4371,0.58,0.61,0.6,0.41,0.34,0.46
36	,1307.TW,三芳,20.5,0,68,0.45,0.65,0.32,0,0.03,0.48
37	,1308.TW,亞聚,37.75,1.21,5404,0.59,0.58,0.62,0.44,0.28,0.39
38	,1309.TW,台達化,33.85,0.59,704,0.56,0.65,0.57,0.39,0.31,0.43
39	,1310.TW,台苯,17.35,0.29,901,0.54,0.57,0.62,0.08,0.46,0.54
40	,1312.TW,國喬,28.5,0.35,8714,0.53,0.57,0.56,0.38,0.43,0.49
41	,1313.TW,聯成,21.15,0.71,1522,0.55,0.65,0.57,0.11,0.35,0.46
42	,1314.TW,中石化,12.7,1.2,16960,0.61,0.63,0.64,0.08,0.35,0.49
43	,1315.TW,達新,65.9,-1.2,71,0.6,0.62,0.51,0.17,0.4,0.48
44	,1316.TW,上曜,20.3,-2.4,15266,0.58,0.6,0.31,0,0.22,0.44
45	,1319.TW,東陽,33.2,0.61,368,0.49,0.61,0.56,0.39,0.38,0.51
46	,1321.TW,大洋,34.95,0.58,142,0.54,0.63,0.35,0,0.16,0.44
47	,1323.TW,永裕,35,0,127,0.41,0.52,0.26,0,0,0.31
48	,1324.TW,地球,10.95,0.46,82,0.43,0.38,0.33,0,0,0.12
49	,1325.TW,恆大,48,-1.13,1998,0.5,0.5,0.5,0.14,0.42,0.51
50	,1326.TW,台化,79.3,-0.5,2441,0.37,0.59,0.53,0.52,0.41,0.51
51	,1336.TW,台翰,20.7,2.22,11,0.53,0.5,0.05,0,0.26,0.53
52	,1337.TW,再生-KY,7.12,0.56,250,0.48,0.68,0.44,0,0.46,0.48
53	,1338.TW,廣華-KY,51.3,0.59,65,0.51,0.59,0.35,0.1,0.37,0.51
54	,1339.TW,昭輝,34.15,0.15,74,0.62,0.56,0.25,0,0.18,0.48
55	,1340.TW,勝悅-KY,11.1,-1.33,353,0.43,0.6,0.38,0,0.29,0.45
56	,1342.TW,八貫,56.8,1.61,162,0.56,0.53,0.13,0,0,0.14
57	,1402.TW,遠東新,28.3,0,4536,0.37,0.59,0.51,0.57,0.49,0.46
58	,1409.TW,新纖,19.65,0.26,1990,0.58,0.55,0.61,0.16,0.35,0.48
59	,1410.TW,南染,37.25,0.27,195,0.44,0.49,0.31,0,0,0.15
60	,1414.TW,東和,17.7,0.57,1528,0.59,0.52,0.32,0,0.3,0.31
61	,1416.TW,廣豐,11.1,0.91,141,0.48,0.62,0.32,0,0.18,0.42
62	,1417.TW,嘉裕,14.1,0.36,111,0.59,0.49,0.28,0,0.38,0.41
63	,1419.TW,新紡,43.7,-0.34,61,0.43,0.58,0.33,0,0,0.41
64	,1423.TW,利華,19.8,0.51,70,0.55,0.56,0.32,0,0.23,0.3
65	,1432.TW,大魯閣,12.85,0.39,111,0.32,0.54,0.13,0,0,0.25
66	,1434.TW,福懋,29.05,0.52,2437,0.41,0.6,0.48,0.45,0.39,0.41
67	,1436.TW,華友聯,53.8,0.56,28,0.51,0.53,0.26,0,0.1,0.3
68	,1437.TW,勤益控,25.35,-0.2,130,0.5,0.58,0.31,0,0,0.32
69	,1438.TW,三地開發,30.2,0.83,253,0.57,0.43,0.03,0,0.5,0.43
70	,1439.TW,中和,23.55,-1.67,15,0.48,0.52,0.22,0,0.23,0.4
71	,1440.TW,南紡,23.1,1.54,5318,0.55,0.55,0.62,0.33,0.29,0.47
72	,1442.TW,名軒,23.6,0.64,287,0.64,0.57,0.41,0,0.25,0.44
73	,1444.TW,力麗,11.05,0.91,1773,0.63,0.55,0.52,0.31,0.34,0.57
74	,1445.TW,大宇,15.65,0.32,782,0.51,0.51,0.31,0,0.11,0.35
75	,1446.TW,宏和,33.7,0.45,98,0.55,0.57,0.32,0,0.15,0.43
76	,1447.TW,力鵬,10.05,0.5,1650,0.52,0.55,0.47,0.18,0.27,0.5
77	,1449.TW,佳和,14.95,-0.99,123,0.6,0.54,0.25,0,0.06,0.22
78	,1451.TW,年興,20.4,0.25,84,0.46,0.57,0.32,0,0.12,0.42
79	,1452.TW,宏益,23.7,3.04,649,0.54,0.55,0.3,0,0.18,0.4
80	,1453.TW,大將,8.78,0.11,45,0.57,0.49,0.22,0,0,0.27
81	,1454.TW,台富,11.2,0.9,221,0.44,0.5,0.26,0,0,0.29
82	,1455.TW,集盛,16.9,4.97,14498,0.55,0.62,0.47,0,0.35,0.57
83	,1456.TW,怡華,21.1,1.44,87,0.57,0.5,0.28,0,0.17,0.32
84	,1457.TW,宜進,17.95,0.84,450,0.51,0.61,0.29,0,0.28,0.41
85	,1463.TW,強盛,14.8,-0.67,209,0.57,0.55,0.31,0,0.13,0.43
86	,1464.TW,得力,15.3,0,335,0.6,0.6,0.56,0.07,0.41,0.52
87	,1465.TW,偉全,12.2,0,36,0.47,0.4,0.2,0,0,0.35
88	,1466.TW,聚隆,15.2,0.66,91,0.5,0.47,0.3,0,0.4,0.55
89	,1467.TW,南緯,13.85,0.36,344,0.52,0.55,0.31,0,0.34,0.41
90	,1470.TW,大統新創,18,-0.28,1,0.21,0.5,0.18,0,0,0
91	,1473.TW,台南,17.85,-0.28,62,0.53,0.6,0.28,0,0.09,0.44
92	,1474.TW,弘裕,14.9,0,455,0.54,0.53,0.36,0,0.32,0.47
93	,1476.TW,儒鴻,591,1.72,1070,0.36,0.63,0.6,0.67,0.42,0.49
94	,1477.TW,聚陽,237,-0.84,2564,0.41,0.63,0.62,0.61,0.5,0.48
95	,1503.TW,士電,53.2,0.19,76,0.48,0.6,0.53,0.06,0,0.35
96	,1504.TW,東元,30.25,-0.17,2015,0.51,0.55,0.48,0.48,0.41,0.43
97	,1507.TW,永大,64.4,-0.16,509,0.36,0.55,0.45,0,0.09,0.49
98	,1513.TW,中興電,44.95,0.33,1333,0.61,0.61,0.58,0.52,0.32,0.41
99	,1514.TW,亞力,23.35,0,177,0.53,0.62,0.33,0,0.47,0.41
100	,1515.TW,力山,62.9,0.16,771,0.53,0.63,0.66,0.36,0.36,0.52
101	,1516.TW,川飛,24,0,91,0.51,0.49,0.08,0,0.08,0.24
102	,1517.TW,利奇,27.45,3.2,1494,0.56,0.54,0.44,0,0.27,0.4
103	,1519.TW,華城,35,0,344,0.63,0.69,0.55,0.12,0.36,0.51
104	,1521.TW,大億,41.8,0.48,86,0.47,0.6,0.16,0,0,0.31
105	,1522.TW,堤維西,19.15,0.79,155,0.48,0.6,0.4,0.14,0.44,0.44
106	,1524.TW,耿鼎,10,-0.5,74,0.59,0.57,0.19,0,0,0.33
