符合條件商品
資料日期：2021年 12月  6日
策略,	01每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融券使用率,	法人持股比例,	融資使用率,	投信持股比例
執行時間：2021-12-07 02:15 符合檔數(1451)
1	,1101.TW,台泥,47.3,1.94,15191,0.01,25.7,0.49,2.47
2	,1102.TW,亞泥,43.15,0.94,6359,0.01,22.21,0.34,2.34
3	,1103.TW,嘉泥,20.5,0.74,208,0,5.65,1.14,0.04
4	,1104.TW,環泥,21.45,-0.23,224,0.01,12.18,1.05,0
5	,1108.TW,幸福,11.5,0,127,0,1.02,2.89,0
6	,1109.TW,信大,20.05,0,119,0,4.54,1.2,0
7	,1110.TW,東泥,19.7,1.29,697,0.02,7.19,4.27,0.02
8	,1201.TW,味全,22.25,0.23,437,0,11.49,2.31,0
9	,1203.TW,味王,32.9,-0.45,15,0,1.86,0.29,0
10	,1210.TW,大成,52.3,0.19,771,0.03,11.77,0.49,0.21
11	,1215.TW,卜蜂,80.2,-0.37,251,0,39.99,0.96,0.87
12	,1216.TW,統一,67.3,-0.3,4324,0,44.88,0.09,1.18
13	,1217.TW,愛之味,10.4,1.46,1033,0.02,8.08,10.18,0
14	,1218.TW,泰山,27,0.37,144,0,2.24,1.76,0
15	,1219.TW,福壽,20.2,0,551,0.01,4.05,9.69,0.03
16	,1220.TW,台榮,15.25,0,90,0.05,7.28,2.24,0
17	,1225.TW,福懋油,50.3,-0.4,21,0,0.74,8.6,0
18	,1227.TW,佳格,51.2,-0.39,516,0,7.03,1.02,0.18
19	,1229.TW,聯華,56.9,-0.18,535,0,12.07,0.26,0.1
20	,1231.TW,聯華食,68.4,0.29,112,0,1.9,0.27,0.02
21	,1232.TW,大統益,161,0,22,0,2.03,0.14,0.71
22	,1233.TW,天仁,33.9,0.44,9,0,5.29,0.01,0
23	,1234.TW,黑松,34.85,-1.27,67,0,5.22,0.11,0
24	,1235.TW,興泰,43.5,-2.03,493,0,0.21,21.07,0
25	,1236.TW,宏亞,21.1,0.48,864,0.11,0.38,7.86,0
26	,1240.TW,茂生農經,51.1,-0.39,15,0,0.28,1,0
27	,1256.TW,鮮活果汁-KY,318,-5.92,205,0,5.07,1.17,0.08
