符合條件商品
資料日期：2021年 12月  6日
策略,	02每日資料（大戶）
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例
執行時間：2021-12-07 02:15 符合檔數(1743)
1	,1101.TW,台泥,47.3,1.94,15191,68.58
2	,1102.TW,亞泥,43.15,0.94,6359,78.49
3	,1103.TW,嘉泥,20.5,0.74,208,73.69
4	,1104.TW,環泥,21.45,-0.23,224,71.06
5	,1108.TW,幸福,11.5,0,127,77.5
6	,1109.TW,信大,20.05,0,119,74.86
7	,1110.TW,東泥,19.7,1.29,697,92.85
8	,1201.TW,味全,22.25,0.23,437,57.25
9	,1203.TW,味王,32.9,-0.45,15,82.82
10	,1210.TW,大成,52.3,0.19,771,56.79
11	,1213.TW,大飲,8.75,7.23,7,73.99
12	,1215.TW,卜蜂,80.2,-0.37,251,56.58
13	,1216.TW,統一,67.3,-0.3,4324,85.95
14	,1217.TW,愛之味,10.4,1.46,1033,43.33
15	,1218.TW,泰山,27,0.37,144,77.56
16	,1219.TW,福壽,20.2,0,551,71.02
17	,1220.TW,台榮,15.25,0,90,62.19
18	,1225.TW,福懋油,50.3,-0.4,21,88.5
19	,1227.TW,佳格,51.2,-0.39,516,69.41
20	,1229.TW,聯華,56.9,-0.18,535,64.41
21	,1231.TW,聯華食,68.4,0.29,112,63.53
22	,1232.TW,大統益,161,0,22,76.58
23	,1233.TW,天仁,33.9,0.44,9,60.95
24	,1234.TW,黑松,34.85,-1.27,67,78.05
25	,1235.TW,興泰,43.5,-2.03,493,89.28
26	,1236.TW,宏亞,21.1,0.48,864,80.98
27	,1240.TW,茂生農經,51.1,-0.39,15,37.06
28	,1256.TW,鮮活果汁-KY,318,-5.92,205,49.38
29	,1258.TW,其祥-KY,17.8,1.14,3,68.32
30	,1259.TW,安心,69.3,-0.29,0,65.4
31	,1264.TW,德麥,290,-0.51,23,24.65
32	,1268.TW,漢來美食,116,0,6,73.76
33	,1301.TW,台塑,104,0.48,5748,84.03
34	,1303.TW,南亞,84.2,0.72,6086,83.86
35	,1304.TW,台聚,31.65,-0.63,3325,64.24
36	,1305.TW,華夏,34.65,1.02,3185,49.4
37	,1307.TW,三芳,20.45,-0.24,76,79.79
38	,1308.TW,亞聚,37.35,-1.06,2622,55.99
39	,1309.TW,台達化,33.8,-0.15,595,41.96
40	,1310.TW,台苯,17.35,0,800,34.27
41	,1312.TW,國喬,28.35,-0.53,7976,40.34
42	,1313.TW,聯成,21.05,-0.47,2241,65.05
43	,1314.TW,中石化,12.65,-0.39,13014,30.2
44	,1315.TW,達新,65.6,-0.46,92,71.98
45	,1316.TW,上曜,20.45,0.74,9492,41.62
46	,1319.TW,東陽,33.3,0.3,300,71.19
47	,1321.TW,大洋,35.2,0.72,143,61.64
48	,1323.TW,永裕,34.85,-0.43,17,43.27
49	,1324.TW,地球,10.95,0,1,67.28
50	,1325.TW,恆大,46.8,-2.5,2220,41.26
51	,1326.TW,台化,79.7,0.5,2121,85.86
52	,1336.TW,台翰,20.5,-0.97,84,43.46
53	,1337.TW,再生-KY,7.14,0.28,191,33.49
54	,1338.TW,廣華-KY,52.1,1.56,231,31.82
55	,1339.TW,昭輝,34.1,-0.15,9,64.88
56	,1340.TW,勝悅-KY,11.15,0.45,70,28.91
57	,1341.TW,富林-KY,67.6,1.05,3,79.67
58	,1342.TW,八貫,59.4,4.58,473,77.43
59	,1402.TW,遠東新,28.6,1.06,5336,87
60	,1409.TW,新纖,19.65,0,2239,67.22
61	,1410.TW,南染,38,2.01,63,68.62
62	,1413.TW,宏洲,10.1,1,60,62
63	,1414.TW,東和,18.05,1.98,1276,71.88
64	,1416.TW,廣豐,11.1,0,70,47.95
