符合條件商品
資料日期：2021年 12月  6日
策略,	05準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券,	法人
執行時間：2021-12-07 02:05 符合檔數(1393)
1	,1101.TW,台泥,47.3,1.94,15191,0.47,0.57,0.51,0.59,0.4,0.39,0.58
2	,1102.TW,亞泥,43.15,0.94,6359,0.49,0.53,0.56,0.54,0.49,0.39,0.56
3	,1103.TW,嘉泥,20.5,0.74,208,0.5,0.63,0.44,0.31,0.28,0.4,0.65
4	,1104.TW,環泥,21.45,-0.23,224,0.4,0.53,0.36,0,0.31,0.39,0.53
5	,1108.TW,幸福,11.5,0,127,0.53,0.55,0.34,0,0.15,0.36,0.54
6	,1109.TW,信大,20.05,0,119,0.53,0.62,0.33,0.2,0.22,0.4,0.62
7	,1110.TW,東泥,19.7,1.29,697,0.45,0.45,0.25,0,0.24,0.31,0.44
8	,1201.TW,味全,22.25,0.23,437,0.6,0.66,0.55,0,0.38,0.42,0.67
9	,1203.TW,味王,32.9,-0.45,15,0.47,0.53,0.25,0,0,0.27,0.52
10	,1210.TW,大成,52.3,0.19,771,0.6,0.59,0.57,0.5,0.38,0.41,0.63
11	,1215.TW,卜蜂,80.2,-0.37,251,0.52,0.62,0.64,0.47,0.35,0.47,0.7
12	,1216.TW,統一,67.3,-0.3,4324,0.34,0.57,0.55,0.59,0.41,0.42,0.58
13	,1217.TW,愛之味,10.4,1.46,1033,0.55,0.57,0.32,0,0.25,0.5,0.57
14	,1218.TW,泰山,27,0.37,144,0.54,0.67,0.61,0,0.34,0.42,0.66
15	,1219.TW,福壽,20.2,0,551,0.55,0.48,0.34,0,0.32,0.39,0.48
16	,1220.TW,台榮,15.25,0,90,0.45,0.47,0.21,0.25,0.14,0.27,0.45
17	,1225.TW,福懋油,50.3,-0.4,21,0.5,0.62,0.23,0,0.05,0.38,0.62
18	,1227.TW,佳格,51.2,-0.39,516,0.5,0.63,0.52,0.44,0.37,0.46,0.63
19	,1229.TW,聯華,56.9,-0.18,535,0.63,0.57,0.54,0.45,0.34,0.41,0.58
20	,1231.TW,聯華食,68.4,0.29,112,0.47,0.6,0.31,0.07,0.04,0.39,0.59
21	,1232.TW,大統益,161,0,22,0.42,0.49,0.36,0.22,0,0.35,0.53
22	,1233.TW,天仁,33.9,0.44,9,0.18,0.44,0.15,0,0,0.21,0.47
23	,1234.TW,黑松,34.85,-1.27,67,0.46,0.51,0.35,0,0,0.33,0.5
24	,1235.TW,興泰,43.5,-2.03,493,0.39,0.48,0.22,0,0,0.16,0.49
25	,1236.TW,宏亞,21.1,0.48,864,0.41,0.52,0.25,0,0.5,0.25,0.49
26	,1240.TW,茂生農經,51.1,-0.39,15,0.6,0.49,0.04,0,0,0.09,0.51
27	,1256.TW,鮮活果汁-KY,318,-5.92,205,0.6,0.61,0.3,0.04,0.21,0.38,0.59
28	,1258.TW,其祥-KY,17.8,1.14,3,0.4,0.41,0.09,0,0,0.08,0.42
29	,1264.TW,德麥,290,-0.51,23,0.35,0.48,0,0,0,0.18,0.48
30	,1301.TW,台塑,104,0.48,5748,0.33,0.6,0.58,0.68,0.37,0.46,0.65
