符合條件商品
資料日期：2021年 12月  6日
策略,	10漲停同買同賣資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲停次數,	四大同買,	四大同賣,	內外盤
執行時間：2021-12-07 02:08 符合檔數(1585)
1	,1101.TW,台泥,47.3,1.94,15191,0,13,12,4
2	,1102.TW,亞泥,43.15,0.94,6359,0,12,8,8
3	,1103.TW,嘉泥,20.5,0.74,208,0,1,0,7
4	,1104.TW,環泥,21.45,-0.23,224,0,0,0,10
5	,1108.TW,幸福,11.5,0,127,3,0,0,12
6	,1109.TW,信大,20.05,0,119,0,1,0,8
7	,1110.TW,東泥,19.7,1.29,697,3,0,0,9
8	,1201.TW,味全,22.25,0.23,437,0,0,0,11
9	,1203.TW,味王,32.9,-0.45,15,1,0,0,8
10	,1210.TW,大成,52.3,0.19,771,0,4,9,8
11	,1213.TW,大飲,8.75,7.23,7,2,0,0,18
12	,1215.TW,卜蜂,80.2,-0.37,251,0,4,2,12
13	,1216.TW,統一,67.3,-0.3,4324,0,12,7,16
14	,1217.TW,愛之味,10.4,1.46,1033,5,0,0,5
15	,1218.TW,泰山,27,0.37,144,0,3,1,10
16	,1219.TW,福壽,20.2,0,551,2,0,0,9
17	,1220.TW,台榮,15.25,0,90,1,0,0,5
18	,1225.TW,福懋油,50.3,-0.4,21,3,0,0,10
19	,1227.TW,佳格,51.2,-0.39,516,0,6,4,9
20	,1229.TW,聯華,56.9,-0.18,535,0,8,2,8
21	,1231.TW,聯華食,68.4,0.29,112,1,1,0,10
22	,1232.TW,大統益,161,0,22,1,1,1,13
23	,1233.TW,天仁,33.9,0.44,9,0,0,0,15
24	,1234.TW,黑松,34.85,-1.27,67,0,0,0,11
25	,1235.TW,興泰,43.5,-2.03,493,0,0,0,17
26	,1236.TW,宏亞,21.1,0.48,864,8,0,0,16
27	,1240.TW,茂生農經,51.1,-0.39,15,0,0,0,14
28	,1256.TW,鮮活果汁-KY,318,-5.92,205,0,0,0,4
29	,1258.TW,其祥-KY,17.8,1.14,3,2,0,0,14
30	,1264.TW,德麥,290,-0.51,23,0,0,0,15
31	,1268.TW,漢來美食,116,0,6,0,0,0,13
32	,1301.TW,台塑,104,0.48,5748,0,20,7,12
33	,1303.TW,南亞,84.2,0.72,6086,0,27,3,8
34	,1304.TW,台聚,31.65,-0.63,3325,8,4,5,6
35	,1305.TW,華夏,34.65,1.02,3185,3,4,9,7
36	,1307.TW,三芳,20.45,-0.24,76,1,0,0,12
37	,1308.TW,亞聚,37.35,-1.06,2622,5,7,3,12
38	,1309.TW,台達化,33.8,-0.15,595,3,1,5,8
39	,1310.TW,台苯,17.35,0,800,1,0,0,9
40	,1312.TW,國喬,28.35,-0.53,7976,2,1,5,12
41	,1313.TW,聯成,21.05,-0.47,2241,4,0,1,10
42	,1314.TW,中石化,12.65,-0.39,13014,2,0,1,9
43	,1315.TW,達新,65.6,-0.46,92,0,3,1,18
44	,1316.TW,上曜,20.45,0.74,9492,3,0,0,13
45	,1319.TW,東陽,33.3,0.3,300,0,4,1,6
46	,1321.TW,大洋,35.2,0.72,143,1,0,0,10
47	,1323.TW,永裕,34.85,-0.43,17,0,0,0,16
48	,1324.TW,地球,10.95,0,1,3,0,0,11
49	,1325.TW,恆大,46.8,-2.5,2220,8,0,0,8
50	,1326.TW,台化,79.7,0.5,2121,0,4,6,9
51	,1336.TW,台翰,20.5,-0.97,84,1,0,0,6
52	,1337.TW,再生-KY,7.14,0.28,191,1,0,0,6
53	,1338.TW,廣華-KY,52.1,1.56,231,0,0,0,16
54	,1339.TW,昭輝,34.1,-0.15,9,0,0,0,12
55	,1340.TW,勝悅-KY,11.15,0.45,70,1,0,0,10
56	,1342.TW,八貫,59.4,4.58,473,0,0,0,8
57	,1402.TW,遠東新,28.6,1.06,5336,0,15,4,10
58	,1409.TW,新纖,19.65,0,2239,3,3,1,11
59	,1410.TW,南染,38,2.01,63,0,0,0,19
60	,1413.TW,宏洲,10.1,1,60,10,0,0,10
61	,1414.TW,東和,18.05,1.98,1276,11,1,0,14
62	,1416.TW,廣豐,11.1,0,70,0,0,0,14
63	,1417.TW,嘉裕,14.1,0,120,4,0,0,13
64	,1418.TW,東華,11.2,-0.44,5,5,0,0,25
65	,1419.TW,新紡,43.5,-0.46,34,0,0,0,21
66	,1423.TW,利華,19.85,0.25,57,1,0,0,18
67	,1432.TW,大魯閣,12.85,0,127,5,0,0,17
68	,1434.TW,福懋,28.95,-0.34,3668,0,12,4,6
69	,1435.TW,中福,27.25,-2.68,108,8,0,0,22
70	,1436.TW,華友聯,53.7,-0.19,52,0,0,0,19
71	,1437.TW,勤益控,25.45,0.39,47,0,0,0,9
72	,1438.TW,三地開發,30.85,2.15,200,6,0,0,5
73	,1439.TW,中和,24.05,2.12,30,1,0,0,10
74	,1440.TW,南紡,22.85,-1.08,2543,11,6,3,10
75	,1441.TW,大東,9.29,-0.11,166,15,0,0,9
76	,1442.TW,名軒,23.6,0,367,1,1,0,8
77	,1443.TW,立益,16.95,0.59,7,6,0,0,17
78	,1444.TW,力麗,11.05,0,1440,3,0,0,8
79	,1445.TW,大宇,15.7,0.32,512,1,0,0,12
80	,1446.TW,宏和,33.5,-0.59,89,2,0,0,5
81	,1447.TW,力鵬,10.05,0,918,6,1,0,8
82	,1449.TW,佳和,15.05,0.67,379,2,0,0,7
83	,1451.TW,年興,20.35,-0.25,73,3,0,0,12
84	,1452.TW,宏益,23.6,-0.42,230,6,0,0,9
85	,1453.TW,大將,8.8,0.23,31,3,0,0,21
86	,1454.TW,台富,11.45,2.23,313,1,0,0,8
87	,1455.TW,集盛,16.85,-0.3,4463,10,1,1,8
88	,1456.TW,怡華,21.6,2.37,156,11,0,0,10
89	,1457.TW,宜進,18.05,0.56,402,1,0,0,13
90	,1459.TW,聯發,13.25,0,208,10,0,0,12
91	,1460.TW,宏遠,9.45,0,733,8,0,0,3
92	,1463.TW,強盛,14.6,-1.35,106,2,0,0,12
93	,1464.TW,得力,15.2,-0.65,292,0,2,0,7
94	,1465.TW,偉全,12.25,0.41,42,0,0,0,10
95	,1466.TW,聚隆,15.25,0.33,66,5,0,0,10
96	,1467.TW,南緯,14.05,1.44,422,3,0,0,11
97	,1468.TW,昶和,13.3,0.76,53,7,0,0,14
98	,1470.TW,大統新創,18,0,1,0,0,0,11
99	,1471.TW,首利,7.35,-0.68,360,19,0,0,10
100	,1472.TW,三洋實業,33.55,4.35,7,2,0,0,22
101	,1473.TW,台南,17.85,0,23,0,0,0,10
102	,1474.TW,弘裕,15.05,1.01,553,7,0,0,6
103	,1475.TW,業旺,48.5,1.04,52,9,0,0,15
104	,1476.TW,儒鴻,593,0.34,570,0,9,2,14
105	,1477.TW,聚陽,240.5,1.48,520,0,13,10,11
106	,1503.TW,士電,52.5,-1.32,48,0,0,0,22
107	,1504.TW,東元,30.45,0.66,2064,0,4,2,11
108	,1506.TW,正道,14,5.66,2408,5,0,0,14
109	,1507.TW,永大,64.4,0,422,2,0,0,5
110	,1513.TW,中興電,45.35,0.89,2266,0,8,6,16
111	,1514.TW,亞力,23.25,-0.43,192,0,0,0,13
112	,1515.TW,力山,60.3,-4.13,2757,0,3,2,11
113	,1516.TW,川飛,23.35,-2.71,228,0,0,0,18
114	,1517.TW,利奇,27.1,-1.28,3487,9,0,0,12
115	,1519.TW,華城,34.9,-0.29,212,1,0,0,8
116	,1521.TW,大億,41.6,-0.48,40,0,0,0,13
117	,1522.TW,堤維西,19.15,0,179,0,3,0,12
118	,1524.TW,耿鼎,10.55,5.5,1745,0,0,0,9
119	,1525.TW,江申,59.4,0.17,15,1,0,0,8
120	,1526.TW,日馳,48.8,0.41,99,3,0,0,11
121	,1527.TW,鑽全,42.25,0.72,139,0,0,1,6
122	,1528.TW,恩德,11.2,3.23,1168,2,1,0,10
123	,1529.TW,樂士,23.3,8.12,18297,3,0,0,14
124	,1530.TW,亞崴,33.2,-0.3,7,1,0,0,14
125	,1531.TW,高林股,15.35,0.66,69,0,0,0,8
126	,1532.TW,勤美,32.05,-0.47,195,0,1,0,13
127	,1533.TW,車王電,57.7,1.94,176,7,0,0,8
128	,1535.TW,中宇,39.15,-0.63,14,1,0,0,9
129	,1536.TW,和大,90.5,-0.66,357,0,0,5,9
130	,1537.TW,廣隆,138.5,0,54,0,2,0,7
131	,1538.TW,正峰,10.95,-2.23,7,3,0,0,14
132	,1539.TW,巨庭,22.3,6.95,3040,0,0,0,13
133	,1540.TW,喬福,14.8,0.34,83,0,0,0,11
134	,1541.TW,錩泰,43.1,-0.23,2,2,0,0,19
135	,1558.TW,伸興,146,1.39,47,0,0,0,10
136	,1560.TW,中砂,89.5,-0.11,5057,0,6,0,14
137	,1565.TW,精華,305,0,39,0,6,8,9
138	,1568.TW,倉佑,20.7,-1.43,121,5,0,0,12
139	,1569.TW,濱川,24.95,-0.6,84,1,0,0,14
140	,1570.TW,力肯,26,7.66,5158,6,0,0,13
141	,1580.TW,新麥,104.5,0,64,0,3,0,5
142	,1582.TW,信錦,68.6,0.29,111,1,0,3,9
143	,1583.TW,程泰,61.3,-1.13,24,0,0,0,10
144	,1584.TW,精剛,17.6,0.57,461,13,0,0,7
145	,1586.TW,和勤,41,0.12,71,0,0,0,23
146	,1587.TW,吉茂,25.35,0.2,86,0,0,0,5
147	,1589.TW,永冠-KY,60.9,0,222,0,0,0,6
148	,1590.TW,亞德客-KY,844,-0.59,275,0,3,2,12
149	,1591.TW,駿吉-KY,14.75,0,5,3,0,0,8
150	,1593.TW,祺驊,84.3,1.57,28,4,0,0,8
151	,1595.TW,川寶,46.5,-2.62,520,2,0,0,14
152	,1597.TW,直得,85.8,-0.58,52,1,1,2,14
153	,1598.TW,岱宇,58.3,-2.02,630,0,2,1,15
154	,1599.TW,宏佳騰,43.4,0.12,91,0,0,0,17
155	,1603.TW,華電,26.65,0.19,94,4,0,0,20
156	,1604.TW,聲寶,29.5,0.17,330,0,2,1,13
157	,1605.TW,華新,26.3,0.19,3648,6,7,3,14
158	,1608.TW,華榮,21.4,0,553,13,1,0,10
159	,1609.TW,大亞,24,-0.41,2466,4,2,2,8
160	,1611.TW,中電,18.1,6.47,42002,5,0,1,18
161	,1612.TW,宏泰,25.1,0,951,3,1,1,10
162	,1614.TW,三洋電,36.45,0.28,36,0,0,0,15
163	,1615.TW,大山,32.1,0.31,34,5,0,0,4
164	,1616.TW,億泰,12,-5.88,13418,16,0,0,15
165	,1617.TW,榮星,18.05,0.28,77,5,0,0,16
166	,1618.TW,合機,14.6,2.46,692,4,0,0,11
167	,1626.TW,艾美特-KY,19.2,0.26,64,0,0,0,6
168	,1701.TW,中化,22.7,0.44,198,0,0,0,5
169	,1702.TW,南僑,48.9,-0.31,205,0,5,4,5
170	,1707.TW,葡萄王,163,-0.31,49,0,1,1,9
171	,1708.TW,東鹼,36.45,1.25,5206,6,1,0,14
172	,1709.TW,和益,22.4,-1.1,1747,1,1,0,11
173	,1710.TW,東聯,22.35,-0.22,2400,2,0,2,7
174	,1711.TW,永光,26.25,0.38,5842,7,0,0,9
175	,1712.TW,興農,27.7,-0.72,726,0,0,0,11
176	,1713.TW,國化,23.9,-0.42,57,1,0,0,7
177	,1714.TW,和桐,11.35,-2.16,4924,3,0,0,10
178	,1717.TW,長興,36.7,0.69,1280,1,4,14,5
179	,1718.TW,中纖,10,-0.5,5510,3,1,1,6
180	,1720.TW,生達,39.8,-0.13,105,0,0,0,13
181	,1721.TW,三晃,28.9,1.05,38832,14,0,0,19
182	,1722.TW,台肥,68.5,-0.15,1125,0,19,6,6
183	,1723.TW,中碳,114.5,-0.43,193,1,3,0,8
184	,1725.TW,元禎,35.05,-2.64,417,15,0,0,15
185	,1726.TW,永記,73.2,-0.41,41,0,0,0,10
186	,1727.TW,中華化,52.1,-0.19,7285,22,0,0,11
187	,1730.TW,花仙子,63.5,0,33,0,0,0,5
188	,1731.TW,美吾華,19.45,2.64,1028,3,0,0,7
189	,1732.TW,毛寶,31.95,-3.77,2752,15,0,0,11
190	,1733.TW,五鼎,24.4,-0.2,275,1,0,0,10
191	,1734.TW,杏輝,28.75,-0.35,738,10,0,0,11
192	,1735.TW,日勝化,18.15,0.55,6,2,0,0,23
193	,1736.TW,喬山,57.2,-1.21,274,1,4,4,8
194	,1737.TW,臺鹽,33.25,0.15,288,0,0,0,11
195	,1742.TW,台蠟,20.35,0.99,72,8,0,0,8
196	,1752.TW,南光,36,-0.28,21,0,0,0,8
197	,1760.TW,寶齡富錦,70.1,-0.28,347,8,0,0,11
198	,1762.TW,中化生,66.7,-1.77,838,2,1,1,9
199	,1773.TW,勝一,141.5,-0.35,535,0,2,0,10
200	,1776.TW,展宇,21.85,2.1,130,7,0,0,11
201	,1777.TW,生泰,67,1.52,67,0,0,0,12
202	,1781.TW,合世,15.85,-2.16,221,8,0,0,8
203	,1783.TW,和康生,58.5,0,531,14,0,0,11
204	,1784.TW,訊聯,42,0.72,73,0,0,0,7
205	,1785.TW,光洋科,50.6,1.2,4165,5,3,6,13
206	,1786.TW,科妍,49.8,-0.4,5,0,0,0,12
207	,1788.TW,杏昌,139,0,14,0,0,0,14
208	,1789.TW,神隆,24.45,1.24,502,0,0,0,8
209	,1795.TW,美時,100.5,-2.43,19869,6,5,3,11
210	,1799.TW,易威,16.3,0.62,101,6,0,0,8
211	,1802.TW,台玻,26.9,1.32,7726,9,14,11,9
212	,1805.TW,寶徠,13.75,0,27,5,0,0,10
213	,1806.TW,冠軍,11.9,3.93,2658,11,0,0,11
214	,1808.TW,潤隆,59.6,0,86,0,0,0,18
215	,1809.TW,中釉,14.5,0.69,2663,8,1,0,10
