符合條件商品
資料日期：2022年  1月 20日
策略,	01準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券
執行時間：2022-01-20 20:28 符合檔數(1446)
1	,1101.TW,台泥,47.5,-0.21,6370,0.56,0.66,0.48,0.64,0.35,0.4
2	,1102.TW,亞泥,44.35,-0.11,2960,0.48,0.58,0.53,0.64,0.42,0.42
3	,1103.TW,嘉泥,20.2,0.25,118,0.45,0.6,0.44,0.46,0.11,0.4
4	,1104.TW,環泥,21.85,0.23,314,0.42,0.52,0.4,0,0.21,0.48
5	,1108.TW,幸福,11.45,0.88,149,0.48,0.6,0.36,0,0.19,0.4
6	,1109.TW,信大,20.1,0.25,165,0.62,0.6,0.47,0.19,0.28,0.47
7	,1110.TW,東泥,19.5,1.3,366,0.56,0.58,0.42,0.1,0.6,0.42
8	,1201.TW,味全,22.05,0.23,390,0.52,0.7,0.57,0,0.37,0.4
9	,1203.TW,味王,33.2,0.3,13,0.43,0.52,0.39,0,0,0.4
10	,1210.TW,大成,52.1,-0.38,831,0.66,0.6,0.6,0.4,0.53,0.44
11	,1215.TW,卜蜂,81.8,0.12,267,0.6,0.64,0.59,0.5,0.21,0.46
12	,1216.TW,統一,68.3,0,4434,0.37,0.56,0.58,0.44,0.57,0.36
13	,1217.TW,愛之味,11.2,1.82,1937,0.6,0.58,0.57,0,0.56,0.48
14	,1218.TW,泰山,27.05,0.19,184,0.6,0.64,0.68,0,0.31,0.5
15	,1219.TW,福壽,19.8,0,179,0.57,0.52,0.51,0,0.26,0.48
16	,1220.TW,台榮,16,-0.62,376,0.48,0.55,0.26,0,0.26,0.29
17	,1225.TW,福懋油,53.8,0,38,0.56,0.66,0.33,0,0,0.36
18	,1227.TW,佳格,52.1,0.58,419,0.47,0.52,0.51,0.5,0.07,0.48
19	,1229.TW,聯華,61.5,0,1830,0.64,0.62,0.6,0.39,0.3,0.38
20	,1231.TW,聯華食,71,0.28,150,0.53,0.64,0.39,0,0,0.34
21	,1232.TW,大統益,156.5,0.32,43,0.51,0.49,0.48,0.36,0,0.41
22	,1233.TW,天仁,34.7,-0.57,10,0.22,0.53,0.12,0,0,0.05
23	,1234.TW,黑松,35.6,-0.28,36,0.59,0.56,0.43,0,0,0.31
24	,1235.TW,興泰,43.9,0.11,2,0.33,0.48,0.2,0,0,0.13
25	,1236.TW,宏亞,25.95,-0.95,222,0.5,0.63,0.24,0,0.42,0.28
26	,1240.TW,茂生農經,50.9,0.2,0,0.48,0.34,0,0,0,0
27	,1256.TW,鮮活果汁-KY,321,0,21,0.56,0.48,0.37,0,0,0.42
28	,1258.TW,其祥-KY,19.9,0,31,0.42,0.37,0,0,0,0
29	,1259.TW,安心,68.3,0.15,2,0.26,0.13,0,0,0,0
30	,1264.TW,德麥,290.5,-0.34,15,0.38,0.56,0,0,0,0.11
31	,1268.TW,漢來美食,107,0,24,0.39,0.5,0.25,0,0,0.3
32	,1301.TW,台塑,107.5,1.42,6412,0.36,0.6,0.62,0.64,0.58,0.44
33	,1303.TW,南亞,87.4,0,6902,0.54,0.62,0.64,0.52,0.5,0.44
34	,1304.TW,台聚,28.6,-0.17,3391,0.56,0.62,0.72,0.36,0.66,0.52
35	,1305.TW,華夏,34.25,0.15,1474,0.58,0.74,0.65,0.59,0.64,0.52
36	,1307.TW,三芳,20.5,0.24,50,0.52,0.66,0.3,0,0,0.47
37	,1308.TW,亞聚,35.9,0.56,2308,0.68,0.64,0.72,0.51,0.67,0.44
38	,1309.TW,台達化,33.55,0,381,0.64,0.64,0.76,0.2,0.52,0.56
39	,1310.TW,台苯,17.4,0.58,816,0.66,0.5,0.66,0.2,0.44,0.54
40	,1312.TW,國喬,27.85,0.91,4469,0.6,0.54,0.58,0.23,0.54,0.46
41	,1313.TW,聯成,21.55,0.94,2036,0.56,0.74,0.74,0.15,0.61,0.5
42	,1314.TW,中石化,12.9,0.78,15146,0.6,0.54,0.72,0.09,0.56,0.5
43	,1315.TW,達新,85.4,-0.12,20,0.52,0.72,0.5,0.08,0.11,0.5
44	,1316.TW,上曜,25.8,-3.19,88955,0.66,0.68,0.36,0,0.57,0.38
45	,1319.TW,東陽,32.6,0.46,287,0.38,0.64,0.57,0.28,0.41,0.56
46	,1321.TW,大洋,34.05,0.15,43,0.54,0.68,0.4,0,0.25,0.43
47	,1323.TW,永裕,35.1,0.29,43,0.4,0.63,0.3,0,0,0.3
48	,1324.TW,地球,11.4,0,9,0.58,0.27,0.28,0,0,0.11
49	,1325.TW,恆大,50.8,-5.05,3379,0.6,0.66,0.58,0.08,0.56,0.62
50	,1326.TW,台化,79.8,-0.13,2995,0.32,0.66,0.62,0.44,0.56,0.46
51	,1336.TW,台翰,21.25,2.66,97,0.54,0.61,0,0,0.31,0.38
52	,1337.TW,再生-KY,7.06,0,168,0.4,0.76,0.46,0,0.59,0.49
53	,1338.TW,廣華-KY,54.6,-0.55,156,0.42,0.56,0.39,0,0.08,0.49
54	,1339.TW,昭輝,33.95,0.15,14,0.55,0.6,0.26,0,0,0.5
55	,1340.TW,勝悅-KY,11.3,0,57,0.44,0.58,0.28,0,0.12,0.42
56	,1342.TW,八貫,65.4,0,72,0.58,0.63,0.17,0,0.5,0.23
57	,1402.TW,遠東新,29.25,0.34,5028,0.52,0.64,0.58,0.46,0.3,0.34
58	,1409.TW,新纖,19.55,1.03,1692,0.62,0.48,0.66,0.06,0.51,0.46
59	,1410.TW,南染,37.55,0.54,15,0.4,0.55,0.45,0,0,0.1
60	,1414.TW,東和,17.15,-0.58,273,0.68,0.5,0.33,0.33,0.71,0.36
61	,1416.TW,廣豐,11.15,-0.45,176,0.46,0.58,0.31,0,0.06,0.35
62	,1417.TW,嘉裕,14.25,0,289,0.62,0.52,0.39,0,0.23,0.39
63	,1419.TW,新紡,42.5,0.12,16,0.43,0.62,0.31,0,0,0.36
64	,1423.TW,利華,19.75,0.25,10,0.44,0.68,0.33,0,0,0.22
65	,1434.TW,福懋,28.9,-0.34,1216,0.4,0.66,0.49,0.36,0.26,0.4
66	,1436.TW,華友聯,56.9,-1.9,129,0.49,0.45,0.25,0,0.36,0.25
67	,1437.TW,勤益控,27.6,2.22,272,0.51,0.56,0.37,0,1,0.14
68	,1438.TW,三地開發,29.95,0.67,33,0.57,0.54,0,0,0.11,0.33
69	,1439.TW,中和,23,1.55,5,0.42,0.45,0.18,0,0,0.33
70	,1440.TW,南紡,24.3,2.1,6950,0.74,0.52,0.78,0.32,0.72,0.46
71	,1442.TW,名軒,22,0.92,204,0.66,0.6,0.44,0.2,0.52,0.45
72	,1444.TW,力麗,10.8,0,2699,0.66,0.58,0.66,0.29,0.55,0.58
73	,1445.TW,大宇,15.55,0.65,81,0.46,0.6,0.33,0,0.37,0.34
74	,1446.TW,宏和,32.45,0.15,147,0.4,0.48,0.38,0,0.13,0.41
75	,1447.TW,力鵬,9.83,-0.71,1462,0.54,0.48,0.66,0.21,0.62,0.42
76	,1449.TW,佳和,14.8,0.34,22,0.58,0.61,0.22,0,0,0.07
77	,1451.TW,年興,21,-0.47,101,0.51,0.46,0.19,0,0.06,0.4
78	,1452.TW,宏益,23.15,-0.22,155,0.64,0.64,0.38,0,0.61,0.47
79	,1453.TW,大將,8.97,0.45,25,0.73,0.54,0,0,0,0.17
80	,1454.TW,台富,14.25,3.26,227,0.5,0.56,0.21,0,0.71,0.26
81	,1455.TW,集盛,15.6,0.65,1034,0.62,0.62,0.61,0,0.72,0.56
82	,1456.TW,怡華,19.65,-1.75,236,0.68,0.6,0.35,0,0.56,0.34
83	,1457.TW,宜進,18.65,0.27,324,0.46,0.74,0.4,0,0.51,0.36
84	,1459.TW,聯發,12.15,0.41,303,0.56,0.62,0.06,0,0,0.25
85	,1463.TW,強盛,13.75,0,99,0.62,0.52,0.37,0,0,0.5
86	,1464.TW,得力,16.55,-0.6,410,0.53,0.56,0.33,0,0.15,0.5
87	,1465.TW,偉全,12.55,0.4,8,0.34,0.43,0.17,0,0,0.38
88	,1466.TW,聚隆,15.2,0,157,0.54,0.66,0.28,0,0.38,0.57
89	,1467.TW,南緯,13.75,1.1,979,0.58,0.58,0.18,0,0.47,0.54
90	,1470.TW,大統新創,17.7,0,1,0.22,0.57,0.22,0,0,0.09
91	,1473.TW,台南,18.05,0.28,14,0.45,0.6,0.26,0,0,0.23
