符合條件商品
資料日期：2022年 11月  4日
策略,	05大於5倍日均量
序號,	代碼,	商品,	成交,	漲幅%,	總量
執行時間：2022-11-05 00:23 符合檔數(27)
1	,1475.TW,業旺,55.5,1.09,584
2	,1595.TW,川寶,37.1,-2.11,252
3	,2211.TW,長榮鋼,48.2,-0.82,79473
4	,2243.TW,宏旭-KY,13.1,9.62,510
5	,2458.TW,義隆,79.5,-4.22,13574
6	,2755.TW,揚秦,77.8,0,80
7	,2929.TW,淘帝-KY,11.05,9.95,1412
8	,3236.TW,千如,24.85,1.02,9654
9	,3287.TW,廣寰科,13.8,-1.08,950
10	,3499.TW,環天科,17.1,9.97,3082
11	,3611.TW,鼎翰,186.5,-0.8,122
12	,3625.TW,西勝,14.8,5.71,2509
13	,4154.TW,樂威科-KY,44.5,-0.78,558
14	,4923.TW,力士,50.7,9.98,648
15	,4945.TW,陞達科技,51.2,4.17,224
16	,5344.TW,立衛,17.95,9.79,826
17	,5468.TW,凱鈺,18.95,9.86,306
18	,5878.TW,台名,47,-0.21,8
19	,6118.TW,建達,34.1,5.57,27829
20	,6259.TW,百徽,21.9,-0.9,243
21	,6442.TW,光聖,42.2,0.48,3702
22	,6625.TW,必應,30.3,0.5,1514
23	,6640.TW,均華,85.5,6.08,23
24	,8249.TW,菱光,26.2,9.85,3383
25	,8342.TW,益張,55.8,2.57,35
26	,8354.TW,冠好,14.35,1.41,230
27	,9933.TW,中鼎,40.1,-6.09,20722
