符合條件商品
資料日期：2022年 11月  4日
策略,	06突破6月均量
序號,	代碼,	商品,	成交,	漲幅%,	總量
執行時間：2022-11-05 00:25 符合檔數(25)
1	,1423.TW,利華,20.8,0,517
2	,2211.TW,長榮鋼,48.2,-0.82,79473
3	,2402.TW,毅嘉,19.3,2.66,12549
4	,2424.TW,隴華,20.25,-4.26,61
5	,2468.TW,華經,26.4,-1.31,30437
6	,2495.TW,普安,18.55,-0.8,13978
7	,3236.TW,千如,24.85,1.02,9654
8	,3272.TW,東碩,53.1,4.53,25096
9	,3287.TW,廣寰科,13.8,-1.08,950
10	,3289.TW,宜特,78.8,4.37,13650
11	,3416.TW,融程電,83.5,-0.48,269
12	,3454.TW,晶睿,170,0,25863
13	,3588.TW,通嘉,65.3,6.87,11178
14	,5469.TW,瀚宇博,33.4,0,2694
15	,6101.TW,寬魚國際,20.55,-1.91,154
16	,6153.TW,嘉聯益,29.9,1.18,51194
17	,6274.TW,台燿,49.7,1.95,8426
18	,6558.TW,興能高,21.4,-1.15,725
19	,6625.TW,必應,30.3,0.5,1514
20	,6651.TW,全宇昕,64.7,-0.92,176
21	,8089.TW,康全電訊,26.5,2.91,1482
22	,8147.TW,正淩,67,1.52,1414
23	,8249.TW,菱光,26.2,9.85,3383
24	,8358.TW,金居,47.6,-0.1,11010
25	,8921.TW,沈氏,14,3.7,7
