符合條件商品
資料日期：2022年  8月 11日
策略,	03總結B
序號,	代碼,	商品,	成交,	漲幅%,	總量,	買,	賣,	主力連買,	融資連買,	外資連買,	自營連買,	投信連買,	借券連賣,	融券連賣,	主力連賣,	融資連賣,	外資連賣,	自營連賣,	投信連賣,	借券連買,	融券連買
執行時間：2022-08-11 22:32 符合檔數(1442)
1	,1101.TW,台泥,39.35,1.55,21760,30,0,1,0,1,8,30,0,1,0,4,0,0,0,2,0
2	,1102.TW,亞泥,42.25,3.05,9181,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
3	,1103.TW,嘉泥,17.75,-0.28,331,0,0,0,1,0,0,0,0,0,2,0,1,0,0,2,0
4	,1104.TW,環泥,21.65,0.93,569,0,0,2,0,0,1,0,0,0,0,0,1,0,0,2,0
5	,1108.TW,幸福,10.95,1.39,303,3,0,1,0,7,1,0,0,0,0,3,0,0,0,1,0
6	,1109.TW,信大,18.05,0.28,122,0,6,0,3,0,1,0,0,0,10,0,4,0,0,3,0
7	,1110.TW,東泥,17.8,-1.11,193,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
8	,1201.TW,味全,19.75,1.02,186,0,13,0,1,0,1,0,1,0,10,0,11,0,0,0,0
9	,1203.TW,味王,33.4,-0.15,23,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
10	,1210.TW,大成,48,0.84,698,0,0,0,0,1,0,0,1,0,2,1,0,2,0,0,2
11	,1215.TW,卜蜂,80.6,0.62,225,0,0,0,3,1,0,1,1,0,1,0,0,0,0,0,0
12	,1216.TW,統一,66,0.61,5301,0,0,0,0,0,1,1,1,2,4,1,2,0,0,0,0
13	,1217.TW,愛之味,9.98,1.42,1908,1,0,1,0,3,1,0,0,5,0,3,0,0,0,4,0
14	,1218.TW,泰山,32,1.75,1178,0,12,3,1,0,0,0,0,0,0,0,16,0,0,4,0
15	,1219.TW,福壽,20.7,-0.24,637,6,0,10,2,0,0,0,0,0,0,0,2,0,0,1,0
16	,1220.TW,台榮,16.1,-0.92,185,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
17	,1225.TW,福懋油,50.5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18	,1227.TW,佳格,40.8,0.87,832,0,6,0,0,1,0,0,1,2,10,1,0,2,0,0,0
19	,1229.TW,聯華,57.4,1.59,533,0,0,0,0,0,0,0,1,0,4,0,4,0,0,0,1
20	,1231.TW,聯華食,76.5,0.79,126,0,1,0,3,0,0,0,0,0,4,0,4,2,0,5,0
21	,1232.TW,大統益,156,0,34,0,0,0,0,0,0,1,0,0,2,0,3,0,0,1,0
22	,1233.TW,天仁,34.8,-0.57,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23	,1234.TW,黑松,33.75,-0.15,1386,0,0,0,0,3,0,0,0,0,3,1,0,0,0,1,0
24	,1235.TW,興泰,60.2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25	,1236.TW,宏亞,26.35,0.76,216,0,0,0,2,0,0,0,0,0,4,0,4,0,0,0,0
26	,1240.TW,茂生農經,44.55,-0.45,94,0,0,0,2,3,0,0,0,0,2,0,0,0,0,0,0
27	,1256.TW,鮮活果汁-KY,246,-0.61,10,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0
28	,1258.TW,其祥-KY,25.95,0.39,5372,0,0,1,0,3,0,0,0,0,0,3,0,0,0,1,1
29	,1259.TW,安心,72.2,-0.41,14,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
30	,1264.TW,德麥,269.5,3.85,14,0,6,0,0,0,0,0,0,0,10,1,3,0,0,0,0
31	,1301.TW,台塑,92.6,1.42,7779,1,0,2,0,5,1,2,0,0,0,1,0,0,0,1,2
32	,1303.TW,南亞,68.9,1.77,6055,12,0,2,0,5,1,14,0,5,0,2,0,0,0,1,0
33	,1304.TW,台聚,23.8,1.71,3228,1,1,4,0,5,0,0,4,0,0,5,0,1,0,0,3
34	,1305.TW,華夏,23.65,2.16,1202,0,0,1,0,4,0,0,3,1,0,3,0,0,0,0,0
