符合條件商品
資料日期：2023年  1月  3日
策略,	03總結B
序號,	代碼,	商品,	成交,	漲幅%,	總量,	買,	賣,	主力連買,	融資連買,	外資連買,	自營連買,	投信連買,	借券連賣,	融券連賣,	主力連賣,	融資連賣,	外資連賣,	自營連賣,	投信連賣,	借券連買,	融券連買
執行時間：2023-01-03 23:28 符合檔數(1446)
1	,1101.TW,台泥,33.5,-0.45,11654,2,3,0,1,0,0,6,1,0,3,0,5,1,0,0,6
2	,1102.TW,亞泥,40.6,-0.98,3879,3,0,0,0,0,0,7,4,1,1,3,4,2,0,0,0
3	,1103.TW,嘉泥,17.35,-0.29,88,0,0,0,0,0,1,0,0,0,1,1,4,0,0,0,0
4	,1104.TW,環泥,22.2,0,380,0,0,0,1,0,1,0,0,0,3,0,1,0,0,1,0
5	,1108.TW,幸福,10.75,0,160,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0
6	,1109.TW,信大,15.6,-0.32,110,0,4,0,0,0,0,0,0,0,0,2,8,1,0,3,0
7	,1110.TW,東泥,18.45,-1.34,207,8,0,0,12,0,0,0,0,1,1,0,4,1,0,0,0
8	,1201.TW,味全,19,-0.26,375,0,0,0,2,0,0,0,1,0,2,0,3,1,0,0,0
9	,1203.TW,味王,34.7,-0.57,14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10	,1210.TW,大成,45.45,-0.22,537,0,3,0,0,0,0,1,2,1,7,1,3,4,0,0,0
11	,1215.TW,卜蜂,78.3,0,135,9,0,0,1,13,0,0,2,0,1,0,0,1,0,0,0
12	,1216.TW,統一,66.6,0,6180,7,0,8,1,0,0,7,3,1,0,0,1,1,0,0,0
13	,1217.TW,愛之味,10.8,0.93,1122,0,0,2,1,0,1,1,2,1,0,0,1,0,0,0,0
14	,1218.TW,泰山,32.85,0.92,3879,0,0,2,0,1,1,0,2,4,0,2,0,0,0,0,0
15	,1219.TW,福壽,18.8,0.27,633,0,1,0,1,1,0,0,0,0,5,0,0,1,0,1,0
16	,1220.TW,台榮,15.3,-0.33,90,0,0,2,4,0,0,0,3,0,0,0,2,0,0,0,0
17	,1225.TW,福懋油,57,-1.21,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
18	,1227.TW,佳格,39.75,-0.25,278,0,9,0,1,0,0,1,1,0,1,0,1,13,0,0,0
