符合條件商品
資料日期：2023年  1月  3日
策略,	A03大於3倍日均量
序號,	代碼,	商品,	成交,	漲幅%,	總量
執行時間：2023-01-03 23:00 符合檔數(31)
1	,1342.TW,八貫,128,-2.29,12296
2	,1432.TW,大魯閣,12.45,3.75,871
3	,1514.TW,亞力,30.5,3.92,8707
4	,2718.TW,晶悅,33,2.17,15
5	,3083.TW,網龍,51.4,0.78,5267
6	,3115.TW,富榮綱,11.2,0.45,17
7	,3354.TW,律勝,13.55,0,452
8	,3388.TW,崇越電,74.8,1.91,104
9	,3545.TW,敦泰,62.6,6.83,10989
10	,3592.TW,瑞鼎,325.5,6.9,2482
11	,3708.TW,上緯投控,99.6,4.29,5187
12	,4171.TW,瑞基,70.9,7.42,18531
13	,4402.TW,福大,11.3,4.63,1195
14	,4563.TW,百德,39.9,1.14,1860
15	,4716.TW,大立,12.45,-5.32,950
16	,4806.TW,昇華,6.9,1.62,24
17	,4939.TW,亞電,14.95,1.36,321
18	,4961.TW,天鈺,123,6.49,10217
19	,5202.TW,力新,15.45,-9.91,406
20	,5340.TW,建榮,27.55,9.98,657
21	,6180.TW,橘子,70.1,0.29,11764
22	,6215.TW,和椿,20,-0.5,349
23	,6417.TW,韋僑,86.9,-0.34,55
24	,6418.TW,詠昇,15.85,1.6,65
25	,8171.TW,天宇,53.3,9.56,11597
26	,8342.TW,益張,54.9,-0.18,22
27	,8476.TW,台境,61,4.1,832
28	,8917.TW,欣泰,90.2,0.22,6
29	,8935.TW,邦泰,12.15,-9.67,605
30	,9949.TW,琉園,19.3,-7.66,152
31	,9960.TW,邁達康,25.6,-3.94,208
