符合條件商品
資料日期：2023年  1月  3日
策略,	01融外自投每日總結
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資使用率,	外資持股比例,	自營商持股比例,	投信持股比例,	借融比
執行時間：2023-01-03 23:27 符合檔數(1490)
1	,8097.TW,常珵,58.3,-3.16,647,78.91,0.17,1.98,0,1.75
2	,3516.TW,亞帝歐,16.4,0,20,76.94,0.42,0,0,0.15
3	,3252.TW,海灣,19.75,0.25,570,74.54,7.89,0.47,0,0.23
4	,6143.TW,振曜,69.8,9.92,3328,72.8,11.07,2.04,2.09,3.93
5	,3609.TW,三一東林,51.1,-1.35,48,69.4,0.27,0.02,0,0.25
6	,1586.TW,和勤,35,4.48,68,65.95,2.06,0.04,0,0.47
7	,3290.TW,東浦,23,1.55,1141,64.67,1.84,0.09,0,0.55
8	,3207.TW,耀勝,49.05,0.51,977,63.39,1.14,1.84,1.39,5.11
9	,3162.TW,精確,49.15,-0.2,2590,61.43,44.04,0.68,0.1,2.38
10	,4931.TW,新盛力,45.5,1.56,2375,60.75,26.05,1.1,1.18,10.57
11	,5291.TW,邑昇,31.75,0,14,58.11,0.77,0,0,0.29
12	,3580.TW,友威科,59.6,1.02,262,57.3,8.7,0.04,0,2.57
13	,3232.TW,昱捷,30.25,0.5,146,56.47,6.8,0,0,0.6
14	,2482.TW,連宇,24.7,3.78,992,56.05,5.22,0.31,0,5.53
15	,3230.TW,錦明,12.9,0,2,55.02,0.96,0,0,0.77
16	,4503.TW,金雨,39.65,-1,570,52.44,2.58,0.14,0,2.38
17	,8171.TW,天宇,53.3,9.56,11653,52.09,2.95,0.77,0,2.85
18	,8431.TW,匯鑽科,52,0,61,49.81,1.1,0.01,0,1.78
19	,3027.TW,盛達,35.1,4.93,11727,48.43,3.56,1.24,0.62,4.24
20	,8996.TW,高力,193.5,2.93,24111,47.21,15.42,5.05,2.91,13
21	,3672.TW,康聯訊,26.45,-0.94,5,46.68,0.64,0.03,0,0.14
22	,8932.TW,宏大,42.4,-3.75,1120,46.58,31.73,0.77,0,0.78
23	,3141.TW,晶宏,79.6,3.51,1965,45.44,6.34,1.84,0,12.43
24	,8071.TW,能率網通,14.6,-1.02,69,45.42,2.67,0,0,0.98
25	,3511.TW,矽瑪,33.35,1.21,154,44.12,0.9,0.4,0,1.62
26	,6165.TW,浪凡,26.95,-1.46,51,43.37,1.29,0.14,0,1.08
27	,3483.TW,力致,52.6,0.38,214,43.29,2.42,0.01,0,0.93
28	,4102.TW,永日,33.9,-5.96,3751,43.29,3.03,0.15,0,1.97
29	,2305.TW,全友,26.3,2.94,731,43.18,5.16,0.99,0,1.2
30	,3046.TW,建碁,47.7,0.85,823,42.89,1.85,0.92,0.13,1.27
31	,8027.TW,鈦昇,50.1,-0.99,155,42.73,5.51,0.15,0,1.42
32	,5258.TW,虹堡,64.3,2.06,1544,42.69,4.52,0.14,0,8.45
33	,6111.TW,大宇資,68.1,4.61,11134,40.5,16,0.62,0,2.26
34	,6104.TW,創惟,92.5,5.11,4117,40.21,6.07,1.91,0,10.08
35	,5410.TW,國眾,33,0.92,203,39.02,4.75,0.05,0,1.7
36	,6715.TW,嘉基,127.5,2.82,144,38.91,1.62,0,0.4,0.68
37	,4977.TW,眾達-KY,104,5.16,4752,38.25,40.03,0.99,4.83,5.79
38	,6205.TW,詮欣,68.7,2.54,520,37.85,1.61,0.04,8.14,4.59
39	,6186.TW,新潤,35.6,-3.26,1058,37.73,2.71,0.08,0,0.47
40	,5493.TW,三聯,50.2,-0.4,6,37.65,0.49,0,0,0.11
41	,1760.TW,寶齡富錦,175.5,-1.96,12029,37.4,12.05,1.68,4.24,6.64
42	,3163.TW,波若威,51.3,3.64,1049,37.06,5.19,0.47,0,3.71
43	,2364.TW,倫飛,101.5,2.42,783,36.64,18.73,0.73,0,2.85
44	,8085.TW,福華,19.9,1.02,19,36.5,0.41,0,0,0.23
45	,4763.TW,材料-KY,195.5,9.83,7116,36.27,73.05,0.29,2.29,3.93
46	,8261.TW,富鼎,104.5,0.48,1044,36.18,5.76,1.91,1.73,5.74
47	,6246.TW,臺龍,14.45,-1.7,27,35.84,0.23,0,0,0.22
