符合條件商品
資料日期：2023年  1月  3日
策略,	06基本資料C
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例,	券資比
執行時間：2023-01-03 23:46 符合檔數(1775)
1	,1101.TW,台泥,33.5,-0.45,11654,62.49,5.59
2	,1102.TW,亞泥,40.6,-0.98,3879,82.22,4.81
3	,1103.TW,嘉泥,17.35,-0.29,88,78.04,1.02
4	,1104.TW,環泥,22.2,0,380,74.76,1.26
5	,1108.TW,幸福,10.75,0,160,80.86,0
6	,1109.TW,信大,15.6,-0.32,110,82.08,0
7	,1110.TW,東泥,18.45,-1.34,207,94.52,0.06
8	,1201.TW,味全,19,-0.26,375,65.02,0
9	,1203.TW,味王,34.7,-0.57,14,89.88,0
10	,1210.TW,大成,45.45,-0.22,537,59.06,2.6
11	,1213.TW,大飲,7.13,0,0,77.55,0
12	,1215.TW,卜蜂,78.3,0,135,60.27,1.06
13	,1216.TW,統一,66.6,0,6180,89.41,4.61
14	,1217.TW,愛之味,10.8,0.93,1122,54.21,1.36
15	,1218.TW,泰山,32.85,0.92,3879,88.29,24.96
16	,1219.TW,福壽,18.8,0.27,633,68.81,1.12
17	,1220.TW,台榮,15.3,-0.33,90,69.99,0.68
18	,1225.TW,福懋油,57,-1.21,9,94.1,0
19	,1227.TW,佳格,39.75,-0.25,278,69.95,0.32
20	,1229.TW,聯華,50,-0.2,656,66.47,1.09
21	,1231.TW,聯華食,74.5,-0.27,71,64.84,1.35
22	,1232.TW,大統益,141,0,30,76.44,0
23	,1233.TW,天仁,32.4,0,6,71.13,0
24	,1234.TW,黑松,32.65,0.15,477,84.26,0
25	,1235.TW,興泰,68.2,-1.02,5,95.49,0
26	,1236.TW,宏亞,22.35,-0.45,96,80.42,1.1
27	,1240.TW,茂生農經,44,0,10,67.85,0
28	,1256.TW,鮮活果汁-KY,271.5,0,2,60.65,0
29	,1258.TW,其祥-KY,20.9,1.21,16,73.7,0
30	,1259.TW,安心,74.4,1.09,12,71.15,0
31	,1264.TW,德麥,256,-0.39,11,48.76,0
32	,1268.TW,漢來美食,131,1.16,217,75.41,0
33	,1301.TW,台塑,87,0.23,6449,84.21,7.92
34	,1303.TW,南亞,71.9,1.27,4595,85.1,8.7
35	,1304.TW,台聚,22.1,0,1074,63.49,6.23
36	,1305.TW,華夏,26.7,1.14,3844,57.85,36
37	,1307.TW,三芳,20.55,0.24,67,82.51,0
38	,1308.TW,亞聚,28.25,0.18,575,57.09,14.23
39	,1309.TW,台達化,22.2,-0.89,645,44.48,7.07
40	,1310.TW,台苯,13.35,-1.11,243,38.02,0.04
41	,1312.TW,國喬,19.2,1.86,3511,48.09,1.3
42	,1313.TW,聯成,13.55,-0.37,1018,68.27,5.9
43	,1314.TW,中石化,9.9,0.2,3396,39.89,0.97
44	,1315.TW,達新,70,-0.43,8,79.93,0
45	,1316.TW,上曜,11.8,-0.42,364,44.45,0.05
46	,1319.TW,東陽,42.85,-0.58,5845,78.73,4.72
47	,1321.TW,大洋,32.9,-0.15,41,73.75,0.05
48	,1323.TW,永裕,32.8,-0.3,18,64.86,0
49	,1324.TW,地球,10.95,0.46,19,73.48,0
50	,1325.TW,恆大,26.45,-2.58,793,46.39,40.36
51	,1326.TW,台化,70.5,0,2711,87.39,3.54
52	,1336.TW,台翰,25.55,3.86,253,62.16,0.46
53	,1337.TW,再生-KY,7.02,0,135,42.71,0.12
54	,1338.TW,廣華-KY,42.35,-1.28,142,42.95,0.06
55	,1339.TW,昭輝,41.45,-0.96,105,69.75,0
56	,1340.TW,勝悅-KY,9.85,0.31,69,37.31,0
57	,1341.TW,富林-KY,66.7,0,12,85.2,0
58	,1342.TW,八貫,128,-2.29,12334,77.97,21.22
59	,1402.TW,遠東新,31.7,-0.63,5497,91.68,1.66
60	,1409.TW,新纖,17.45,-0.57,1474,68.54,1.81
61	,1410.TW,南染,40.45,0.25,34,75.23,1.76
62	,1413.TW,宏洲,9.54,0.32,10,68.56,0
63	,1414.TW,東和,17.75,-0.28,166,81.38,0.58
64	,1416.TW,廣豐,10.15,0,59,58.02,0.38
65	,1417.TW,嘉裕,14.55,2.11,7758,52.22,7.26
66	,1418.TW,東華,14.1,0,8,70.19,0
67	,1419.TW,新紡,39.95,-0.25,21,90.86,0
68	,1423.TW,利華,20.05,-0.5,8,79.31,0
69	,1432.TW,大魯閣,12.45,3.75,884,55.36,0
70	,1434.TW,福懋,26.7,-0.19,1005,75.22,0.18
71	,1436.TW,華友聯,56.3,0,45,83.56,4.61
72	,1437.TW,勤益控,25.65,-1.35,924,73.95,0
73	,1438.TW,三地開發,31.4,-0.16,12,76.1,0
74	,1439.TW,雋揚,20.9,0.72,28,78.92,0
75	,1440.TW,南紡,16.65,-0.89,524,75.94,0.5
76	,1441.TW,大東,7.9,0,9,64.31,0
77	,1442.TW,名軒,35.75,2.73,565,83.26,5.66
78	,1443.TW,立益物流,20.9,-0.71,40,86.58,0
79	,1444.TW,力麗,10.15,-0.49,874,62.73,0.03
80	,1445.TW,大宇,16.15,-0.92,49,74.94,0.43
81	,1446.TW,宏和,31.35,2.12,153,74,0.15
82	,1447.TW,力鵬,7.62,-0.65,875,66.97,0.03
83	,1449.TW,佳和,16.25,0.31,156,68.58,1.57
84	,1451.TW,年興,21,0.24,223,66.45,0.42
85	,1452.TW,宏益,17.45,-0.57,54,42.51,0
86	,1453.TW,大將,14.85,0.68,199,77.69,7.46
