符合條件商品
資料日期：2023年  1月  3日
策略,	07基本資料D
序號,	代碼,	商品,	成交,	漲幅%,	總量,	6月均量,	當月總量,	最大漲幅,	月份,	大戶增減
執行時間：2023-01-03 23:46 符合檔數(1652)
1	,1101.TW,台泥,33.5,-0.45,11654,587948.67,678744,12.07,202211,0
2	,1102.TW,亞泥,40.6,-0.98,3879,171272.67,256753,12.08,202103,0
3	,1103.TW,嘉泥,17.35,-0.29,88,4801,3551,24.7,202104,1
4	,1104.TW,環泥,22.2,0,380,9907.67,10305,14.29,202011,1
5	,1108.TW,幸福,10.75,0,160,4191.33,3326,32.55,202104,1
6	,1109.TW,信大,15.6,-0.32,110,3784.5,3258,26.03,202104,0
7	,1110.TW,東泥,18.45,-1.34,207,2999.17,2558,20.95,202109,1
8	,1201.TW,味全,19,-0.26,375,7973.5,4403,13.92,202104,1
9	,1203.TW,味王,34.7,-0.57,14,504.83,523,10.12,202010,1
10	,1210.TW,大成,45.45,-0.22,537,16634.83,18394,12.18,202004,0
11	,1213.TW,大飲,7.13,0,0,562.83,197,64.17,202007,1
12	,1215.TW,卜蜂,78.3,0,135,8044.67,10699,14.74,202005,0
13	,1216.TW,統一,66.6,0,6180,182618.83,180326,8.63,202103,1
14	,1217.TW,愛之味,10.8,0.93,1122,35032,57939,43.81,202104,1
15	,1218.TW,泰山,32.85,0.92,3879,53995.33,157458,20.67,202211,0
16	,1219.TW,福壽,18.8,0.27,633,22584,14853,33.08,202204,0
17	,1220.TW,台榮,15.3,-0.33,90,7737.5,3940,35.48,202104,1
18	,1225.TW,福懋油,57,-1.21,9,1299.17,287,46.74,202103,1
19	,1227.TW,佳格,39.75,-0.25,278,11669,8724,10.33,202004,0
20	,1229.TW,聯華,50,-0.2,656,21813,14805,15.7,202004,0
21	,1231.TW,聯華食,74.5,-0.27,71,4718.67,2905,28.9,202103,0
22	,1232.TW,大統益,141,0,30,1458.67,2962,25,202104,0
23	,1233.TW,天仁,32.4,0,6,237.67,283,7.45,202004,1
24	,1234.TW,黑松,32.65,0.15,477,3895.33,6392,8.38,202104,0
25	,1235.TW,興泰,68.2,-1.02,5,526.5,247,24,202110,1
26	,1236.TW,宏亞,22.35,-0.45,96,6289.5,4555,54.26,202111,0
27	,1240.TW,茂生農經,44,0,10,999.33,588,21.38,202004,1
28	,1256.TW,鮮活果汁-KY,271.5,0,2,314.5,486,27.85,202102,1
29	,1258.TW,其祥-KY,20.9,1.21,16,17910.83,1621,47.33,202004,1
30	,1259.TW,安心,74.4,1.09,12,291.33,170,12.57,201911,1
31	,1264.TW,德麥,256,-0.39,11,221,257,13.08,202107,1
32	,1268.TW,漢來美食,131,1.16,217,1735.67,5369,23.11,202211,0
33	,1301.TW,台塑,87,0.23,6449,211914.17,194722,17.04,202004,0
34	,1303.TW,南亞,71.9,1.27,4595,197416.67,207399,21.02,202004,0
35	,1304.TW,台聚,22.1,0,1074,60012.83,89843,62.16,202104,0
36	,1305.TW,華夏,26.7,1.14,3844,51530.33,159421,28.62,202004,1
37	,1307.TW,三芳,20.55,0.24,67,2970.17,3498,38.3,202004,0
38	,1308.TW,亞聚,28.25,0.18,575,41523.83,48103,42.28,202104,1
39	,1309.TW,台達化,22.2,-0.89,645,20888,46089,40.61,202005,0
40	,1310.TW,台苯,13.35,-1.11,243,11113.5,9435,23.72,202004,0
41	,1312.TW,國喬,19.2,1.86,3511,82562.67,141572,38.63,202008,0
42	,1313.TW,聯成,13.55,-0.37,1018,32395,41569,47.33,202104,0
43	,1314.TW,中石化,9.9,0.2,3396,202273.17,164841,45.21,202104,1
44	,1315.TW,達新,70,-0.43,8,712.67,381,27.93,202212,0
45	,1316.TW,上曜,11.8,-0.42,364,32153,19806,45.51,202111,0
46	,1319.TW,東陽,42.85,-0.58,5845,186041.83,161205,23.38,202206,0
