符合條件商品
資料日期：2022年 12月 30日
策略,	A06突破6月均量
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/30),	區間漲幅%
執行時間：2023-01-04 00:51 符合檔數(658)
1	,1101.TW,台泥,33.5,-0.45,11499,33.65,-0.45
2	,1102.TW,亞泥,40.6,-0.98,3854,41,-0.98
3	,1104.TW,環泥,22.2,0,377,22.2,0
4	,1203.TW,味王,34.7,-0.57,13,34.9,-0.57
5	,1210.TW,大成,45.45,-0.22,523,45.55,-0.22
6	,1215.TW,卜蜂,78.3,0,124,78.3,0
7	,1217.TW,愛之味,10.8,0.93,1108,10.7,0.93
8	,1218.TW,泰山,32.85,0.92,3874,32.55,0.92
9	,1232.TW,大統益,141,0,24,141,0
10	,1233.TW,天仁,32.4,0,6,32.4,0
11	,1234.TW,黑松,32.65,0.15,472,32.6,0.15
12	,1256.TW,鮮活果汁-KY,271.5,0,1,271.5,0
13	,1264.TW,德麥,256,-0.39,6,257,-0.39
14	,1268.TW,漢來美食,131,1.16,214,129.5,1.16
15	,1303.TW,南亞,71.9,1.27,4570,71,1.27
16	,1304.TW,台聚,22.1,0,1064,22.1,0
17	,1305.TW,華夏,26.7,1.14,3826,26.4,1.14
18	,1307.TW,三芳,20.55,0.24,66,20.5,0.24
19	,1308.TW,亞聚,28.25,0.18,572,28.2,0.18
20	,1309.TW,台達化,22.2,-0.89,638,22.4,-0.89
21	,1312.TW,國喬,19.2,1.86,3500,18.85,1.86
22	,1313.TW,聯成,13.55,-0.37,1015,13.6,-0.37
23	,1325.TW,恆大,26.45,-2.58,787,27.15,-2.58
24	,1340.TW,勝悅-KY,9.85,0.31,60,9.82,0.31
25	,1341.TW,富林-KY,66.7,0,12,66.7,0
26	,1342.TW,八貫,128,-2.29,12296,131,-2.29
27	,1402.TW,遠東新,31.7,-0.63,5483,31.9,-0.63
28	,1409.TW,新纖,17.45,-0.57,1468,17.55,-0.57
29	,1414.TW,東和,17.75,-0.28,165,17.8,-0.28
30	,1417.TW,嘉裕,14.55,2.11,7743,14.25,2.11
31	,1437.TW,勤益控,25.65,-1.35,924,26,-1.35
32	,1442.TW,名軒,35.75,2.73,562,34.8,2.73
33	,1445.TW,大宇,16.15,-0.92,49,16.3,-0.92
34	,1457.TW,宜進,18.65,-0.27,98,18.7,-0.27
35	,1463.TW,強盛,14.25,-0.35,99,14.3,-0.35
36	,1465.TW,偉全,13.95,0.72,4,13.85,0.72
37	,1467.TW,南緯,11.15,0.45,6222,11.1,0.45
38	,1475.TW,業旺,64,0.47,55,63.7,0.47
39	,1512.TW,瑞利,4.7,-2.08,199,4.8,-2.08
40	,1513.TW,中興電,72.1,7.29,57585,67.2,7.29
41	,1519.TW,華城,52.4,8.49,25455,48.3,8.49
42	,1529.TW,樂事綠能,21.3,5.45,9646,20.2,5.45
43	,1530.TW,亞崴,31,0,14,31,0
