code,content,date
大樹,大樹:公告本公司發行國內第二次無擔保轉換公司債,2022-09-01
聚陽,聚陽:澄清近期媒體報導,2022-09-01
千興,千興:公告本公司副總經理、發言人辭職,2022-09-01
臻鼎-KY,臻鼎-KY:受邀參加富邦證券投資論壇,2022-09-01
力泰,力泰:力泰建設企業股份有限公司（公司代號：5520）註銷買回股票事宜。,2022-09-01
儒鴻,儒鴻:澄清媒體111年09月01日之報導,2022-09-01
世鎧,世鎧:公告董事會同意解除本公司經理人競業禁止之限制,2022-09-01
世鎧,世鎧:公告本公司董事會通過新任總經理,2022-09-01
南六,南六:公告本公司總經理異動(更正條款),2022-09-01
研華,研華:研華股份有限公司（公司代號：2395） 員工認股權憑證於 111 年第 2 季行使所發行之普通股股票已上市股數。,2022-09-01
新應材,「新應材」申請上市作業,2022-09-01
天二科技,「天二科技」111年現金增資股款繳納憑證於2022.09.01上市,2022-09-01
永信建,永信建8月營收3.89億元年增76.76% 1—8月達20.77億元,2022-09-01
永信建,永信建:公告本公司110年度第二次有擔保普通公司債付息事宜,2022-09-01
信驊,信驊:本公司111年員工酬勞轉增資發行新股暨上櫃買賣日期公告,2022-09-01
信驊,信驊:本公司111年第1次發行限制員工權利新股增資新股發放暨上櫃公告,2022-09-01
偉訓,偉訓:公告本公司稽核主管異動,2022-09-01
中環,中環:代重要子公司Verbatim Americas LLC公告變更會計師事務所及簽證會計師,2022-09-01
大同,大同:代子公司即破產人中華映管股份有限公司公告其破產管理人決議破產債權申報事宜,2022-09-01
永豐金,"永豐金:永豐金控代子公司永豐銀行公告金融監督管理委員會核處新臺幣1,800萬元罰鍰乙案",2022-09-01
同開,同開:公告本公司獨立董事辭任審計委員會及薪資報酬委員會之委員,2022-09-01
同開,同開:公告本公司獨立董事辭任,2022-09-01
翔名,翔名:公告本公司以公開標售方式向嘉義縣政府取得馬稠後產業園區後期產業用地,2022-09-01
群創,群創:公告本公司現金減資退還股款及換發股票作業相關事宜,2022-09-01
致伸,致伸:致伸科技股份有限公司（公司代號：4915）註銷收回股票事宜。,2022-09-01
惠光,惠光:惠光股份有限公司（公司代號：6508）因員工酬勞轉增資發行新股股票上櫃掛牌日期。,2022-09-01
臺企銀,臺企銀:臺灣中小企業銀行股份有限公司（公司代號：2834）111年除權配股股票上市掛牌日期。,2022-09-01
強茂,強茂:公告本公司法人董事代表人派任,2022-09-01
遠雄,遠雄:公告本公司向非關係人取得土地,2022-09-01
致伸,致伸:本公司受邀參加 2022元大證券第三季投資論壇,2022-09-01
致伸,致伸:本公司受邀參加23rd Credit Suisse Asian Technology Conference,2022-09-01
東凌-KY,東凌-KY:公告本公司自111年9月5日起有價證券在櫃買中心恢復普通交易,2022-09-01
世禾,世禾:代大陸子公司成都市世正科技有限公司公告配合當地政府公告自今晚6時起全體市民「原則居家」將暫時停工,2022-09-01
松上,松上:代子公司東莞聯橋電子有限公司公告取得理財產品,2022-09-01
威強電,威強電:公告本公司董事轉讓持股超過選任時持股之二分之一，依法其董事職務當然解任,2022-09-01
致振,致振:本公司法人董事代表人辭任,2022-09-01
日勝生,日勝生:公告本公司106年度第一次有擔保普通公司債將於111年9月14日到期，並於次一營業日起終止櫃檯買賣,2022-09-01
致伸,致伸:本公司收回已發行之限制員工權利新股辦理註銷完成公告。,2022-09-01
日勝生,日勝生:公告本公司106年度第一次有擔保普通公司債終止櫃檯買賣,2022-09-01
保銳,保銳:保銳科技股份有限公司（公司代號：8093）因減資彌補虧損全面換發新股票上櫃開始買賣日期。,2022-09-01
潤泰全,潤泰全:公告本公司111年現金增資發行新股相關事(更正股款繳納期限及補充公告發行價格暨代收股款及存儲價款機構),2022-09-01
惠光,惠光:惠光股份有限公司111年員工酬勞轉增資發行新股發放上櫃日期公告,2022-09-01
德律,德律8月營收5.93億元年增17.39% 1—8月達47.94億元,2022-09-01
華冠,華冠:係因本公司有價證券於集中交易市場達公布注意交易資訊標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解。,2022-09-01
亞泥,亞泥:代本公司之重要子公司四川亞東水泥有限公司公告限電措施陸續解除全面恢復生產。,2022-09-01
傳奇,傳奇:本公司與Wemix Pte. Ltd.解除合作契約(補充111/04/19公告),2022-09-01
和鑫,和鑫:代子公司-瀚御廚(股)公司公告向關係人取得營業用不動產使用權資產,2022-09-01
