符合條件商品
資料日期：2021年 12月  1日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/01),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:22 符合檔數(39)
1	,6669.TW,緯穎,819,-1.33,686,1020,-17.14,17,投連買
2	,2327.TW,國巨,460,-1.39,1468,465,-17.7,10,投連買
3	,6679.TW,鈺太,229,0.44,465,381.5,-38.55,10,投連買
4	,2412.TW,中華電,112.5,-0.44,6521,113,3.2,9,投連買
5	,2344.TW,華邦電,20.1,-0.99,9528,32.4,-35.56,8,投連買
6	,2408.TW,南亞科,51.4,-0.58,5241,76,-27.68,8,投連買
7	,3532.TW,台勝科,142,-2.07,1152,264,-45.42,8,投連買
8	,6182.TW,合晶,41.8,-0.36,1757,86.7,-50.4,8,投連買
9	,3653.TW,健策,369.5,-0.81,1389,439.5,-5.59,7,投連買
10	,5274.TW,信驊,1830,0.83,312,3255,-37.23,7,投連買
11	,1216.TW,統一,65.9,0,2803,67.1,2.23,6,投連買
12	,1301.TW,台塑,86.8,-0.46,6046,104,-9.65,6,投連買
13	,1303.TW,南亞,70.3,-1.54,4616,83.5,-7.17,6,投連買
14	,1326.TW,台化,69.4,-0.72,1689,79.4,-7.12,6,投連買
15	,1402.TW,遠東新,31.55,-4.39,10632,28.3,17.03,6,投連買
16	,1504.TW,東元,27.25,-0.37,1749,30.2,-5.48,6,投連買
17	,2207.TW,和泰車,592,-0.67,113,613,-0.2,6,投連買
18	,2352.TW,佳世達,27.5,1.66,4573,29.6,1.18,6,投連買
19	,2353.TW,宏碁,23.15,0.22,5082,28.1,-9.46,6,投連買
20	,2609.TW,陽明,67.3,-1.03,57425,115,-26.53,6,投連買
21	,2812.TW,台中銀,12.8,-0.39,3299,12,14.08,6,投連買
22	,2820.TW,華票,14.55,0,290,17.25,-10.85,6,投連買
23	,2838.TW,聯邦銀,16.1,-0.92,465,12.4,42.73,6,投連買
24	,2855.TW,統一證,15.85,0,341,23.15,-23.24,6,投連買
25	,2880.TW,華南金,22.5,-1.1,4175,20.6,16.7,6,投連買
26	,2884.TW,玉山金,24.1,-1.03,10272,27.55,-4.44,6,投連買
27	,2885.TW,元大金,21.8,-0.91,10786,24.35,-1.45,6,投連買
28	,2887.TW,台新金,15.2,0,6593,18.65,-11.37,6,投連買
29	,2888.TW,新光金,8.75,-0.57,13386,10.65,-14.13,6,投連買
30	,2889.TW,國票金,11.35,0,2314,15.9,-21.83,6,投連買
31	,3036.TW,文曄,62.7,-0.95,1327,66.3,1.13,6,投連買
32	,3037.TW,欣興,125,2.46,35224,223.5,-42.8,6,投連買
33	,3706.TW,神達,29.7,-0.17,1384,32.15,-1.39,6,投連買
34	,5880.TW,合庫金,25.95,-0.76,4866,23.85,16.16,6,投連買
35	,6005.TW,群益證,11.1,0,1344,16.25,-21.44,6,投連買
36	,6592.TW,和潤企業,100,-0.99,209,91,14.61,6,投連買
37	,8046.TW,南電,242,-0.41,10124,608,-58.77,6,投連買
38	,2441.TW,超豐,48.2,-2.33,4006,78.6,-33.59,5,投連買
39	,3675.TW,德微,168,2.75,1849,264,-34.87,5,投連買
