符合條件商品
資料日期：2021年 12月  6日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/06),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:22 符合檔數(11)
1	,6669.TW,緯穎,819,-1.33,686,995,-15.05,20,投連買
2	,2412.TW,中華電,112.5,-0.44,6521,114,2.3,12,投連買
3	,2344.TW,華邦電,20.1,-0.99,9528,31.9,-34.55,11,投連買
4	,2408.TW,南亞科,51.4,-0.58,5241,77.5,-29.07,11,投連買
5	,3532.TW,台勝科,142,-2.07,1152,260.5,-44.69,11,投連買
6	,2353.TW,宏碁,23.15,0.22,5082,29.75,-14.48,9,投連買
7	,2885.TW,元大金,21.8,-0.91,10786,24.9,-3.63,9,投連買
8	,3675.TW,德微,168,2.75,1849,281,-38.81,8,投連買
9	,3217.TW,優群,80.7,0.37,119,127,-31.28,7,投連買
10	,3006.TW,晶豪科,66.2,0,3117,173,-57.94,5,投連買
11	,3034.TW,聯詠,301.5,-0.17,3163,505,-27.95,5,投連買
