符合條件商品
資料日期：2022年  1月  6日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/06),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:18 符合檔數(20)
1	,2347.TW,聯強,61,-0.81,2957,66.3,-0.93,16,投連買
2	,6488.TW,環球晶,435.5,-2.57,2065,845,-47.5,11,投連買
3	,2108.TW,南帝,38.2,-0.26,608,84.8,-50.15,9,投連買
4	,2458.TW,義隆,86.1,-1.71,718,168,-42.08,9,投連買
5	,2542.TW,興富發,40.35,-3.93,8630,46.3,4.64,9,投連買
6	,5483.TW,中美晶,143.5,-1.37,3418,242.5,-37.98,9,投連買
7	,6176.TW,瑞儀,106,0.47,1064,101.5,13.76,9,投連買
8	,1440.TW,南紡,17.3,-1.42,812,24.8,-26.97,7,投連買
9	,2353.TW,宏碁,23.15,0.22,5082,30.45,-16.46,7,投連買
10	,2382.TW,廣達,71.2,-0.97,4354,93.3,-17.23,7,投連買
11	,2637.TW,慧洋-KY,64.8,-3.28,13996,81.6,-16.18,7,投連買
12	,3008.TW,大立光,2140,0,324,2585,-12.84,7,投連買
13	,6116.TW,彩晶,11.1,0.91,3518,16.9,-28.89,7,投連買
14	,8415.TW,大國鋼,38.35,-0.78,181,38.9,3.76,7,投連買
15	,4770.TW,上品,300.5,-4.6,1157,270,14.9,6,投連買
16	,5234.TW,達興材料,67.2,0.15,91,149.5,-52,6,投連買
17	,6278.TW,台表科,92.4,-0.86,1062,133,-25.02,6,投連買
18	,2233.TW,宇隆,99.5,0.3,88,109.5,-4.69,5,投連買
19	,3141.TW,晶宏,79.9,0.63,950,257.5,-67.78,5,投連買
20	,6196.TW,帆宣,117,-0.43,361,180,-32.18,5,投連買
