符合條件商品
資料日期：2022年  3月  1日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(03/01),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:52 符合檔數(87)
1	,1216.TW,統一,65.9,0,2803,67.5,1.63,20,投連買
2	,1303.TW,南亞,70.3,-1.54,4616,90,-13.88,20,投連買
3	,1402.TW,遠東新,31.55,-4.39,10632,30.3,9.28,20,投連買
4	,2324.TW,仁寶,22.95,0.44,9576,25.8,-3.45,20,投連買
5	,2344.TW,華邦電,20.1,-0.99,9528,34,-38.59,20,投連買
6	,2347.TW,聯強,61,-0.81,2957,73,-10.02,20,投連買
7	,2353.TW,宏碁,23.15,0.22,5082,29.1,-12.58,20,投連買
8	,2356.TW,英業達,26,0.19,6530,25.95,6.38,20,投連買
9	,2357.TW,華碩,271,-1.63,1392,373.5,-16.44,20,投連買
10	,2382.TW,廣達,71.2,-0.97,4354,93.8,-17.67,20,投連買
11	,2408.TW,南亞科,51.4,-0.58,5241,79.9,-31.21,20,投連買
12	,2412.TW,中華電,112.5,-0.44,6521,124.5,-6.33,20,投連買
13	,2883.TW,開發金,12.7,-0.78,8936,18.75,-27.14,20,投連買
14	,2885.TW,元大金,21.8,-0.91,10786,25.25,-4.97,20,投連買
15	,2886.TW,兆豐金,30.55,-0.97,8425,38.2,-14.83,20,投連買
16	,2890.TW,永豐金,16.7,-4.84,27291,17.2,2.71,20,投連買
17	,2892.TW,第一金,26.3,-0.38,6392,26.1,6.74,20,投連買
18	,2912.TW,統一超,268,-1.47,996,263,5.23,20,投連買
19	,3045.TW,台灣大,94.8,0,2514,105.5,-6.42,20,投連買
20	,3661.TW,世芯-KY,803,-1.35,2950,1140,-28.67,20,投連買
21	,4904.TW,遠傳,65.7,-0.3,2525,70.2,-2.59,20,投連買
22	,5269.TW,祥碩,717,0.14,564,1760,-58.13,20,投連買
23	,2337.TW,旺宏,35,0.57,15889,44.2,-15.62,18,投連買
24	,2377.TW,微星,119.5,1.7,2513,158,-17.58,18,投連買
25	,3017.TW,奇鋐,111,-1.77,2015,111,3.82,18,投連買
26	,1101.TW,台泥,34.05,-1.16,23484,47.8,-19.71,17,投連買
27	,2301.TW,光寶科,64,-0.47,4678,68.6,-1.13,16,投連買
28	,2354.TW,鴻準,51.4,-1.15,1092,64.8,-17.71,16,投連買
29	,2603.TW,長榮,167.5,-2.33,36972,150.5,-42.35,16,投連買
30	,8299.TW,群聯,305,-0.81,792,517,-36.29,14,投連買
31	,2317.TW,鴻海,101,0,15490,104.5,1.64,12,投連買
32	,2880.TW,華南金,22.5,-1.1,4175,22.55,6.58,11,投連買
33	,2884.TW,玉山金,24.1,-1.03,10272,29.8,-11.66,11,投連買
34	,2308.TW,台達電,281,-1.92,5149,256.5,12.17,9,投連買
35	,2409.TW,友達,15.4,0.65,36394,20.95,-27.08,8,投連買
36	,3035.TW,智原,159,0.63,7973,299.5,-45.69,8,投連買
37	,3189.TW,景碩,107,0,9581,224.5,-50.85,8,投連買
38	,4968.TW,立積,113.5,2.25,1398,220,-47.11,8,投連買
39	,2801.TW,彰銀,17.25,-0.29,2566,17.8,0.64,7,投連買
40	,3529.TW,力旺,1350,1.12,770,1930,-29.2,7,投連買
41	,1102.TW,亞泥,41.55,0.24,6062,46.1,-2.4,6,投連買
42	,1326.TW,台化,69.4,-0.72,1689,81.1,-9.07,6,投連買
43	,2002.TW,中鋼,30.7,0.16,37216,37.95,-10.21,6,投連買
44	,2027.TW,大成鋼,43.15,-1.93,15303,53.1,-13.61,6,投連買
45	,2368.TW,金像電,88.4,-1.12,3685,83,-0.25,6,投連買
46	,2887.TW,台新金,15.2,0,6593,19.6,-15.65,6,投連買
47	,5871.TW,中租-KY,216.5,0.46,2711,260.5,-10.34,6,投連買
48	,5876.TW,上海商銀,44.25,-0.45,2405,47.55,-3.55,6,投連買
49	,5880.TW,合庫金,25.95,-0.76,4866,26.65,3.92,6,投連買
50	,6104.TW,創惟,88.8,0.23,2437,248.5,-63.71,6,投連買
51	,1434.TW,福懋,26.3,-0.19,479,28.9,-5.43,5,投連買
52	,1504.TW,東元,27.25,-0.37,1749,30.45,-6.26,5,投連買
53	,1604.TW,聲寶,25.55,-0.2,118,31.75,-11.32,5,投連買
54	,1722.TW,台肥,53.1,-0.56,1033,69.7,-20.44,5,投連買
55	,2233.TW,宇隆,99.5,0.3,88,121.5,-14.11,5,投連買
56	,2330.TW,台積電,455,-2.78,26724,604,-23.01,5,投連買
57	,2352.TW,佳世達,27.5,1.66,4573,31.5,-4.94,5,投連買
58	,2385.TW,群光,87.2,0.11,1118,91.1,3.15,5,投連買
59	,2441.TW,超豐,48.2,-2.33,4006,73.8,-29.27,5,投連買
60	,2449.TW,京元電子,36.4,-1.75,4505,43.85,-10.37,5,投連買
61	,2451.TW,創見,66.8,0.45,561,71.9,1.83,5,投連買
62	,2474.TW,可成,169,-1.74,2651,146,22.68,5,投連買
63	,2535.TW,達欣工,29.7,0.17,102,33.1,-3.26,5,投連買
64	,2542.TW,興富發,40.35,-3.93,8630,49.45,-2.02,5,投連買
65	,2609.TW,陽明,67.3,-1.03,57425,120.5,-29.88,5,投連買
66	,2610.TW,華航,19,-1.55,26392,28.05,-29.76,5,投連買
67	,2812.TW,台中銀,12.8,-0.39,3299,13.7,-0.08,5,投連買
68	,2838.TW,聯邦銀,16.1,-0.92,465,13.7,29.11,5,投連買
69	,2881.TW,富邦金,56.7,-0.18,6587,76.2,-16.96,5,投連買
70	,2888.TW,新光金,8.75,-0.57,13386,10.95,-16.51,5,投連買
71	,2889.TW,國票金,11.35,0,2314,15.9,-21.83,5,投連買
72	,3036.TW,文曄,62.7,-0.95,1327,85,-21.12,5,投連買
73	,3044.TW,健鼎,96,1.59,1391,128.5,-20.06,5,投連買
74	,3227.TW,原相,94.6,-1.36,219,136.5,-23.4,5,投連買
75	,3702.TW,大聯大,47.8,-0.52,2583,56.7,-9.71,5,投連買
76	,3706.TW,神達,29.7,-0.17,1384,32.6,-2.78,5,投連買
