符合條件商品
資料日期：2022年  3月 11日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(03/11),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:51 符合檔數(57)
1	,1303.TW,南亞,70.3,-1.54,4616,89.8,-13.68,20,投連買
2	,2344.TW,華邦電,20.1,-0.99,9528,33.65,-37.96,20,投連買
3	,2603.TW,長榮,167.5,-2.33,36972,160,-45.77,20,投連買
4	,2880.TW,華南金,22.5,-1.1,4175,22.4,7.3,19,投連買
5	,2884.TW,玉山金,24.1,-1.03,10272,29.95,-12.11,19,投連買
6	,2308.TW,台達電,281,-1.92,5149,262,9.81,17,投連買
7	,2801.TW,彰銀,17.25,-0.29,2566,17.55,2.07,15,投連買
8	,5871.TW,中租-KY,216.5,0.46,2711,238.5,-2.07,14,投連買
9	,5876.TW,上海商銀,44.25,-0.45,2405,45.7,0.36,14,投連買
10	,2330.TW,台積電,455,-2.78,26724,575,-19.12,13,投連買
11	,3711.TW,日月光投控,93.8,-3.6,11870,100.5,1.11,13,投連買
12	,6147.TW,頎邦,58.6,0.51,604,71.3,-8.67,13,投連買
13	,6239.TW,力成,81.3,0.62,1926,96.9,-9.27,13,投連買
14	,1301.TW,台塑,86.8,-0.46,6046,106.5,-11.77,11,投連買
15	,3006.TW,晶豪科,66.2,0,3117,157.5,-53.81,11,投連買
16	,3034.TW,聯詠,301.5,-0.17,3163,466.5,-22,11,投連買
17	,3264.TW,欣銓,49.85,-0.89,1243,49.95,5.75,10,投連買
18	,3532.TW,台勝科,142,-2.07,1152,294,-50.99,10,投連買
19	,2014.TW,中鴻,27.6,1.1,53751,43.6,-29.86,9,投連買
20	,1560.TW,中砂,109.5,-1.35,2814,120.5,-7.11,8,投連買
21	,2395.TW,研華,333,-1.48,273,364,-6.24,8,投連買
22	,2207.TW,和泰車,592,-0.67,113,582,5.12,7,投連買
23	,3017.TW,奇鋐,111,-1.77,2015,122.5,-5.93,7,投連買
24	,6781.TW,AES-KY,680,1.34,965,1250,-44.8,7,投連買
25	,1326.TW,台化,69.4,-0.72,1689,79.2,-6.9,6,投連買
26	,1402.TW,遠東新,31.55,-4.39,10632,30.2,9.66,6,投連買
27	,1434.TW,福懋,26.3,-0.19,479,28.1,-2.74,6,投連買
28	,1504.TW,東元,27.25,-0.37,1749,29.5,-3.23,6,投連買
29	,2301.TW,光寶科,64,-0.47,4678,70.6,-3.93,6,投連買
30	,2317.TW,鴻海,101,0,15490,103.5,2.62,6,投連買
31	,2352.TW,佳世達,27.5,1.66,4573,31.9,-6.11,6,投連買
32	,2412.TW,中華電,112.5,-0.44,6521,122.5,-4.8,6,投連買
33	,2492.TW,華新科,78.7,-1.38,848,141.5,-41.57,6,投連買
34	,2887.TW,台新金,15.2,0,6593,18.9,-12.54,6,投連買
35	,2891.TW,中信金,21.9,-1.13,23817,26.5,-12.71,6,投連買
36	,3014.TW,聯陽,71.5,-0.83,189,113.5,-28.38,6,投連買
37	,3081.TW,聯亞,110.5,-0.9,1673,185,-38.61,6,投連買
38	,3227.TW,原相,94.6,-1.36,219,138.5,-24.51,6,投連買
39	,3228.TW,金麗科,187,-1.32,123,390,-52.05,6,投連買
40	,3231.TW,緯創,29.9,-0.83,12268,29.5,10.62,6,投連買
41	,3374.TW,精材,99.5,-1.49,1508,119.5,-14.98,6,投連買
42	,3702.TW,大聯大,47.8,-0.52,2583,57.2,-10.5,6,投連買
43	,4904.TW,遠傳,65.7,-0.3,2525,73.2,-6.58,6,投連買
44	,4958.TW,臻鼎-KY,108,-1.37,2633,94.4,19.8,6,投連買
45	,4968.TW,立積,113.5,2.25,1398,188.5,-38.27,6,投連買
46	,5880.TW,合庫金,25.95,-0.76,4866,26.65,3.92,6,投連買
47	,6202.TW,盛群,67.6,0,761,117.5,-36.14,6,投連買
48	,6669.TW,緯穎,819,-1.33,686,964,-12.32,6,投連買
49	,2357.TW,華碩,271,-1.63,1392,371.5,-15.99,5,投連買
50	,2360.TW,致茂,179,0.56,783,180,3.95,5,投連買
51	,2382.TW,廣達,71.2,-0.97,4354,92,-16.06,5,投連買
52	,2834.TW,臺企銀,12.9,-0.39,8238,11.15,20.9,5,投連買
53	,3035.TW,智原,159,0.63,7973,287,-43.32,5,投連買
54	,3481.TW,群創,11.1,0,42046,17.35,-30.32,5,投連買
55	,3707.TW,漢磊,86.9,0,3034,117.5,-25.75,5,投連買
56	,5274.TW,信驊,1830,0.83,312,2900,-29.54,5,投連買
57	,8155.TW,博智,108,-1.37,385,193,-41.22,5,投連買
