符合條件商品
資料日期：2022年  6月 14日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(06/14),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:35 符合檔數(17)
1	,2317.TW,鴻海,101,0,15490,111.5,-4.74,20,投連買
2	,3702.TW,大聯大,47.8,-0.52,2583,56.8,-9.86,14,投連買
3	,5876.TW,上海商銀,44.25,-0.45,2405,51.4,-10.77,14,投連買
4	,2454.TW,聯發科,660,-0.15,2431,880,-17.54,12,投連買
5	,3707.TW,漢磊,86.9,0,3034,131,-33.4,11,投連買
6	,5269.TW,祥碩,717,0.14,564,1300,-43.31,9,投連買
7	,2313.TW,華通,45.95,-1.08,9582,48.15,-4.57,8,投連買
8	,9910.TW,豐泰,207.5,-1.19,2962,197,7.84,6,投連買
9	,2324.TW,仁寶,22.95,0.44,9576,22.8,0.66,5,投連買
10	,2327.TW,國巨,460,-1.39,1468,377,1.51,5,投連買
11	,2409.TW,友達,15.4,0.65,36394,17,-10.15,5,投連買
12	,2883.TW,開發金,12.7,-0.78,8936,15.55,-12.17,5,投連買
13	,2885.TW,元大金,21.8,-0.91,10786,23.1,3.91,5,投連買
14	,3008.TW,大立光,2140,0,324,1730,26.1,5,投連買
15	,4739.TW,康普,94.9,-1.15,795,145.5,-33.16,5,投連買
16	,4904.TW,遠傳,65.7,-0.3,2525,80.7,-15.27,5,投連買
17	,9802.TW,鈺齊-KY,162,0.31,3063,177.5,-7.38,5,投連買
