符合條件商品
資料日期：2022年 10月 28日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/28),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:11 符合檔數(37)
1	,1326.TW,台化,69.4,-0.72,1689,67.7,2.51,20,投連買
2	,1402.TW,遠東新,31.55,-4.39,10632,32.05,-1.56,20,投連買
3	,2317.TW,鴻海,101,0,15490,104,-2.88,20,投連買
4	,2474.TW,可成,169,-1.74,2651,167,1.2,20,投連買
5	,2885.TW,元大金,21.8,-0.91,10786,19.6,11.22,20,投連買
6	,2615.TW,萬海,86.2,-1.15,55180,68.5,25.84,16,投連買
7	,3023.TW,信邦,275.5,-0.18,232,250.5,9.98,15,投連買
8	,4904.TW,遠傳,65.7,-0.3,2525,70.1,-6.28,14,投連買
9	,9910.TW,豐泰,207.5,-1.19,2962,158,31.33,14,投連買
10	,6205.TW,詮欣,70.9,-0.7,430,82.5,-14.06,12,投連買
11	,3037.TW,欣興,125,2.46,35224,122.5,2.04,11,投連買
12	,3587.TW,閎康,165,3.13,1620,125,32,9,投連買
13	,1301.TW,台塑,86.8,-0.46,6046,82.9,4.7,8,投連買
14	,1476.TW,儒鴻,492.5,1.23,1098,426,15.61,8,投連買
15	,1760.TW,寶齡富錦,190,8.57,30709,142,33.8,8,投連買
16	,2376.TW,技嘉,106.5,1.43,5227,92.5,15.14,8,投連買
17	,5425.TW,台半,75.3,0,4216,74.4,1.21,8,投連買
18	,2015.TW,豐興,65.9,1.85,274,57,15.61,7,投連買
19	,2324.TW,仁寶,22.95,0.44,9576,20.75,10.6,7,投連買
20	,2356.TW,英業達,26,0.19,6530,23.5,10.64,7,投連買
21	,2377.TW,微星,119.5,1.7,2513,111,7.66,7,投連買
22	,6505.TW,台塑化,80.1,-1.11,1418,81.8,-2.08,7,投連買
23	,9933.TW,中鼎,41.85,0.6,916,46.65,-10.29,7,投連買
24	,1216.TW,統一,65.9,0,2803,65.8,0.15,6,投連買
25	,2801.TW,彰銀,17.25,-0.29,2566,16.45,4.86,6,投連買
26	,2880.TW,華南金,22.5,-1.1,4175,21.05,6.89,6,投連買
27	,2887.TW,台新金,15.2,0,6593,13.45,13.01,6,投連買
28	,3189.TW,景碩,107,0,9581,103.5,3.38,6,投連買
29	,5880.TW,合庫金,25.95,-0.76,4866,25.05,3.59,6,投連買
30	,2207.TW,和泰車,592,-0.67,113,578,2.42,5,投連買
31	,2881.TW,富邦金,56.7,-0.18,6587,51.5,10.1,5,投連買
32	,2883.TW,開發金,12.7,-0.78,8936,11.7,8.55,5,投連買
33	,2890.TW,永豐金,16.7,-4.84,27291,16,4.37,5,投連買
34	,2891.TW,中信金,21.9,-1.13,23817,20.55,6.57,5,投連買
35	,2912.TW,統一超,268,-1.47,996,267,0.37,5,投連買
36	,3035.TW,智原,159,0.63,7973,139.5,13.98,5,投連買
37	,5876.TW,上海商銀,44.25,-0.45,2405,45.55,-2.85,5,投連買
