符合條件商品
資料日期：2022年 11月 29日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/29),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:07 符合檔數(16)
1	,2201.TW,裕隆,59.1,-1.01,17319,63.7,-7.22,11,投連買
2	,1303.TW,南亞,70.3,-1.54,4616,76.7,-8.34,9,投連買
3	,2347.TW,聯強,61,-0.81,2957,57.6,5.9,9,投連買
4	,2353.TW,宏碁,23.15,0.22,5082,24.6,-5.89,9,投連買
5	,2357.TW,華碩,271,-1.63,1392,267,1.5,9,投連買
6	,2881.TW,富邦金,56.7,-0.18,6587,59.6,-4.87,8,投連買
7	,2379.TW,瑞昱,289,-0.52,1352,314.5,-8.11,6,投連買
8	,2882.TW,國泰金,41.15,1.86,33982,43.45,-5.29,6,投連買
9	,2883.TW,開發金,12.7,-0.78,8936,13.2,-3.79,6,投連買
10	,2885.TW,元大金,21.8,-0.91,10786,22.5,-3.11,6,投連買
11	,2891.TW,中信金,21.9,-1.13,23817,22.85,-4.16,6,投連買
12	,3702.TW,大聯大,47.8,-0.52,2583,47.25,1.16,6,投連買
13	,5269.TW,祥碩,717,0.14,564,739,-2.98,6,投連買
14	,8454.TW,富邦媒,626,0,570,602,3.99,6,投連買
15	,2606.TW,裕民,50.1,-3.47,10468,46.55,7.63,5,投連買
16	,3661.TW,世芯-KY,803,-1.35,2950,902,-10.98,5,投連買
