符合條件商品
資料日期：2022年 12月  7日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/07),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:05 符合檔數(31)
1	,1303.TW,南亞,70.3,-1.54,4616,75.2,-6.52,15,投連買
2	,2347.TW,聯強,61,-0.81,2957,59.5,2.52,15,投連買
3	,2353.TW,宏碁,23.15,0.22,5082,23.35,-0.86,15,投連買
4	,2357.TW,華碩,271,-1.63,1392,272,-0.37,15,投連買
5	,2881.TW,富邦金,56.7,-0.18,6587,58.2,-2.58,14,投連買
6	,2882.TW,國泰金,41.15,1.86,33982,41.4,-0.6,12,投連買
7	,2883.TW,開發金,12.7,-0.78,8936,13.05,-2.68,12,投連買
8	,2891.TW,中信金,21.9,-1.13,23817,23.05,-4.99,12,投連買
9	,8454.TW,富邦媒,626,0,570,624,0.32,12,投連買
10	,2002.TW,中鋼,30.7,0.16,37216,29,5.86,10,投連買
11	,1301.TW,台塑,86.8,-0.46,6046,88.1,-1.48,7,投連買
12	,1476.TW,儒鴻,492.5,1.23,1098,477,3.25,7,投連買
13	,2327.TW,國巨,460,-1.39,1468,484.5,-5.06,7,投連買
14	,3105.TW,穩懋,138,0.36,2757,151.5,-8.91,7,投連買
15	,3454.TW,晶睿,207.5,1.22,7571,210,-1.19,7,投連買
16	,6278.TW,台表科,92.4,-0.86,1062,96.2,-3.95,7,投連買
17	,6741.TW,91APP*-KY,114.5,-4.98,4956,98.4,16.36,7,投連買
18	,8210.TW,勤誠,74.2,-1.07,96,72.9,1.78,6,投連買
19	,2015.TW,豐興,65.9,1.85,274,67.3,-2.08,5,投連買
20	,2451.TW,創見,66.8,0.45,561,66.8,0,5,投連買
21	,2504.TW,國產,25.1,1.01,1440,25,0.4,5,投連買
22	,3010.TW,華立,85.6,1.66,269,86.2,-0.7,5,投連買
23	,3218.TW,大學光,290,0.17,438,298.5,-2.85,5,投連買
24	,4919.TW,新唐,117,-2.09,4502,118.5,-1.27,5,投連買
25	,5306.TW,桂盟,140,0.72,338,156.5,-9.12,5,投連買
26	,6176.TW,瑞儀,106,0.47,1064,105,0.95,5,投連買
27	,6257.TW,矽格,48.85,0.31,824,49.3,-0.91,5,投連買
28	,6412.TW,群電,74.5,2.48,374,73.1,1.92,5,投連買
29	,6491.TW,晶碩,404.5,-1.94,432,413,-2.06,5,投連買
30	,8150.TW,南茂,32.9,1.23,1428,33.3,-1.2,5,投連買
31	,9917.TW,中保科,99.6,1.32,404,98.9,0.71,5,投連買
