符合條件商品
資料日期：2021年 11月  4日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/04),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 17:01 符合檔數(23)
1	,1301.TW,台塑,86.8,-0.46,6046,106,-11.35,12,投連賣
2	,4919.TW,新唐,117,-2.09,4502,126,-3.09,10,投連賣
3	,2303.TW,聯電,41.95,-2.1,34060,58.6,-23.77,9,投連賣
4	,3645.TW,達邁,32.55,-1.21,101,41.7,-19.59,9,投連賣
5	,2344.TW,華邦電,20.1,-0.99,9528,26.55,-21.36,7,投連賣
6	,2454.TW,聯發科,660,-0.15,2431,928,-21.81,7,投連賣
7	,3661.TW,世芯-KY,803,-1.35,2950,1160,-29.9,7,投連賣
8	,3711.TW,日月光投控,93.8,-3.6,11870,98.1,3.58,7,投連賣
9	,5871.TW,中租-KY,216.5,0.46,2711,260.5,-10.34,7,投連賣
10	,8081.TW,致新,141,-1.05,262,224,-30.7,7,投連賣
11	,2492.TW,華新科,78.7,-1.38,848,157.5,-47.51,6,投連賣
12	,2881.TW,富邦金,56.7,-0.18,6587,72.5,-12.73,6,投連賣
13	,6224.TW,聚鼎,57.2,-2.39,189,120,-50.18,6,投連賣
14	,6756.TW,威鋒電子,191,-2.05,282,429,-54.26,6,投連賣
15	,2233.TW,宇隆,99.5,0.3,88,102,2.31,5,投連賣
16	,2317.TW,鴻海,101,0,15490,108,-1.66,5,投連賣
17	,2379.TW,瑞昱,289,-0.52,1352,485.5,-35.2,5,投連賣
18	,2383.TW,台光電,176.5,-0.84,2034,231.5,-19.08,5,投連賣
19	,2458.TW,義隆,86.1,-1.71,718,163,-40.31,5,投連賣
20	,3014.TW,聯陽,71.5,-0.83,189,104.5,-22.21,5,投連賣
21	,3035.TW,智原,159,0.63,7973,190.5,-14.61,5,投連賣
22	,6239.TW,力成,81.3,0.62,1926,97.2,-9.56,5,投連賣
23	,6269.TW,台郡,99.2,-0.8,645,97.7,6.79,5,投連賣
