符合條件商品
資料日期：2021年 11月  8日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/08),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 17:01 符合檔數(19)
1	,3645.TW,達邁,32.55,-1.21,101,41.55,-19.29,11,投連賣
2	,3661.TW,世芯-KY,803,-1.35,2950,1200,-32.24,9,投連賣
3	,8081.TW,致新,141,-1.05,262,228.5,-32.06,9,投連賣
4	,2492.TW,華新科,78.7,-1.38,848,151.5,-45.43,8,投連賣
5	,6224.TW,聚鼎,57.2,-2.39,189,118.5,-49.55,8,投連賣
6	,2317.TW,鴻海,101,0,15490,107.5,-1.2,7,投連賣
7	,2379.TW,瑞昱,289,-0.52,1352,505,-37.7,7,投連賣
8	,2383.TW,台光電,176.5,-0.84,2034,230,-18.55,7,投連賣
9	,2458.TW,義隆,86.1,-1.71,718,165,-41.03,7,投連賣
10	,3014.TW,聯陽,71.5,-0.83,189,107,-24.03,7,投連賣
11	,3035.TW,智原,159,0.63,7973,181,-10.13,7,投連賣
12	,6239.TW,力成,81.3,0.62,1926,97,-9.36,7,投連賣
13	,6269.TW,台郡,99.2,-0.8,645,99.7,4.65,7,投連賣
14	,3264.TW,欣銓,49.85,-0.89,1243,58.9,-10.33,6,投連賣
15	,3675.TW,德微,168,2.75,1849,252,-31.77,6,投連賣
16	,6531.TW,愛普*,170,0,2500,513,-65.99,6,投連賣
17	,2360.TW,致茂,179,0.56,783,189,-1,5,投連賣
18	,6138.TW,茂達,117.5,-0.42,755,182.5,-31.06,5,投連賣
19	,8383.TW,千附,38.1,-0.13,61,41.35,-1.14,5,投連賣
