符合條件商品
資料日期：2021年 12月 16日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/16),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:54 符合檔數(12)
1	,3189.TW,景碩,107,0,9581,233.5,-52.75,16,投連賣
2	,1434.TW,福懋,26.3,-0.19,479,28.85,-5.26,11,投連賣
3	,2809.TW,京城銀,33.9,-3.42,3989,39.5,-9.21,11,投連賣
4	,2915.TW,潤泰全,66.7,0.15,4192,93.1,-22.33,11,投連賣
5	,3702.TW,大聯大,47.8,-0.52,2583,50.6,1.16,11,投連賣
6	,1702.TW,南僑,44.8,-0.88,73,49.4,-4.92,10,投連賣
7	,1909.TW,榮成,15.55,-0.32,1849,23.4,-28.18,9,投連賣
8	,8046.TW,南電,242,-0.41,10124,572,-56.18,9,投連賣
9	,5285.TW,界霖,61.2,0,133,102.5,-37.06,8,投連賣
10	,3653.TW,健策,369.5,-0.81,1389,429,-3.28,7,投連賣
11	,2303.TW,聯電,41.95,-2.1,34060,63,-29.1,6,投連賣
12	,8255.TW,朋程,177,5.04,12777,228.5,-20.26,5,投連賣
