符合條件商品
資料日期：2021年 12月 23日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/23),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:53 符合檔數(37)
1	,1434.TW,福懋,26.3,-0.19,479,28.6,-4.43,16,投連賣
2	,2809.TW,京城銀,33.9,-3.42,3989,40.35,-11.12,16,投連賣
3	,2915.TW,潤泰全,66.7,0.15,4192,94.4,-23.4,16,投連賣
4	,3702.TW,大聯大,47.8,-0.52,2583,50.9,0.57,16,投連賣
5	,1702.TW,南僑,44.8,-0.88,73,49.3,-4.74,15,投連賣
6	,3653.TW,健策,369.5,-0.81,1389,413,0.46,12,投連賣
7	,2820.TW,華票,14.55,0,290,16.95,-9.29,9,投連賣
8	,2345.TW,智邦,237.5,-6.5,4085,260,-6.44,7,投連賣
9	,2360.TW,致茂,179,0.56,783,206,-9.17,7,投連賣
10	,2383.TW,台光電,176.5,-0.84,2034,281,-33.34,7,投連賣
11	,5904.TW,寶雅,447.5,-0.33,243,441,5.58,7,投連賣
12	,2317.TW,鴻海,101,0,15490,104,2.12,6,投連賣
13	,2352.TW,佳世達,27.5,1.66,4573,30.05,-0.33,6,投連賣
14	,2377.TW,微星,119.5,1.7,2513,161,-19.11,6,投連賣
15	,2379.TW,瑞昱,289,-0.52,1352,572,-45,6,投連賣
16	,2404.TW,漢唐,182,-2.41,755,174.5,13.05,6,投連賣
17	,2441.TW,超豐,48.2,-2.33,4006,76.6,-31.85,6,投連賣
18	,2492.TW,華新科,78.7,-1.38,848,169,-51.08,6,投連賣
19	,5522.TW,遠雄,58.5,0.34,1205,61.4,6.07,6,投連賣
20	,5871.TW,中租-KY,216.5,0.46,2711,252.5,-7.5,6,投連賣
21	,6121.TW,新普,288.5,-0.35,276,326,3.05,6,投連賣
22	,2108.TW,南帝,38.2,-0.26,608,86.1,-50.91,5,投連賣
23	,2324.TW,仁寶,22.95,0.44,9576,23.8,4.65,5,投連賣
24	,2356.TW,英業達,26,0.19,6530,24.85,11.11,5,投連賣
25	,2385.TW,群光,87.2,0.11,1118,82.2,14.32,5,投連賣
26	,2409.TW,友達,15.4,0.65,36394,22.2,-31.19,5,投連賣
27	,2449.TW,京元電子,36.4,-1.75,4505,43.55,-9.74,5,投連賣
28	,2454.TW,聯發科,660,-0.15,2431,1095,-33.73,5,投連賣
29	,2603.TW,長榮,167.5,-2.33,36972,139,-37.58,5,投連賣
30	,2883.TW,開發金,12.7,-0.78,8936,16.7,-18.22,5,投連賣
31	,3044.TW,健鼎,96,1.59,1391,123,-16.49,5,投連賣
32	,3231.TW,緯創,29.9,-0.83,12268,28.95,12.75,5,投連賣
33	,3443.TW,創意,726,-0.55,5389,603,21.91,5,投連賣
34	,3707.TW,漢磊,86.9,0,3034,138,-36.78,5,投連賣
35	,4958.TW,臻鼎-KY,108,-1.37,2633,100.5,12.54,5,投連賣
36	,6176.TW,瑞儀,106,0.47,1064,99.9,15.58,5,投連賣
37	,6411.TW,晶焱,85.7,-0.35,289,242.5,-62.25,5,投連賣
