符合條件商品
資料日期：2022年  1月 11日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/11),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:50 符合檔數(19)
1	,2303.TW,聯電,41.95,-2.1,34060,62.1,-28.07,14,投連賣
2	,3045.TW,台灣大,94.8,0,2514,100,-1.27,13,投連賣
3	,2912.TW,統一超,268,-1.47,996,274,1.01,12,投連賣
4	,2481.TW,強茂,60.4,-0.33,2094,93.7,-31.95,9,投連賣
5	,6138.TW,茂達,117.5,-0.42,755,228,-44.82,9,投連賣
6	,6411.TW,晶焱,85.7,-0.35,289,206.5,-55.66,7,投連賣
7	,2383.TW,台光電,176.5,-0.84,2034,262.5,-28.64,6,投連賣
8	,3443.TW,創意,726,-0.55,5389,505,45.56,6,投連賣
9	,3707.TW,漢磊,86.9,0,3034,117.5,-25.75,6,投連賣
10	,5425.TW,台半,75.3,0,4216,69.3,12.14,6,投連賣
11	,6669.TW,緯穎,819,-1.33,686,1120,-24.53,6,投連賣
12	,6781.TW,AES-KY,680,1.34,965,1680,-58.93,6,投連賣
13	,8924.TW,大田,120.5,0.42,199,141.5,-5.45,6,投連賣
14	,2809.TW,京城銀,33.9,-3.42,3989,41.25,-13.05,5,投連賣
15	,3105.TW,穩懋,138,0.36,2757,343,-57.67,5,投連賣
16	,3189.TW,景碩,107,0,9581,200,-44.83,5,投連賣
17	,3515.TW,華擎,140.5,2.93,1979,253.5,-36.91,5,投連賣
18	,4961.TW,天鈺,117,0.86,1402,235,-42.76,5,投連賣
19	,6005.TW,群益證,11.1,0,1344,17,-24.9,5,投連賣
