符合條件商品
資料日期：2022年  4月  8日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(04/08),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:42 符合檔數(10)
1	,3532.TW,台勝科,142,-2.07,1152,267.5,-46.13,12,投連賣
2	,2344.TW,華邦電,20.1,-0.99,9528,28.6,-26.99,11,投連賣
3	,2027.TW,大成鋼,43.15,-1.93,15303,51,-10.05,7,投連賣
4	,4966.TW,譜瑞-KY,825,0.86,553,1600,-47.4,7,投連賣
5	,6104.TW,創惟,88.8,0.23,2437,264.5,-66.43,6,投連賣
6	,1305.TW,華夏,26.5,1.15,17566,34.4,-15.36,5,投連賣
7	,1565.TW,精華,244,0.21,46,283.5,-9.02,5,投連賣
8	,3006.TW,晶豪科,66.2,0,3117,150.5,-51.66,5,投連賣
9	,6679.TW,鈺太,229,0.44,465,393.5,-40.42,5,投連賣
10	,6763.TW,綠界科技,412,7.57,105,601,-26.68,5,投連賣
