符合條件商品
資料日期：2022年  7月  5日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(07/05),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:30 符合檔數(25)
1	,5230.TW,雷笛克光學,22.8,0,19,21.85,4.35,15,投連賣
2	,4919.TW,新唐,117,-2.09,4502,118,3.48,13,投連賣
3	,3526.TW,凡甲,117.5,-0.42,125,136,-6.91,11,投連賣
4	,3675.TW,德微,168,2.75,1849,196,-12.27,9,投連賣
5	,6577.TW,勁豐,58.7,0,2,56.9,3.16,8,投連賣
6	,2603.TW,長榮,167.5,-2.33,36972,87.7,-17.48,7,投連賣
7	,2640.TW,大車隊,86.4,1.17,61,77.5,16.58,7,投連賣
8	,3044.TW,健鼎,96,1.59,1391,105.5,-2.64,7,投連賣
9	,3035.TW,智原,159,0.63,7973,174,-6.51,6,投連賣
10	,3037.TW,欣興,125,2.46,35224,153.5,-16.72,6,投連賣
11	,3707.TW,漢磊,86.9,0,3034,90.1,-3.16,6,投連賣
12	,5425.TW,台半,75.3,0,4216,64.7,20.11,6,投連賣
13	,6669.TW,緯穎,819,-1.33,686,645,26.98,6,投連賣
14	,8046.TW,南電,242,-0.41,10124,247,-2.02,6,投連賣
15	,1477.TW,聚陽,238.5,0,510,142,67.96,5,投連賣
16	,1560.TW,中砂,109.5,-1.35,2814,142.5,-21.45,5,投連賣
17	,1904.TW,正隆,27.15,-1.09,381,25.95,4.62,5,投連賣
18	,2606.TW,裕民,50.1,-3.47,10468,40.35,24.16,5,投連賣
19	,3006.TW,晶豪科,66.2,0,3117,80.3,-17.56,5,投連賣
20	,3036.TW,文曄,62.7,-0.95,1327,61.5,1.95,5,投連賣
21	,3443.TW,創意,726,-0.55,5389,450.5,61.15,5,投連賣
22	,3529.TW,力旺,1350,1.12,770,975,38.46,5,投連賣
23	,3533.TW,嘉澤,829,0.36,375,606,40.23,5,投連賣
24	,5274.TW,信驊,1830,0.83,312,1700,7.65,5,投連賣
25	,6176.TW,瑞儀,106,0.47,1064,83,27.71,5,投連賣
