符合條件商品
資料日期：2022年  7月 22日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(07/22),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:29 符合檔數(37)
1	,1477.TW,聚陽,238.5,0,510,144.5,65.05,18,投連賣
2	,2606.TW,裕民,50.1,-3.47,10468,42.85,16.92,18,投連賣
3	,3006.TW,晶豪科,66.2,0,3117,87,-23.91,18,投連賣
4	,6176.TW,瑞儀,106,0.47,1064,87.2,21.56,18,投連賣
5	,4938.TW,和碩,64.2,0.31,3317,60.9,5.42,17,投連賣
6	,2006.TW,東和鋼鐵,53.2,0.95,1881,50.7,4.93,16,投連賣
7	,1326.TW,台化,69.4,-0.72,1689,67.8,2.36,15,投連賣
8	,2404.TW,漢唐,182,-2.41,755,151,20.53,14,投連賣
9	,2809.TW,京城銀,33.9,-3.42,3989,33.6,0.89,14,投連賣
10	,6269.TW,台郡,99.2,-0.8,645,86.6,14.55,14,投連賣
11	,9904.TW,寶成,34.05,0.44,6898,27.5,23.82,14,投連賣
12	,1303.TW,南亞,70.3,-1.54,4616,64.7,8.66,13,投連賣
13	,2409.TW,友達,15.4,0.65,36394,14.85,-3.99,12,投連賣
14	,3592.TW,瑞鼎,307.5,0,497,291,5.67,10,投連賣
15	,3034.TW,聯詠,301.5,-0.17,3163,266,13.35,9,投連賣
16	,1301.TW,台塑,86.8,-0.46,6046,87.9,-1.25,8,投連賣
17	,2640.TW,大車隊,86.4,1.17,61,81.1,11.41,8,投連賣
18	,4129.TW,聯合,50.6,2.64,2781,29.5,71.53,8,投連賣
19	,5309.TW,系統電,39.5,-1.86,1571,37.05,6.61,8,投連賣
20	,1605.TW,華新,46.75,-1.68,42087,32.05,45.87,7,投連賣
21	,2347.TW,聯強,61,-0.81,2957,54.3,12.34,7,投連賣
22	,2353.TW,宏碁,23.15,0.22,5082,22.65,2.21,7,投連賣
23	,2882.TW,國泰金,41.15,1.86,33982,45,-8.56,7,投連賣
24	,2883.TW,開發金,12.7,-0.78,8936,12.75,-0.39,7,投連賣
25	,2885.TW,元大金,21.8,-0.91,10786,19.7,13.96,7,投連賣
26	,3044.TW,健鼎,96,1.59,1391,101,-4.95,7,投連賣
27	,3596.TW,智易,98.3,-0.2,490,116,-15.26,7,投連賣
28	,2412.TW,中華電,112.5,-0.44,6521,118.5,-5.06,6,投連賣
29	,3708.TW,上緯投控,94.6,-1.77,1112,106,-10.75,6,投連賣
30	,2324.TW,仁寶,22.95,0.44,9576,22.7,1.1,5,投連賣
31	,2408.TW,南亞科,51.4,-0.58,5241,53.7,-4.28,5,投連賣
32	,2515.TW,中工,8.25,-0.48,1107,8.68,1.1,5,投連賣
33	,3231.TW,緯創,29.9,-0.83,12268,25.1,19.12,5,投連賣
34	,3455.TW,由田,80.3,-0.25,313,79.3,7.68,5,投連賣
35	,4927.TW,泰鼎-KY,54.5,-0.73,593,63.3,-13.9,5,投連賣
36	,6288.TW,聯嘉,22.85,-0.44,665,22.9,-0.22,5,投連賣
37	,9933.TW,中鼎,41.85,0.6,916,41.6,0.6,5,投連賣
