符合條件商品
資料日期：2021年 12月 13日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/13),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:07 符合檔數(10)
1	,6239.TW,力成,81.3,0.62,1926,97.3,-9.65,12,自連買
2	,3703.TW,欣陸,28.15,0.18,655,26,14.99,9,自連買
3	,2885.TW,元大金,21.8,-0.91,10786,25,-4.01,7,自連買
4	,2882.TW,國泰金,41.15,1.86,33982,60.7,-27.08,6,自連買
5	,2515.TW,中工,8.25,-0.48,1107,8.89,-1.32,5,自連買
6	,3056.TW,總太,30.6,0.82,476,42.2,-23.9,5,自連買
7	,3388.TW,崇越電,72.9,-0.14,4,83.9,-6.48,5,自連買
8	,3413.TW,京鼎,183.5,-1.61,306,234,-17.87,5,自連買
9	,4927.TW,泰鼎-KY,54.5,-0.73,593,95.2,-39.04,5,自連買
10	,6679.TW,鈺太,229,0.44,465,387.5,-39.5,5,自連買
