符合條件商品
資料日期：2022年  4月 28日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(04/28),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 14:39 符合檔數(13)
1	,1101.TW,台泥,34.05,-1.16,23484,46.1,-16.77,20,自連買
2	,2347.TW,聯強,61,-0.81,2957,76.5,-14.13,18,自連買
3	,6176.TW,瑞儀,106,0.47,1064,103,12.1,18,自連買
4	,2377.TW,微星,119.5,1.7,2513,120.5,8.07,10,自連買
5	,1102.TW,亞泥,41.55,0.24,6062,48,-6.27,9,自連買
6	,3702.TW,大聯大,47.8,-0.52,2583,54.2,-5.55,9,自連買
7	,2441.TW,超豐,48.2,-2.33,4006,68,-23.24,7,自連買
8	,2458.TW,義隆,86.1,-1.71,718,149.5,-34.92,7,自連買
9	,2520.TW,冠德,28.65,0.7,326,34.45,-9.28,7,自連買
10	,3231.TW,緯創,29.9,-0.83,12268,28.4,14.91,7,自連買
11	,2542.TW,興富發,40.35,-3.93,8630,46.7,3.75,6,自連買
12	,2356.TW,英業達,26,0.19,6530,24.85,11.11,5,自連買
13	,4938.TW,和碩,64.2,0.31,3317,69.4,0,5,自連買
