符合條件商品
資料日期：2022年  5月  6日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(05/06),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 14:05 符合檔數(17)
1	,2377.TW,微星,119.5,1.7,2513,125,4.18,15,自連買
2	,1102.TW,亞泥,41.55,0.24,6062,47.2,-4.68,14,自連買
3	,3702.TW,大聯大,47.8,-0.52,2583,54.4,-5.89,14,自連買
4	,2441.TW,超豐,48.2,-2.33,4006,70.6,-26.06,12,自連買
5	,2356.TW,英業達,26,0.19,6530,25.8,7,10,自連買
6	,4938.TW,和碩,64.2,0.31,3317,70.6,-1.7,10,自連買
7	,2357.TW,華碩,271,-1.63,1392,358,-12.83,9,自連買
8	,2382.TW,廣達,71.2,-0.97,4354,85.6,-9.78,9,自連買
9	,3044.TW,健鼎,96,1.59,1391,124,-17.16,9,自連買
10	,2885.TW,元大金,21.8,-0.91,10786,25.6,-6.24,7,自連買
11	,3416.TW,融程電,83,0.36,22,77.2,14.12,7,自連買
12	,8155.TW,博智,108,-1.37,385,152.5,-25.61,7,自連買
13	,2603.TW,長榮,167.5,-2.33,36972,154,-43.66,5,自連買
14	,2618.TW,長榮航,28.1,-2.09,27994,36.2,-20.85,5,自連買
15	,3105.TW,穩懋,138,0.36,2757,198.5,-26.86,5,自連買
16	,4306.TW,炎洲,14.4,-0.35,424,15.2,1.55,5,自連買
17	,8147.TW,正淩,61,0.33,12,63.6,-2.12,5,自連買
