符合條件商品
資料日期：2022年  6月  8日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(06/08),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:59 符合檔數(44)
1	,1312.TW,國喬,18.95,1.07,4063,24.6,-14.68,20,自連買
2	,2347.TW,聯強,61,-0.81,2957,70.1,-6.3,20,自連買
3	,4938.TW,和碩,64.2,0.31,3317,69.2,0.28,20,自連買
4	,2357.TW,華碩,271,-1.63,1392,338.5,-7.8,18,自連買
5	,2317.TW,鴻海,101,0,15490,114,-6.84,13,自連買
6	,2891.TW,中信金,21.9,-1.13,23817,26.75,-13.51,13,自連買
7	,1476.TW,儒鴻,492.5,1.23,1098,507,0.07,12,自連買
8	,5522.TW,遠雄,58.5,0.34,1205,66.3,-1.76,12,自連買
9	,1457.TW,宜進,18.7,-0.53,210,19.6,1.08,11,自連買
10	,1303.TW,南亞,70.3,-1.54,4616,84.5,-8.27,10,自連買
11	,1402.TW,遠東新,31.55,-4.39,10632,31.25,5.98,10,自連買
12	,2454.TW,聯發科,660,-0.15,2431,930,-21.97,10,自連買
13	,2850.TW,新產,48.8,0.21,121,53.7,-3.33,10,自連買
14	,4438.TW,廣越,119.5,-1.24,47,115,7.4,10,自連買
15	,4904.TW,遠傳,65.7,-0.3,2525,81,-15.59,10,自連買
16	,5434.TW,崇越,167.5,0.9,197,166,6.55,10,自連買
17	,8131.TW,福懋科,38.4,-0.78,269,41.55,-1.11,10,自連買
18	,4739.TW,康普,94.9,-1.15,795,139.5,-30.29,8,自連買
19	,2548.TW,華固,88,-0.34,174,95.6,0.07,7,自連買
20	,2065.TW,世豐,50.9,-0.2,24,47.05,11.35,6,自連買
21	,2383.TW,台光電,176.5,-0.84,2034,239.5,-21.78,6,自連買
22	,4167.TW,松瑞藥,26.55,1.53,84752,17.2,54.36,6,自連買
23	,4916.TW,事欣科,26.45,0.38,478,25.2,7,6,自連買
24	,6156.TW,松上,19.85,0.76,109,18.6,10.22,6,自連買
25	,6279.TW,胡連,149.5,-1.64,1303,126,22.43,6,自連買
26	,8171.TW,天宇,48.7,1.67,1417,50.3,-3.18,6,自連買
27	,1454.TW,台富,12.85,-0.39,33,16.85,-20.73,5,自連買
28	,1526.TW,日馳,41.1,-0.6,88,49.65,-8.2,5,自連買
29	,1532.TW,勤美,28.45,-0.52,120,32.55,-6.07,5,自連買
30	,1795.TW,美時,232,0.22,11755,145.5,61.79,5,自連買
31	,2002.TW,中鋼,30.7,0.16,37216,34.75,-1.95,5,自連買
32	,2331.TW,精英,21.45,-0.46,679,20.45,4.89,5,自連買
33	,2382.TW,廣達,71.2,-0.97,4354,80.2,-3.71,5,自連買
34	,2439.TW,美律,79.5,0.63,452,82.9,0.7,5,自連買
35	,2606.TW,裕民,50.1,-3.47,10468,58.3,-7.85,5,自連買
36	,2886.TW,兆豐金,30.55,-0.97,8425,37.7,-13.7,5,自連買
37	,3002.TW,歐格,11.4,-0.44,56,13.2,-13.64,5,自連買
38	,3008.TW,大立光,2140,0,324,1785,22.21,5,自連買
39	,3045.TW,台灣大,94.8,0,2514,108,-8.58,5,自連買
40	,3711.TW,日月光投控,93.8,-3.6,11870,104,-2.29,5,自連買
41	,4114.TW,健喬,51.6,-0.58,48399,27.5,110.01,5,自連買
42	,6183.TW,關貿,58.5,-0.34,9,62.2,-2.82,5,自連買
43	,6217.TW,中探針,43.75,0.69,482,68.7,-34.61,5,自連買
44	,6546.TW,正基,71.1,-0.7,189,138,-46.25,5,自連買
