符合條件商品
資料日期：2022年  6月 14日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(06/14),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:53 符合檔數(39)
1	,2357.TW,華碩,271,-1.63,1392,325,-3.97,20,自連買
2	,4938.TW,和碩,64.2,0.31,3317,68.6,1.17,20,自連買
3	,2317.TW,鴻海,101,0,15490,111.5,-4.74,17,自連買
4	,5522.TW,遠雄,58.5,0.34,1205,65.4,-0.41,16,自連買
5	,1303.TW,南亞,70.3,-1.54,4616,82.9,-6.5,14,自連買
6	,1402.TW,遠東新,31.55,-4.39,10632,30.95,6.99,14,自連買
7	,2454.TW,聯發科,660,-0.15,2431,880,-17.54,14,自連買
8	,2850.TW,新產,48.8,0.21,121,51.3,-4.87,14,自連買
9	,8131.TW,福懋科,38.4,-0.78,269,40.85,0.58,14,自連買
10	,2548.TW,華固,88,-0.34,174,93.7,2.1,11,自連買
11	,2002.TW,中鋼,30.7,0.16,37216,34,0.23,9,自連買
12	,2382.TW,廣達,71.2,-0.97,4354,79.9,-3.35,9,自連買
13	,2886.TW,兆豐金,30.55,-0.97,8425,36.9,-11.83,9,自連買
14	,3711.TW,日月光投控,93.8,-3.6,11870,102,-0.38,9,自連買
15	,2301.TW,光寶科,64,-0.47,4678,60.9,7.45,8,自連買
16	,2356.TW,英業達,26,0.19,6530,25.85,6.82,8,自連買
17	,2441.TW,超豐,48.2,-2.33,4006,69.1,-24.46,8,自連買
18	,2882.TW,國泰金,41.15,1.86,33982,53.4,-17.1,8,自連買
19	,2905.TW,三商,15.05,-0.66,352,19.05,-15.26,8,自連買
20	,3044.TW,健鼎,96,1.59,1391,118,-12.95,8,自連買
21	,2014.TW,中鴻,27.6,1.1,53751,31,-1.36,7,自連買
22	,2324.TW,仁寶,22.95,0.44,9576,22.8,0.66,7,自連買
23	,2881.TW,富邦金,56.7,-0.18,6587,62,2.05,7,自連買
24	,3034.TW,聯詠,301.5,-0.17,3163,379,-4,7,自連買
25	,3035.TW,智原,159,0.63,7973,225.5,-27.86,7,自連買
26	,3231.TW,緯創,29.9,-0.83,12268,28.8,13.3,7,自連買
27	,3481.TW,群創,11.1,0,42046,13.6,-11.06,7,自連買
28	,4714.TW,永捷,10.5,-1.41,140,13.75,-21.23,7,自連買
29	,6176.TW,瑞儀,106,0.47,1064,105.5,9.45,7,自連買
30	,8210.TW,勤誠,74.2,-1.07,96,68.7,13.2,7,自連買
31	,2887.TW,台新金,15.2,0,6593,16.9,-2.19,6,自連買
32	,6715.TW,嘉基,130,-2.26,387,137.5,-4.34,6,自連買
33	,8996.TW,高力,183.5,7.31,24980,66,185.6,6,自連買
34	,9939.TW,宏全,86.9,2.12,1021,77.5,19.06,6,自連買
35	,2412.TW,中華電,112.5,-0.44,6521,124.5,-6.33,5,自連買
36	,2458.TW,義隆,86.1,-1.71,718,143.5,-32.19,5,自連買
37	,2498.TW,宏達電,55,-0.72,14502,46.45,18.41,5,自連買
38	,2912.TW,統一超,268,-1.47,996,263.5,5.03,5,自連買
39	,8938.TW,明安,94.7,-0.53,233,87,16.83,5,自連買
