符合條件商品
資料日期：2022年 10月  3日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/03),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:10 符合檔數(37)
1	,2006.TW,東和鋼鐵,53.2,0.95,1881,50.2,5.98,20,自連買
2	,2014.TW,中鴻,27.6,1.1,53751,21.3,29.58,20,自連買
3	,2324.TW,仁寶,22.95,0.44,9576,21.45,6.99,20,自連買
4	,3036.TW,文曄,62.7,-0.95,1327,59.7,5.03,20,自連買
5	,5522.TW,遠雄,58.5,0.34,1205,57,6.5,20,自連買
6	,2357.TW,華碩,271,-1.63,1392,234,15.81,17,自連買
7	,1102.TW,亞泥,41.55,0.24,6062,39,6.54,12,自連買
8	,2356.TW,英業達,26,0.19,6530,22.7,14.54,12,自連買
9	,2385.TW,群光,87.2,0.11,1118,80,9,12,自連買
10	,2441.TW,超豐,48.2,-2.33,4006,49.75,-3.12,12,自連買
11	,2454.TW,聯發科,660,-0.15,2431,548,20.44,12,自連買
12	,3044.TW,健鼎,96,1.59,1391,92.1,4.23,12,自連買
13	,3231.TW,緯創,29.9,-0.83,12268,26.75,11.78,12,自連買
14	,4938.TW,和碩,64.2,0.31,3317,57.5,11.65,12,自連買
15	,1312.TW,國喬,18.95,1.07,4063,17.55,7.98,11,自連買
16	,2002.TW,中鋼,30.7,0.16,37216,26.45,16.07,11,自連買
17	,2301.TW,光寶科,64,-0.47,4678,63.2,1.27,11,自連買
18	,2347.TW,聯強,61,-0.81,2957,53.3,14.45,11,自連買
19	,2382.TW,廣達,71.2,-0.97,4354,74.2,-4.04,11,自連買
20	,2449.TW,京元電子,36.4,-1.75,4505,30.55,19.15,11,自連買
21	,2903.TW,遠百,21.6,0.47,1990,19.05,13.39,11,自連買
22	,3034.TW,聯詠,301.5,-0.17,3163,217.5,38.62,11,自連買
23	,6176.TW,瑞儀,106,0.47,1064,98.6,7.51,11,自連買
24	,3702.TW,大聯大,47.8,-0.52,2583,45.85,4.25,10,自連買
25	,1101.TW,台泥,34.05,-1.16,23484,33.65,1.19,7,自連買
26	,2303.TW,聯電,41.95,-2.1,34060,35.35,18.67,7,自連買
27	,2377.TW,微星,119.5,1.7,2513,105.5,13.27,7,自連買
28	,2633.TW,台灣高鐵,28.75,-0.52,2418,28.45,1.05,7,自連買
29	,1802.TW,台玻,21.2,0.24,12096,18.3,15.85,6,自連買
30	,2345.TW,智邦,237.5,-6.5,4085,266.5,-10.88,6,自連買
31	,2609.TW,陽明,67.3,-1.03,57425,63.5,5.98,6,自連買
32	,2845.TW,遠東銀,11.1,-0.89,1864,10.9,1.83,6,自連買
33	,2886.TW,兆豐金,30.55,-0.97,8425,30.65,-0.33,6,自連買
34	,1301.TW,台塑,86.8,-0.46,6046,86.5,0.35,5,自連買
35	,2207.TW,和泰車,592,-0.67,113,561,5.53,5,自連買
36	,2636.TW,台驊投控,76.3,-0.91,1346,66.1,15.43,5,自連買
37	,8044.TW,網家,53.2,0.95,575,47.4,12.24,5,自連買
