符合條件商品
資料日期：2022年 10月 25日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/25),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:07 符合檔數(58)
1	,1101.TW,台泥,34.05,-1.16,23484,29.9,13.88,20,自連買
2	,1102.TW,亞泥,41.55,0.24,6062,37.15,11.84,20,自連買
3	,1312.TW,國喬,18.95,1.07,4063,17.05,11.14,20,自連買
4	,2006.TW,東和鋼鐵,53.2,0.95,1881,50.9,4.52,20,自連買
5	,2301.TW,光寶科,64,-0.47,4678,64.7,-1.08,20,自連買
6	,2324.TW,仁寶,22.95,0.44,9576,20.75,10.6,20,自連買
7	,2347.TW,聯強,61,-0.81,2957,53.5,14.02,20,自連買
8	,2356.TW,英業達,26,0.19,6530,23.45,10.87,20,自連買
9	,2357.TW,華碩,271,-1.63,1392,231.5,17.06,20,自連買
10	,2377.TW,微星,119.5,1.7,2513,111.5,7.17,20,自連買
11	,2382.TW,廣達,71.2,-0.97,4354,68.8,3.49,20,自連買
12	,2385.TW,群光,87.2,0.11,1118,79.2,10.1,20,自連買
13	,2441.TW,超豐,48.2,-2.33,4006,46.15,4.44,20,自連買
14	,2449.TW,京元電子,36.4,-1.75,4505,31.5,15.56,20,自連買
15	,2454.TW,聯發科,660,-0.15,2431,563,17.23,20,自連買
16	,3034.TW,聯詠,301.5,-0.17,3163,235.5,28.03,20,自連買
17	,3036.TW,文曄,62.7,-0.95,1327,61.7,1.62,20,自連買
18	,3044.TW,健鼎,96,1.59,1391,87.1,10.22,20,自連買
19	,3231.TW,緯創,29.9,-0.83,12268,25.95,15.22,20,自連買
20	,3702.TW,大聯大,47.8,-0.52,2583,44.25,8.02,20,自連買
21	,4938.TW,和碩,64.2,0.31,3317,56.2,14.23,20,自連買
22	,5522.TW,遠雄,58.5,0.34,1205,53,10.38,20,自連買
23	,6176.TW,瑞儀,106,0.47,1064,93.2,13.73,20,自連買
24	,2376.TW,技嘉,106.5,1.43,5227,90.2,18.07,15,自連買
25	,2884.TW,玉山金,24.1,-1.03,10272,22.8,5.7,10,自連買
26	,2886.TW,兆豐金,30.55,-0.97,8425,29.95,2,10,自連買
27	,2609.TW,陽明,67.3,-1.03,57425,61.5,9.43,9,自連買
28	,6239.TW,力成,81.3,0.62,1926,71.9,13.07,9,自連買
29	,1301.TW,台塑,86.8,-0.46,6046,82.3,5.47,8,自連買
30	,1303.TW,南亞,70.3,-1.54,4616,68.4,2.78,8,自連買
31	,1455.TW,集盛,10.45,0,596,9.51,9.88,8,自連買
32	,1477.TW,聚陽,238.5,0,510,191,24.87,8,自連買
33	,1504.TW,東元,27.25,-0.37,1749,28.1,-3.02,8,自連買
34	,1802.TW,台玻,21.2,0.24,12096,19.45,9,8,自連買
35	,2207.TW,和泰車,592,-0.67,113,584,1.37,8,自連買
36	,2330.TW,台積電,455,-2.78,26724,371,23.35,8,自連買
37	,2486.TW,一詮,21.55,-0.23,1380,16.6,29.82,8,自連買
38	,2890.TW,永豐金,16.7,-4.84,27291,15.7,6.37,8,自連買
39	,2892.TW,第一金,26.3,-0.38,6392,24.75,6.26,8,自連買
40	,3711.TW,日月光投控,93.8,-3.6,11870,77.3,21.35,8,自連買
41	,4119.TW,旭富,95.3,1.17,340,85.7,11.2,8,自連買
42	,4755.TW,三福化,119,0,366,104,14.42,8,自連買
43	,5880.TW,合庫金,25.95,-0.76,4866,25.15,3.18,8,自連買
44	,8150.TW,南茂,32.9,1.23,1428,30.7,7.17,8,自連買
45	,9910.TW,豐泰,207.5,-1.19,2962,156,33.01,8,自連買
46	,3413.TW,京鼎,183.5,-1.61,306,162.5,12.92,7,自連買
47	,1339.TW,昭輝,40.75,-0.97,57,35.85,13.67,6,自連買
48	,1514.TW,亞力,29.45,0,626,25.15,17.1,6,自連買
49	,2354.TW,鴻準,51.4,-1.15,1092,45.75,12.35,6,自連買
50	,2636.TW,台驊投控,76.3,-0.91,1346,59,29.32,6,自連買
51	,3051.TW,力特,17.75,-0.28,344,16.15,9.91,6,自連買
52	,2540.TW,愛山林,71.9,-1.64,383,94,-23.51,5,自連買
53	,3019.TW,亞光,61.6,-1.28,472,57.5,7.13,5,自連買
54	,3211.TW,順達,73.1,-0.14,70,68.9,6.1,5,自連買
55	,3680.TW,家登,254.5,0.79,478,203,27.26,5,自連買
56	,6488.TW,環球晶,435.5,-2.57,2065,335.5,29.81,5,自連買
57	,8086.TW,宏捷科,67.7,1.04,620,58,16.72,5,自連買
58	,8358.TW,金居,51.3,-0.58,1372,38,35,5,自連買
