符合條件商品
資料日期：2022年 12月  1日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/01),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 12:58 符合檔數(9)
1	,1312.TW,國喬,18.95,1.07,4063,20.7,-8.45,20,自連買
2	,6834.TW,天二科技,25.1,-1.38,20,26.85,-6.52,18,自連買
3	,2727.TW,王品,158,-1.56,228,164.5,-3.95,7,自連買
4	,8050.TW,廣積,78.9,1.81,7925,74.6,5.76,7,自連買
5	,3653.TW,健策,369.5,-0.81,1389,397,-6.93,6,自連買
6	,5309.TW,系統電,39.5,-1.86,1571,44.5,-11.24,6,自連買
7	,2723.TW,美食-KY,139,0.72,443,129,7.75,5,自連買
8	,2732.TW,六角,126,0.8,213,124.5,1.2,5,自連買
9	,4979.TW,華星光,41.6,-3.48,11451,51.3,-18.91,5,自連買
