符合條件商品
資料日期：2021年 11月  3日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/03),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:40 符合檔數(19)
1	,1313.TW,聯成,13.8,-1.78,1516,22.65,-35.87,11,自連賣
2	,4904.TW,遠傳,65.7,-0.3,2525,61.6,11,11,自連賣
3	,2412.TW,中華電,112.5,-0.44,6521,110.5,5.53,10,自連賣
4	,9908.TW,大台北,31.45,0.96,26,33.05,-1.66,9,自連賣
5	,1303.TW,南亞,70.3,-1.54,4616,84.7,-8.49,8,自連賣
6	,2105.TW,正新,33.75,-0.74,1203,34.5,1.23,7,自連賣
7	,2731.TW,雄獅,102.5,0.99,1497,88,16.48,7,自連賣
8	,3023.TW,信邦,275.5,-0.18,232,232.5,21.46,7,自連賣
9	,8478.TW,東哥遊艇,297,1.02,2514,79.9,281.26,7,自連賣
10	,1316.TW,上曜,11.85,-1.25,498,14.75,-25.94,6,自連賣
11	,1725.TW,元禎,20.15,-0.74,8,25.6,-16.94,6,自連賣
12	,3141.TW,晶宏,79.9,0.63,950,227.5,-63.53,6,自連賣
13	,9945.TW,潤泰新,43.65,-1.58,3379,69.6,-2.91,6,自連賣
14	,1326.TW,台化,69.4,-0.72,1689,80.4,-8.27,5,自連賣
15	,2010.TW,春源,16.25,0.62,682,22.95,-25.25,5,自連賣
16	,2102.TW,泰豐,20.45,-1.21,355,27.25,-24.9,5,自連賣
17	,2897.TW,王道銀行,8.32,-0.36,812,7.86,9.91,5,自連賣
18	,3661.TW,世芯-KY,803,-1.35,2950,1205,-32.52,5,自連賣
19	,8039.TW,台虹,41,-0.61,92,47.2,-7.8,5,自連賣
