符合條件商品
資料日期：2021年 12月 22日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/22),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:33 符合檔數(18)
1	,1101.TW,台泥,34.05,-1.16,23484,47.4,-19.04,15,自連賣
2	,2542.TW,興富發,40.35,-3.93,8630,46.7,3.75,14,自連賣
3	,4743.TW,合一,259.5,-1.14,14786,285,-8.95,12,自連賣
4	,5538.TW,東明-KY,42.35,0.59,24,53,-14.24,9,自連賣
5	,2449.TW,京元電子,36.4,-1.75,4505,43.2,-9.02,8,自連賣
6	,2610.TW,華航,19,-1.55,26392,26.1,-24.51,8,自連賣
7	,2426.TW,鼎元,16.9,-0.59,149,28,-36.47,7,自連賣
8	,2489.TW,瑞軒,9.93,1.02,1113,17.15,-35.44,7,自連賣
9	,2881.TW,富邦金,56.7,-0.18,6587,74.4,-14.95,7,自連賣
10	,3036.TW,文曄,62.7,-0.95,1327,64.9,3.31,7,自連賣
11	,4571.TW,鈞興-KY,73.8,-0.14,9,100,-22.06,7,自連賣
12	,1219.TW,福壽,18.9,0.8,834,19.85,0.37,6,自連賣
13	,2356.TW,英業達,26,0.19,6530,24.9,10.87,6,自連賣
14	,2886.TW,兆豐金,30.55,-0.97,8425,35.65,-8.72,6,自連賣
15	,2748.TW,雲品,58.2,0.87,303,38.95,51.09,5,自連賣
16	,6125.TW,廣運,25.45,0.79,1033,26.2,3.04,5,自連賣
17	,6191.TW,精成科,27.6,-1.08,433,37.3,-21.23,5,自連賣
18	,6214.TW,精誠,70,-0.28,922,84.4,-11.16,5,自連賣
