符合條件商品
資料日期：2022年  2月 18日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(02/18),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:29 符合檔數(16)
1	,2542.TW,興富發,40.35,-3.93,8630,47.2,2.65,18,自連賣
2	,3483.TW,力致,54.3,0.18,103,84.9,-32.85,8,自連賣
3	,1325.TW,恆大,27.7,5.32,6157,44.55,-32.96,7,自連賣
4	,2103.TW,台橡,26.95,-1.1,635,35.85,-17.81,7,自連賣
5	,2332.TW,友訊,15.6,0,3528,17.15,-7.31,7,自連賣
6	,2406.TW,國碩,18.8,-1.05,970,25,-24.8,7,自連賣
7	,6156.TW,松上,19.85,0.76,109,23.05,-11.07,7,自連賣
8	,2006.TW,東和鋼鐵,53.2,0.95,1881,69.5,-16.89,6,自連賣
9	,6278.TW,台表科,92.4,-0.86,1062,127,-21.48,6,自連賣
10	,3036.TW,文曄,62.7,-0.95,1327,85.6,-21.67,5,自連賣
11	,3081.TW,聯亞,110.5,-0.9,1673,191,-40.54,5,自連賣
12	,3592.TW,瑞鼎,307.5,0,497,618,-42.63,5,自連賣
13	,4976.TW,佳凌,38.2,0.13,139,62.7,-39.07,5,自連賣
14	,6126.TW,信音,20.5,1.99,259,27.3,-19.7,5,自連賣
15	,6223.TW,旺矽,111.5,-3.46,3050,110,6.73,5,自連賣
16	,6643.TW,M31,504,0,3247,358,43.98,5,自連賣
