符合條件商品
資料日期：2022年  8月  8日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(08/08),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:04 符合檔數(25)
1	,8039.TW,台虹,41,-0.61,92,40.65,0.86,14,自連賣
2	,3026.TW,禾伸堂,89.9,0,51,87.8,2.39,12,自連賣
3	,6823.TW,濾能,97.5,2.85,2,94.5,11.3,11,自連賣
4	,3088.TW,艾訊,58.2,1.04,164,58.2,5.38,8,自連賣
5	,3028.TW,增你強,28.6,1.06,236,30.35,-5.77,7,自連賣
6	,1307.TW,三芳,20.7,-0.48,59,19.6,5.61,6,自連賣
7	,1526.TW,日馳,41.1,-0.6,88,48.05,-11.02,6,自連賣
8	,1604.TW,聲寶,25.55,-0.2,118,27.15,-5.89,6,自連賣
9	,2102.TW,泰豐,20.45,-1.21,355,19.5,4.87,6,自連賣
10	,2912.TW,統一超,268,-1.47,996,279.5,-4.11,6,自連賣
11	,3005.TW,神基,43.55,0.35,857,45.4,-4.07,6,自連賣
12	,6142.TW,友勁,10.55,2.43,2213,9.27,13.81,6,自連賣
13	,1313.TW,聯成,13.8,-1.78,1516,12.9,6.98,5,自連賣
14	,1909.TW,榮成,15.55,-0.32,1849,14.8,5.07,5,自連賣
15	,2105.TW,正新,33.75,-0.74,1203,34.8,-3.02,5,自連賣
16	,2206.TW,三陽工業,33.7,0.45,1845,37.9,-11.08,5,自連賣
17	,2801.TW,彰銀,17.25,-0.29,2566,17.85,0.35,5,自連賣
18	,2849.TW,安泰銀,14.6,0,89,14.4,1.39,5,自連賣
19	,3093.TW,港建*,27.65,2.79,195,114.5,-75.85,5,自連賣
20	,4162.TW,智擎,118.5,-2.07,10092,81.6,49.85,5,自連賣
21	,4190.TW,佐登-KY,78.9,0.38,132,67.9,16.2,5,自連賣
22	,5258.TW,虹堡,65.2,1.4,2344,64.1,2.68,5,自連賣
23	,6244.TW,茂迪,28.35,0,3256,28.8,-1.56,5,自連賣
24	,8114.TW,振樺電,110,0.92,219,155.5,-29.26,5,自連賣
25	,8121.TW,越峰,25.05,-1.38,169,30.8,-18.67,5,自連賣
