符合條件商品
資料日期：2022年  8月  9日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(08/09),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:04 符合檔數(16)
1	,8039.TW,台虹,41,-0.61,92,40.5,1.23,15,自連賣
2	,3026.TW,禾伸堂,89.9,0,51,87.2,3.1,13,自連賣
3	,3088.TW,艾訊,58.2,1.04,164,58.7,4.47,9,自連賣
4	,3028.TW,增你強,28.6,1.06,236,30.75,-6.99,8,自連賣
5	,3005.TW,神基,43.55,0.35,857,45.95,-5.22,7,自連賣
6	,2206.TW,三陽工業,33.7,0.45,1845,38.3,-12.01,6,自連賣
7	,2801.TW,彰銀,17.25,-0.29,2566,18.05,-0.75,6,自連賣
8	,3093.TW,港建*,27.65,2.79,195,107,-74.16,6,自連賣
9	,5258.TW,虹堡,65.2,1.4,2344,68.3,-3.64,6,自連賣
10	,6244.TW,茂迪,28.35,0,3256,28.65,-1.05,6,自連賣
11	,8121.TW,越峰,25.05,-1.38,169,30.9,-18.93,6,自連賣
12	,2605.TW,新興,20.65,-3.5,6563,23.05,-10.41,5,自連賣
13	,2606.TW,裕民,50.1,-3.47,10468,41.3,21.31,5,自連賣
14	,3645.TW,達邁,32.55,-1.21,101,35.05,-7.13,5,自連賣
15	,5244.TW,弘凱,27.35,-0.18,36,27.8,-1.62,5,自連賣
16	,5263.TW,智崴,123.5,-3.52,358,128.5,-3.89,5,自連賣
