符合條件商品
資料日期：2022年  9月 21日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(09/21),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 13:52 符合檔數(59)
1	,2885.TW,元大金,21.8,-0.91,10786,20.25,7.65,17,自連賣
2	,4577.TW,達航科技,31.15,0.16,67,33.9,-8.11,13,自連賣
3	,6548.TW,長科*,29.95,0,316,31.6,-3.11,12,自連賣
4	,4157.TW,太景*-KY,16.15,-1.52,3200,16.75,-3.58,11,自連賣
5	,2239.TW,英利-KY,59,-0.84,55,76.6,-22.98,10,自連賣
6	,2474.TW,可成,169,-1.74,2651,172,-1.74,10,自連賣
7	,8112.TW,至上,36.05,0.7,471,36,0.14,10,自連賣
8	,2034.TW,允強,29.6,-0.5,3354,28.6,3.5,8,自連賣
9	,4915.TW,致伸,55.1,-0.9,3460,66.4,-17.02,8,自連賣
10	,6585.TW,鼎基,55.9,6.88,488,63,-11.27,8,自連賣
11	,1560.TW,中砂,109.5,-1.35,2814,136,-19.49,7,自連賣
12	,3062.TW,建漢,23.55,0.21,1460,27,-12.78,7,自連賣
13	,3081.TW,聯亞,110.5,-0.9,1673,158,-30.06,7,自連賣
14	,3532.TW,台勝科,142,-2.07,1152,159.5,-10.97,7,自連賣
15	,3596.TW,智易,98.3,-0.2,490,111,-11.44,7,自連賣
16	,5371.TW,中光電,55,-0.36,3464,59,-6.78,7,自連賣
17	,6120.TW,達運,9.05,2.38,1626,9.18,-1.42,7,自連賣
18	,6592.TW,和潤企業,100,-0.99,209,106,-5.66,7,自連賣
19	,6706.TW,惠特,89.3,1.59,265,94.1,-5.1,7,自連賣
20	,8076.TW,伍豐,28.15,-0.35,431,29.7,-5.22,7,自連賣
21	,1440.TW,南紡,17.3,-1.42,812,17.95,-3.62,6,自連賣
22	,1522.TW,堤維西,26.15,-0.76,963,28.9,-9.52,6,自連賣
23	,1707.TW,葡萄王,160.5,-1.23,644,138.5,15.88,6,自連賣
24	,1723.TW,中碳,105.5,-0.47,103,111.5,-5.38,6,自連賣
25	,2354.TW,鴻準,51.4,-1.15,1092,47.35,8.55,6,自連賣
26	,2419.TW,仲琦,24.15,-0.41,1040,27.3,-11.54,6,自連賣
27	,2882.TW,國泰金,41.15,1.86,33982,42.55,-3.29,6,自連賣
28	,2913.TW,農林,21.45,-1.15,909,20.85,2.88,6,自連賣
29	,3162.TW,精確,49,-1.31,3011,51,-3.92,6,自連賣
30	,4105.TW,東洋,82.8,0.24,1226,72.2,14.68,6,自連賣
31	,4564.TW,元翎,23.85,-0.21,147,26.9,-11.34,6,自連賣
32	,4739.TW,康普,94.9,-1.15,795,114,-16.75,6,自連賣
33	,4968.TW,立積,113.5,2.25,1398,113,0.44,6,自連賣
34	,5285.TW,界霖,61.2,0,133,75.3,-18.73,6,自連賣
35	,5289.TW,宜鼎,181.5,-1.36,100,165.5,9.67,6,自連賣
36	,5871.TW,中租-KY,216.5,0.46,2711,197.5,9.62,6,自連賣
37	,6285.TW,啟碁,80.8,-2.3,4232,84.3,-4.15,6,自連賣
38	,6605.TW,帝寶,70.5,-0.98,237,79.9,-11.76,6,自連賣
39	,8070.TW,長華*,30.65,-0.16,272,32.2,-2.57,6,自連賣
40	,9802.TW,鈺齊-KY,162,0.31,3063,180,-10,6,自連賣
41	,1504.TW,東元,27.25,-0.37,1749,28.8,-5.38,5,自連賣
42	,1737.TW,臺鹽,32.15,0,25,32.4,-0.77,5,自連賣
43	,2231.TW,為升,142,-2.07,335,171,-8.65,5,自連賣
44	,2351.TW,順德,99.5,1.22,927,107.5,-7.44,5,自連賣
45	,2388.TW,威盛,69.3,-0.14,6061,88.5,-21.69,5,自連賣
46	,2436.TW,偉詮電,42,0.84,593,44.25,-5.08,5,自連賣
47	,2455.TW,全新,67,0,1464,63.1,6.18,5,自連賣
48	,2515.TW,中工,8.25,-0.48,1107,9,-2.6,5,自連賣
49	,3014.TW,聯陽,71.5,-0.83,189,65.1,9.83,5,自連賣
50	,3380.TW,明泰,28.55,-1.04,598,32.35,-11.75,5,自連賣
51	,3673.TW,TPK-KY,29.7,-0.34,398,34.9,-14.9,5,自連賣
52	,4128.TW,中天,66.8,-2.2,19523,71.3,-6.31,5,自連賣
53	,5243.TW,乙盛-KY,59.3,0.51,535,61.5,-3.58,5,自連賣
54	,6187.TW,萬潤,65,0.93,810,79.8,-18.55,5,自連賣
55	,6271.TW,同欣電,201,-4.29,2372,196,-7.23,5,自連賣
56	,6510.TW,精測,490.5,-1.21,161,443,10.72,5,自連賣
57	,6568.TW,宏觀,168,1.51,418,137,22.63,5,自連賣
58	,8255.TW,朋程,177,5.04,12777,170.5,3.81,5,自連賣
59	,8927.TW,北基,36.2,-1.36,276,37.5,-3.47,5,自連賣
