符合條件商品
資料日期：2022年 10月 13日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/13),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 13:43 符合檔數(55)
1	,4577.TW,達航科技,31.15,0.16,67,27.55,13.07,13,自連賣
2	,6585.TW,鼎基,55.9,6.88,488,46.3,20.73,12,自連賣
3	,5371.TW,中光電,55,-0.36,3464,49.1,12.02,9,自連賣
4	,3703.TW,欣陸,28.15,0.18,655,28,0.54,8,自連賣
5	,8121.TW,越峰,25.05,-1.38,169,23.7,5.7,7,自連賣
6	,8442.TW,威宏-KY,75.4,0.27,33,73.6,3.76,7,自連賣
7	,1308.TW,亞聚,28.2,-0.88,1358,23.55,19.75,6,自連賣
8	,1476.TW,儒鴻,492.5,1.23,1098,393.5,25.16,6,自連賣
9	,1527.TW,鑽全,41.3,0.12,137,37.95,8.83,6,自連賣
10	,1560.TW,中砂,109.5,-1.35,2814,105,4.29,6,自連賣
11	,1712.TW,興農,36.35,-1.49,904,33.7,7.86,6,自連賣
12	,2049.TW,上銀,180,-0.83,411,159,13.21,6,自連賣
13	,2105.TW,正新,33.75,-0.74,1203,34.05,-0.88,6,自連賣
14	,2455.TW,全新,67,0,1464,55,21.82,6,自連賣
15	,3265.TW,台星科,46.95,-2.09,1946,36.35,29.16,6,自連賣
16	,3680.TW,家登,254.5,0.79,478,219,17.96,6,自連賣
17	,4157.TW,太景*-KY,16.15,-1.52,3200,14.05,14.95,6,自連賣
18	,6121.TW,新普,288.5,-0.35,276,245.5,23.05,6,自連賣
19	,6125.TW,廣運,25.45,0.79,1033,24.05,5.82,6,自連賣
20	,6138.TW,茂達,117.5,-0.42,755,100.5,16.92,6,自連賣
21	,6146.TW,耕興,231,2.21,247,220,5,6,自連賣
22	,6220.TW,岳豐,25.85,0.78,423,23.8,8.61,6,自連賣
23	,6491.TW,晶碩,404.5,-1.94,432,322,25.62,6,自連賣
24	,1215.TW,卜蜂,78.3,0.77,1049,78.1,0.26,5,自連賣
25	,1229.TW,聯華,49.25,0.2,537,48.25,2.07,5,自連賣
26	,1305.TW,華夏,26.5,1.15,17566,19.1,38.74,5,自連賣
27	,1434.TW,福懋,26.3,-0.19,479,25.95,1.35,5,自連賣
28	,1440.TW,南紡,17.3,-1.42,812,15.8,9.49,5,自連賣
29	,1582.TW,信錦,58.6,0.17,62,58.7,-0.17,5,自連賣
30	,1702.TW,南僑,44.8,-0.88,73,42.55,5.29,5,自連賣
31	,1717.TW,長興,31.5,-1.25,930,29.9,5.35,5,自連賣
32	,1722.TW,台肥,53.1,-0.56,1033,51.6,2.91,5,自連賣
33	,1773.TW,勝一,114,-0.44,101,99.8,14.23,5,自連賣
34	,1904.TW,正隆,27.15,-1.09,381,25.25,7.52,5,自連賣
35	,2108.TW,南帝,38.2,-0.26,608,33.2,15.06,5,自連賣
36	,2313.TW,華通,45.95,-1.08,9582,43.2,6.37,5,自連賣
37	,2548.TW,華固,88,-0.34,174,86.1,2.21,5,自連賣
38	,2867.TW,三商壽,5.51,-2.3,17135,6.14,-10.26,5,自連賣
39	,3022.TW,威強電,74,-1.46,1258,54.2,36.53,5,自連賣
40	,3293.TW,鈊象,425.5,-0.23,3602,341,24.78,5,自連賣
41	,3324.TW,雙鴻,151,-0.66,649,117,29.06,5,自連賣
42	,3580.TW,友威科,62.1,-0.64,370,52.2,18.97,5,自連賣
43	,3592.TW,瑞鼎,307.5,0,497,198,55.3,5,自連賣
44	,3596.TW,智易,98.3,-0.2,490,95.1,3.36,5,自連賣
45	,3653.TW,健策,369.5,-0.81,1389,373.5,-1.07,5,自連賣
46	,3706.TW,神達,29.7,-0.17,1384,26.25,13.14,5,自連賣
47	,4770.TW,上品,300.5,-4.6,1157,285,5.44,5,自連賣
48	,4974.TW,亞泰,57.5,0,115,51.7,11.22,5,自連賣
49	,6285.TW,啟碁,80.8,-2.3,4232,83.4,-3.12,5,自連賣
50	,6290.TW,良維,54,-0.18,323,50.2,7.57,5,自連賣
51	,8027.TW,鈦昇,51.7,-2.45,239,50.3,2.78,5,自連賣
52	,8091.TW,翔名,86,0.35,634,67.8,26.84,5,自連賣
53	,8131.TW,福懋科,38.4,-0.78,269,35.05,9.56,5,自連賣
54	,8150.TW,南茂,32.9,1.23,1428,28.4,15.85,5,自連賣
55	,9938.TW,百和,59,4.8,4688,53.7,9.87,5,自連賣
