符合條件商品
資料日期：2022年 12月  7日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/07),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 13:32 符合檔數(89)
1	,2722.TW,夏都,33.9,0.44,10,35,-3.14,20,自連賣
2	,2882.TW,國泰金,41.15,1.86,33982,41.4,-0.6,20,自連賣
3	,6811.TW,宏碁資訊,133,-0.37,7,125,6.4,18,自連賣
4	,8411.TW,福貞-KY,13.1,-0.76,94,13.2,-0.76,18,自連賣
5	,6830.TW,汎銓,98,-0.1,49,105.5,-7.11,16,自連賣
6	,6835.TW,圓裕,39.2,-2,415,39.75,-1.38,15,自連賣
7	,2412.TW,中華電,112.5,-0.44,6521,112.5,0,13,自連賣
8	,2474.TW,可成,169,-1.74,2651,176.5,-4.25,11,自連賣
9	,6689.TW,伊雲谷,87.2,-0.91,297,81.2,7.39,11,自連賣
10	,2002.TW,中鋼,30.7,0.16,37216,29,5.86,10,自連賣
11	,3023.TW,信邦,275.5,-0.18,232,268,2.8,10,自連賣
12	,6213.TW,聯茂,71.9,0.42,941,72.3,-0.55,10,自連賣
13	,1409.TW,新纖,17.9,0.28,1722,17.55,1.99,9,自連賣
14	,1440.TW,南紡,17.3,-1.42,812,17.15,0.87,9,自連賣
15	,1710.TW,東聯,18.5,1.09,1345,18.1,2.21,9,自連賣
16	,1717.TW,長興,31.5,-1.25,930,31.2,0.96,9,自連賣
17	,1722.TW,台肥,53.1,-0.56,1033,54.8,-3.1,9,自連賣
18	,2105.TW,正新,33.75,-0.74,1203,34.5,-2.17,9,自連賣
19	,2330.TW,台積電,455,-2.78,26724,475,-3.66,9,自連賣
20	,2408.TW,南亞科,51.4,-0.58,5241,53.5,-3.93,9,自連賣
21	,2436.TW,偉詮電,42,0.84,593,45.6,-7.89,9,自連賣
22	,2801.TW,彰銀,17.25,-0.29,2566,17.5,-1.43,9,自連賣
23	,2834.TW,臺企銀,12.9,-0.39,8238,13.05,-1.15,9,自連賣
24	,2880.TW,華南金,22.5,-1.1,4175,22.6,-0.44,9,自連賣
25	,2891.TW,中信金,21.9,-1.13,23817,23.05,-4.99,9,自連賣
26	,2897.TW,王道銀行,8.32,-0.36,812,8.5,-2.12,9,自連賣
27	,3189.TW,景碩,107,0,9581,121.5,-11.93,9,自連賣
28	,5880.TW,合庫金,25.95,-0.76,4866,26.05,-0.38,9,自連賣
29	,9938.TW,百和,59,4.8,4688,54.5,8.26,9,自連賣
30	,1216.TW,統一,65.9,0,2803,65.2,1.07,8,自連賣
31	,1604.TW,聲寶,25.55,-0.2,118,25.8,-0.97,8,自連賣
32	,2371.TW,大同,33.7,0,4072,34,-0.88,8,自連賣
33	,2395.TW,研華,333,-1.48,273,331.5,0.45,8,自連賣
34	,2912.TW,統一超,268,-1.47,996,271,-1.11,8,自連賣
35	,3030.TW,德律,63.7,-0.47,122,65.2,-2.3,8,自連賣
36	,6806.TW,森崴能源,82.9,0.61,8626,68.5,21.02,8,自連賣
37	,8927.TW,北基,36.2,-1.36,276,36.15,0.14,8,自連賣
38	,2204.TW,中華,50.1,0.91,1497,55,-8.91,7,自連賣
39	,4968.TW,立積,113.5,2.25,1398,124,-8.47,7,自連賣
40	,9914.TW,美利達,171,-2.29,298,188.5,-9.28,7,自連賣
41	,1210.TW,大成,45.45,1.91,1876,44.75,1.56,6,自連賣
42	,1229.TW,聯華,49.25,0.2,537,49.8,-1.1,6,自連賣
